ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,13,12,25,25,18,19,22,15,17,8,18,11,14,9,11,14,17,5,13,14,11,12,10,9,7,7,7,14,9,13,12,12,10,9,7
1,12,14,16,12,23,23,17,18,22,16,17,8,17,10,14,9,11,14,17,6,13,14,14,13,9,8,5,7,7,14,13,13,14,13,9,9
2,12,11,15,15,12,24,22,16,18,22,17,18,9,16,10,14,8,11,11,17,6,14,13,13,14,9,8,5,7,7,5,14,13,14,14,9
3,13,11,11,15,15,13,23,22,16,19,17,18,18,9,17,10,14,9,10,11,17,7,15,13,15,13,9,10,5,7,18,5,14,13,15,13
4,19,13,11,11,15,16,13,21,22,15,19,17,18,18,9,19,10,15,9,10,10,17,6,13,13,16,12,9,10,5,10,18,5,14,13,16
5,15,18,13,11,12,15,15,12,20,21,15,19,17,16,16,9,18,10,14,10,9,10,17,4,11,13,16,12,9,10,10,11,18,4,14,13
6,17,15,18,13,11,14,13,15,11,21,21,15,19,17,16,17,8,18,10,14,10,11,10,17,6,11,13,17,13,9,11,12,11,18,6,14
7,18,16,15,20,13,11,15,13,16,11,23,21,14,20,17,15,16,9,17,10,13,10,12,11,17,6,12,13,17,12,12,11,12,11,18,6
8,16,18,15,16,18,14,10,14,13,16,10,24,21,14,20,17,15,16,9,17,10,14,9,12,12,17,7,12,14,17,9,13,10,12,12,18
9,18,17,16,16,15,18,11,10,13,15,14,10,24,22,14,19,17,16,16,9,17,10,13,9,12,12,18,7,13,15,16,9,13,10,12,12
10,21,17,17,16,18,15,17,11,11,14,15,14,10,23,22,15,19,17,16,15,9,17,8,13,9,12,11,18,7,13,9,16,8,13,10,12
11,15,20,16,17,16,21,16,17,13,12,13,14,14,10,23,22,15,19,19,16,15,9,17,8,14,9,12,11,18,7,15,9,16,8,14,10
12,20,16,21,16,16,16,18,15,17,12,11,13,17,14,10,23,22,15,20,19,16,15,10,17,8,14,10,12,10,18,18,15,10,16,8,14
13,31,19,15,22,16,17,16,19,15,17,12,11,13,17,14,13,22,22,14,19,17,16,16,10,17,8,13,10,12,10,19,18,16,10,16,8
14,18,32,19,17,22,18,15,15,19,17,18,12,11,12,17,13,13,22,22,14,19,15,17,16,10,17,9,13,10,11,19,17,18,16,9,16
15,13,18,32,21,16,22,16,15,15,20,16,17,12,11,12,16,13,12,21,22,14,19,17,16,16,9,15,9,13,10,14,19,19,17,16,9
16,33,14,18,31,20,15,23,16,17,15,20,17,17,13,10,12,16,13,12,21,23,14,19,17,16,16,10,15,9,13,20,14,20,19,17,16
17,31,32,15,18,31,20,15,23,16,17,15,20,18,15,13,9,12,16,13,12,20,23,14,19,17,16,15,11,16,9,20,21,14,20,18,18
18,20,32,31,14,18,31,20,14,25,17,17,15,19,17,15,13,9,12,16,15,12,20,23,15,19,17,19,16,11,16,12,20,21,15,19,18
19,25,20,32,31,14,18,30,18,15,25,18,17,17,19,17,14,11,9,12,16,14,12,21,23,16,19,18,17,16,11,13,12,20,21,16,19
20,23,20,20,33,31,13,18,27,18,15,28,18,18,17,19,18,14,11,9,12,15,14,12,21,24,16,19,18,17,16,12,13,12,21,22,15
21,21,23,19,19,34,29,13,19,29,17,13,26,17,17,17,19,17,14,8,9,12,15,15,12,23,23,17,19,18,19,13,12,14,12,23,23
22,27,21,23,20,20,32,28,12,18,30,17,13,25,16,19,17,19,18,12,7,10,14,13,16,12,21,25,16,20,18,10,14,11,15,13,22
23,15,25,20,22,19,19,31,27,14,19,29,15,13,26,14,21,17,19,17,11,7,9,15,11,15,12,21,25,17,21,10,9,14,10,14,13
24,16,14,26,18,21,18,18,30,27,11,19,29,15,12,26,14,20,17,18,17,10,9,9,15,12,15,13,20,23,17,14,11,9,14,11,14
25,15,14,13,24,17,18,18,18,31,25,9,19,29,15,12,26,14,21,17,19,16,9,12,9,13,12,12,14,19,22,16,11,13,9,13,11
26,13,14,14,13,26,18,17,18,20,31,28,9,19,28,17,12,25,14,20,13,18,16,10,10,11,12,12,12,14,19,18,16,11,12,10,12
27,13,13,15,14,13,27,18,18,19,19,31,28,7,15,27,17,11,21,13,21,11,15,20,13,9,11,13,11,12,14,11,16,18,13,12,10
28,16,11,11,14,13,14,27,16,16,18,17,29,23,6,16,26,17,12,21,14,19,12,14,20,12,10,10,12,9,14,19,12,15,18,13,12
29,12,15,12,12,14,15,13,27,18,16,19,17,29,22,3,15,24,17,11,19,15,19,11,14,18,12,11,10,12,9,14,19,11,16,18,13
30,15,12,16,12,10,13,14,13,26,16,16,19,17,30,24,5,13,26,18,12,19,16,19,10,13,20,13,11,9,12,20,15,19,10,15,18
31,12,14,13,14,12,10,12,14,14,24,17,17,17,17,30,24,5,13,26,18,11,16,16,16,10,14,21,13,10,9,12,18,15,17,11,16
32,15,12,11,12,16,13,10,12,14,14,26,17,19,19,16,29,22,5,12,24,17,10,15,13,17,10,14,21,12,10,19,11,18,12,17,11
33,18,14,12,11,15,16,11,9,12,16,14,26,17,20,19,16,26,22,4,12,26,17,11,14,13,16,8,14,19,12,21,19,12,17,12,17
34,11,16,15,12,13,13,15,10,11,12,15,14,27,18,20,20,15,25,22,5,12,25,16,12,14,11,15,8,12,17,10,23,18,13,17,11
35,14,10,17,16,12,12,13,15,10,11,13,16,15,26,17,18,20,15,25,21,4,11,22,18,12,15,10,17,8,12,4,12,20,19,13,18
36,11,13,10,15,16,13,10,14,15,11,10,13,16,13,25,18,18,15,17,23,21,4,11,24,18,12,16,11,17,7,23,5,12,21,19,13
37,7,10,14,11,16,17,13,11,13,14,10,7,14,15,13,25,17,17,13,17,22,20,4,12,27,17,11,17,11,16,23,23,6,12,24,18
38,17,6,10,15,12,15,15,13,10,13,16,11,7,13,18,13,26,16,17,13,18,22,19,6,12,27,18,13,19,12,17,22,23,6,12,25
39,15,16,7,10,16,13,15,15,13,10,13,16,10,7,13,18,12,27,16,18,13,17,21,20,5,12,26,18,14,18,17,15,21,25,5,12
40,5,16,15,8,11,14,12,16,16,13,10,15,15,11,8,13,18,12,26,14,17,13,17,21,18,5,12,24,18,14,16,16,16,21,22,5
41,8,4,14,15,8,9,13,11,15,16,12,9,15,15,10,8,12,17,12,26,14,16,12,16,22,19,7,12,23,18,16,14,15,16,22,23
42,19,8,5,15,15,9,8,13,12,17,16,12,9,14,15,9,8,12,17,12,26,13,15,12,15,22,19,7,11,22,24,14,14,15,15,22
43,9,18,8,6,14,15,11,8,12,12,15,15,12,9,13,16,9,8,11,17,10,27,14,14,13,13,22,19,7,11,12,27,14,14,15,14
44,21,9,18,8,6,14,15,11,8,12,13,15,15,12,8,13,16,9,8,11,17,9,27,13,14,13,13,22,21,5,15,11,27,13,14,15
45,13,21,11,19,8,6,14,14,10,8,14,14,16,15,12,9,13,16,9,8,10,16,9,26,13,15,14,13,24,22,10,15,11,26,13,14
46,12,13,21,9,19,8,8,16,15,11,8,14,13,16,15,12,8,13,15,9,8,9,15,10,24,13,14,13,13,24,9,9,14,11,24,13
47,16,11,13,21,9,18,8,7,15,15,10,10,13,14,16,13,11,8,13,15,9,9,9,16,10,25,15,14,14,14,7,10,9,15,11,25
48,23,16,11,12,20,9,18,9,8,16,15,10,9,11,14,17,13,11,9,12,15,9,9,9,14,10,27,14,15,14,16,8,10,9,14,11
49,10,22,16,12,12,21,9,17,7,8,15,15,9,9,11,14,18,12,11,9,12,15,9,9,9,14,11,26,13,14,11,16,8,10,9,14
50,17,10,23,16,13,13,20,9,16,7,8,13,15,9,9,12,14,17,12,11,9,12,15,8,9,9,14,10,25,13,10,11,16,7,10,9
51,28,18,11,22,15,12,11,18,10,18,8,7,11,15,9,9,12,14,18,13,11,8,12,15,6,9,9,14,10,24,11,9,11,16,6,10
52,18,27,16,10,22,16,12,12,20,9,20,8,7,11,15,9,9,12,14,19,14,13,8,12,15,6,10,9,14,10,16,12,10,11,16,6
53,23,18,27,16,10,22,15,12,10,21,9,20,8,7,11,14,9,9,12,13,19,14,13,8,12,15,6,10,9,14,18,15,12,10,11,16
54,19,22,18,27,16,11,22,15,12,10,21,9,19,8,7,11,14,8,9,12,13,19,16,12,9,12,16,7,10,9,12,18,16,12,10,11
55,19,20,22,19,26,16,11,22,14,12,12,20,9,19,8,7,11,14,8,9,12,13,19,16,13,9,10,15,7,11,15,12,18,16,13,10
