ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1254,1174,1170,1135,1101,1033,1006,1100,1110,1088,1101,1127,1124,1087,1116,1147,1116,1161,1254,1300,1366,1464,1413,1419,1508,1531,1574,1666,1531,1584,1271,1373,1336,1319,1417,1443
1,1201,1266,1187,1174,1135,1101,1037,1004,1103,1107,1071,1122,1135,1126,1095,1136,1172,1124,1159,1271,1358,1374,1461,1454,1437,1537,1552,1592,1651,1543,1279,1317,1386,1359,1346,1465
2,1290,1184,1282,1199,1185,1139,1106,1031,1006,1095,1112,1067,1116,1138,1138,1112,1150,1182,1134,1163,1357,1385,1388,1488,1441,1449,1552,1563,1598,1635,1282,1304,1327,1405,1351,1366
3,1406,1284,1177,1286,1196,1190,1152,1102,1037,1011,1090,1113,1086,1122,1153,1133,1121,1154,1197,1146,1217,1396,1416,1429,1495,1445,1441,1573,1564,1616,1160,1312,1335,1350,1406,1360
4,1516,1400,1296,1176,1296,1200,1183,1152,1111,1036,1006,1097,1130,1101,1138,1155,1142,1134,1183,1205,1209,1244,1406,1458,1447,1500,1439,1447,1569,1575,1160,1202,1339,1394,1353,1412
5,1646,1536,1396,1300,1185,1295,1209,1192,1152,1115,1035,1002,1106,1139,1114,1142,1167,1140,1152,1203,1290,1227,1253,1439,1474,1455,1499,1459,1448,1567,1226,1188,1216,1389,1411,1374
6,1763,1632,1552,1399,1305,1183,1300,1209,1183,1157,1123,1041,1005,1126,1155,1127,1153,1174,1153,1176,1299,1312,1249,1298,1458,1506,1460,1504,1451,1461,1221,1249,1221,1243,1387,1439
7,1868,1778,1637,1566,1405,1317,1185,1304,1215,1186,1156,1121,1043,1007,1131,1152,1144,1170,1177,1158,1257,1318,1333,1280,1322,1483,1518,1489,1517,1461,1198,1251,1262,1234,1265,1416
8,1937,1877,1774,1636,1569,1413,1318,1189,1301,1222,1183,1159,1123,1045,1010,1137,1161,1158,1196,1196,1235,1273,1327,1378,1302,1335,1497,1533,1494,1524,1166,1216,1267,1283,1252,1283
9,1906,1946,1892,1788,1626,1582,1410,1317,1192,1313,1221,1184,1160,1130,1050,1016,1153,1171,1169,1211,1275,1249,1289,1363,1391,1323,1352,1523,1542,1483,1200,1193,1231,1272,1306,1271
10,2029,1913,1939,1899,1784,1642,1587,1409,1325,1201,1313,1222,1189,1163,1137,1056,1023,1163,1193,1186,1310,1299,1271,1329,1387,1418,1337,1373,1540,1548,1229,1230,1206,1253,1295,1331
11,1894,2036,1911,1943,1897,1802,1637,1597,1409,1326,1198,1314,1221,1192,1169,1143,1071,1028,1186,1207,1275,1316,1303,1318,1351,1395,1414,1356,1385,1551,1195,1247,1238,1266,1285,1307
12,2014,1910,2027,1922,1948,1907,1808,1640,1599,1422,1335,1209,1322,1229,1201,1184,1154,1079,1048,1200,1287,1287,1313,1317,1351,1376,1400,1419,1367,1389,1228,1219,1245,1257,1291,1315
13,2013,2024,1912,2040,1914,1958,1902,1802,1654,1603,1429,1335,1216,1328,1238,1209,1188,1165,1088,1058,1266,1293,1307,1342,1338,1375,1387,1419,1437,1384,1193,1246,1239,1266,1277,1321
14,2048,2015,2016,1925,2045,1920,1963,1917,1808,1650,1603,1426,1342,1223,1339,1252,1227,1201,1182,1099,1141,1288,1309,1329,1364,1375,1397,1394,1435,1449,1080,1219,1254,1247,1293,1310
15,2129,2039,2017,2029,1935,2064,1924,1968,1926,1813,1653,1603,1434,1358,1223,1343,1261,1235,1215,1190,1193,1149,1295,1332,1355,1386,1404,1420,1398,1435,1099,1092,1253,1277,1274,1310
16,2079,2120,2046,2023,2027,1934,2060,1925,1969,1923,1814,1662,1606,1440,1370,1236,1359,1276,1249,1230,1290,1214,1153,1319,1367,1380,1410,1427,1447,1428,1193,1124,1111,1272,1309,1302
17,2162,2070,2123,2046,2022,2040,1951,2054,1929,1968,1944,1820,1666,1613,1449,1369,1244,1363,1289,1258,1331,1298,1220,1181,1344,1386,1405,1436,1438,1493,1252,1220,1148,1139,1303,1335
18,1997,2153,2082,2131,2049,2019,2044,1969,2066,1944,1976,1949,1826,1674,1613,1457,1383,1264,1379,1301,1365,1330,1301,1243,1215,1363,1402,1419,1461,1477,1246,1255,1233,1172,1167,1325
19,1964,2003,2161,2077,2119,2045,2030,2055,1976,2082,1949,1981,1960,1829,1683,1620,1466,1393,1281,1379,1405,1364,1357,1313,1262,1232,1385,1423,1441,1492,1305,1260,1279,1254,1189,1207
20,1863,1965,2020,2173,2085,2129,2055,2039,2060,2007,2090,1955,1985,1960,1844,1701,1648,1470,1405,1298,1491,1421,1384,1382,1312,1271,1256,1418,1452,1456,1379,1324,1297,1324,1284,1213
21,1802,1864,1977,2047,2210,2104,2151,2074,2059,2074,2029,2098,1960,1995,1979,1860,1713,1660,1490,1423,1405,1507,1466,1394,1387,1331,1287,1297,1437,1477,1299,1412,1371,1332,1346,1317
22,1824,1794,1878,1996,2057,2212,2104,2152,2094,2089,2107,2041,2107,1986,2025,1990,1877,1734,1691,1509,1533,1431,1557,1502,1417,1405,1364,1316,1330,1472,1442,1336,1464,1447,1367,1372
23,1748,1837,1798,1904,2013,2071,2227,2123,2188,2108,2108,2127,2064,2119,2014,2033,2011,1907,1763,1718,1647,1557,1465,1611,1535,1433,1427,1418,1346,1347,1539,1453,1390,1529,1504,1391
24,1807,1751,1842,1826,1906,2039,2075,2246,2129,2203,2145,2137,2142,2077,2144,2032,2061,2041,1957,1783,1848,1688,1627,1514,1626,1572,1464,1481,1465,1390,1744,1559,1550,1448,1565,1552
25,1774,1805,1751,1869,1842,1940,2053,2095,2265,2158,2225,2166,2139,2166,2089,2173,2044,2090,2073,1987,1928,1872,1749,1664,1564,1637,1610,1506,1534,1526,1803,1773,1619,1604,1508,1608
26,1702,1777,1805,1753,1885,1871,1963,2054,2093,2290,2170,2239,2191,2165,2202,2107,2221,2066,2118,2100,2128,1947,1931,1805,1702,1593,1692,1699,1562,1589,2012,1869,1841,1765,1660,1570
27,1658,1693,1776,1827,1770,1903,1887,1945,2077,2116,2308,2188,2261,2224,2194,2226,2158,2256,2103,2151,2219,2155,2015,1967,1843,1753,1653,1747,1730,1617,2143,2030,1946,1951,1822,1721
28,1543,1650,1696,1798,1836,1791,1913,1893,1959,2085,2127,2326,2217,2262,2240,2208,2262,2176,2298,2165,2300,2252,2194,2061,2010,1890,1799,1720,1790,1776,2165,2191,2142,2023,2009,1877
29,1654,1548,1656,1694,1824,1834,1802,1904,1903,1988,2110,2148,2345,2243,2293,2266,2229,2279,2211,2319,2328,2325,2324,2237,2124,2072,1940,1864,1756,1809,2204,2261,2280,2212,2082,2075
30,1677,1661,1550,1660,1709,1834,1849,1804,1908,1910,2006,2130,2169,2350,2275,2322,2293,2280,2307,2218,2484,2350,2380,2347,2291,2169,2151,2003,1915,1811,2339,2258,2320,2331,2282,2156
31,1783,1678,1668,1563,1662,1729,1823,1846,1798,1913,1922,2015,2148,2171,2374,2291,2347,2324,2313,2354,2354,2505,2400,2393,2404,2294,2239,2236,2052,1957,2239,2392,2352,2364,2381,2304
32,1790,1770,1702,1685,1573,1670,1729,1820,1852,1807,1932,1943,2038,2158,2193,2383,2315,2369,2358,2316,2505,2386,2563,2431,2405,2419,2386,2283,2276,2085,2393,2284,2464,2408,2388,2436
