ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,32,34,38,44,39,47,26,28,34,35,32,28,31,27,37,44,40,48,29,49,38,33,42,42,45,31,55,48,44,50,35,34,44,41,43,31
1,43,31,32,37,44,40,46,26,31,35,38,33,28,32,27,38,41,36,47,27,49,36,33,42,40,41,30,55,45,41,47,33,31,47,39,42
2,46,41,33,35,37,44,39,46,29,27,36,40,35,29,31,28,36,43,37,42,28,46,37,34,36,37,41,32,62,45,27,46,35,36,40,37
3,44,48,44,34,33,42,47,38,47,27,28,35,41,33,28,33,29,40,44,38,37,27,42,34,38,33,33,38,33,60,39,28,44,35,39,36
4,57,40,47,49,34,35,38,45,40,46,30,29,37,41,33,30,34,29,39,44,38,34,33,40,30,36,32,32,42,35,36,35,32,44,34,38
5,56,56,41,44,50,34,36,39,44,38,47,29,28,38,41,33,31,35,29,38,48,39,37,33,44,30,37,35,35,42,48,36,38,35,46,34
6,68,57,58,41,49,50,36,38,36,45,33,44,31,27,39,41,37,30,37,29,40,49,38,36,37,43,34,40,36,33,39,47,36,35,40,45
7,74,67,57,62,42,44,53,40,42,38,42,33,43,31,28,38,42,37,33,38,28,39,49,41,36,37,47,37,41,39,31,39,48,41,39,40
8,69,72,65,54,55,41,45,54,38,41,38,41,32,47,33,32,41,42,39,33,37,30,39,46,40,39,42,48,38,39,35,31,39,46,43,41
9,84,68,73,64,53,56,41,47,56,42,42,38,41,33,45,33,32,42,40,41,32,35,35,39,48,42,39,43,48,39,34,36,35,39,46,43
10,78,80,71,71,62,51,55,41,48,59,41,43,39,44,35,46,32,32,42,39,44,31,36,34,40,50,41,39,45,51,41,32,38,34,40,47
11,70,78,80,68,71,60,52,53,40,43,55,42,45,41,42,34,46,34,33,42,39,44,30,36,34,42,52,43,39,43,41,42,32,39,36,43
12,78,67,81,80,67,73,61,53,52,40,43,51,41,46,42,43,35,44,35,37,43,41,44,35,36,31,42,54,45,42,41,43,44,37,39,34
13,80,79,67,80,81,66,72,61,53,49,41,43,50,41,46,41,42,37,43,36,38,40,44,49,36,34,32,43,53,43,40,41,45,49,39,37
14,84,81,78,63,80,79,67,72,58,52,47,40,45,49,41,45,41,45,40,41,36,37,45,45,48,35,35,34,42,52,37,38,45,46,48,37
15,84,86,84,76,62,79,82,66,69,57,54,47,40,47,47,40,45,43,45,39,41,34,40,45,46,48,32,35,39,44,39,37,41,48,47,48
16,82,81,83,84,77,66,78,76,60,68,57,54,48,40,44,48,40,47,44,43,42,41,35,43,43,47,48,33,33,40,41,39,39,43,44,47
17,76,85,81,88,83,81,65,73,74,61,69,57,54,50,39,43,48,40,47,44,40,38,43,35,47,45,45,47,35,32,39,40,40,39,46,47
18,101,76,80,82,85,84,80,64,74,74,58,70,59,54,50,39,43,47,41,43,43,40,35,44,34,44,45,46,51,37,44,39,40,43,36,42
19,82,101,77,87,81,83,84,81,66,74,72,60,70,57,55,52,40,44,48,42,42,43,37,34,45,34,42,45,49,48,43,44,39,39,43,36
20,68,85,100,79,84,83,87,85,85,67,78,75,62,70,56,57,53,41,44,47,42,43,43,36,35,45,32,44,49,50,42,44,43,37,39,44
21,53,73,81,96,83,86,84,88,87,83,69,79,76,62,71,59,60,54,38,49,46,40,47,45,40,35,45,35,43,47,46,42,46,46,42,39
22,62,49,71,83,100,89,84,83,96,86,90,70,78,75,63,71,59,55,53,41,50,46,43,47,41,41,39,46,38,41,48,46,45,47,44,43
23,66,65,53,76,80,105,86,84,84,89,86,88,70,79,79,64,72,60,57,57,45,47,55,50,45,39,41,43,47,35,45,48,47,51,48,43
24,70,71,67,47,77,78,102,85,93,79,86,84,86,73,79,78,65,76,59,54,57,49,47,52,48,46,45,42,47,44,59,49,50,49,51,50
25,63,68,71,69,52,74,80,95,92,88,81,81,85,84,71,81,80,67,80,61,56,58,55,50,52,47,48,44,41,40,55,56,51,52,48,50
26,51,60,67,70,72,53,78,80,96,95,86,79,77,86,86,78,81,80,64,77,63,53,59,57,51,59,50,54,43,42,65,52,59,57,57,55
27,55,47,60,63,74,79,53,73,76,96,100,84,76,76,81,84,80,83,85,70,78,66,57,68,47,51,60,57,49,45,76,64,54,66,49,56
28,61,55,49,59,65,72,82,57,70,73,91,90,83,77,68,82,90,82,82,83,69,79,64,60,62,49,57,63,51,58,68,76,63,57,62,52
29,57,57,55,52,58,62,70,81,54,70,75,90,88,81,74,75,86,92,79,79,83,70,78,67,59,57,53,59,59,51,85,68,77,63,59,59
30,64,59,51,54,53,60,63,68,80,57,70,73,86,87,82,77,75,84,96,78,79,71,79,81,66,61,57,55,59,53,77,83,71,78,62,61
31,55,64,58,53,55,55,63,64,70,82,59,67,69,87,85,84,79,79,86,96,78,73,71,80,79,62,66,66,55,51,75,75,86,76,78,60
32,74,52,63,56,52,54,61,64,66,72,79,59,67,69,87,87,76,76,83,83,96,74,72,68,76,87,59,70,63,58,100,73,71,70,73,87
33,89,77,56,65,54,55,52,59,57,63,68,73,56,69,69,93,94,73,80,86,89,93,77,71,71,70,91,59,61,66,91,97,77,76,69,71
34,76,94,71,55,64,54,57,55,63,58,59,64,75,52,73,74,90,89,72,79,85,85,94,74,70,63,74,89,57,62,88,87,100,77,75,64
35,80,72,86,70,55,64,54,58,57,62,60,57,61,75,47,76,75,91,90,73,80,84,86,91,74,70,62,76,87,57,80,86,88,90,77,78
36,62,78,67,81,73,56,64,59,62,55,62,60,57,60,75,50,76,79,89,90,75,77,92,81,88,72,68,66,75,88,78,76,87,85,87,75
37,62,60,78,68,86,70,56,63,60,61,61,57,62,56,61,73,53,74,82,89,84,79,84,90,79,94,75,70,68,71,89,76,79,86,86,92
38,72,58,60,79,68,86,71,58,66,59,62,63,52,63,54,62,72,53,73,84,88,83,77,91,95,73,94,77,72,67,90,84,79,91,92,80
39,64,70,61,61,80,69,81,72,56,64,62,61,65,50,63,53,65,71,53,69,83,90,85,77,90,93,83,95,76,69,85,87,87,79,92,93
40,66,67,72,60,56,80,68,81,71,57,62,64,65,63,49,64,55,64,71,57,74,79,96,77,75,84,91,84,89,77,76,83,89,82,75,87
41,76,66,65,70,59,56,82,71,82,70,56,59,64,64,60,49,67,52,66,72,58,70,79,96,77,76,81,90,81,87,58,74,81,96,83,77
42,77,77,67,60,68,54,55,79,71,81,71,51,58,62,64,59,54,65,55,67,75,56,70,80,94,79,80,82,97,82,80,57,75,82,96,86
43,81,75,78,67,60,69,57,58,81,69,81,70,52,59,64,64,59,54,67,61,67,76,58,75,80,93,76,79,78,97,67,79,60,74,83,95
44,76,78,71,78,71,62,69,51,55,77,71,83,71,51,56,62,63,59,54,67,63,67,76,62,77,84,94,74,75,75,62,66,81,64,78,87
45,55,74,80,73,76,65,57,69,56,57,72,69,82,70,54,58,58,65,61,55,67,59,70,78,62,72,86,94,74,74,68,59,69,81,63,73
46,72,57,74,79,73,76,67,61,68,51,57,71,71,79,72,55,57,56,65,62,57,67,58,68,73,63,70,85,99,76,59,68,59,70,77,64
47,45,68,52,70,81,75,73,66,57,69,51,59,72,69,76,69,54,57,56,62,63,57,67,56,64,72,63,70,80,100,63,58,70,59,67,75
48,70,45,67,54,71,82,73,75,69,54,68,50,60,68,73,73,66,53,60,53,61,61,57,68,57,67,68,62,78,78,61,60,59,71,60,69
49,70,69,47,64,54,70,82,74,75,68,51,67,50,58,70,73,76,69,54,61,53,60,62,56,68,58,65,65,62,82,56,60,63,58,70,61
50,63,69,67,45,68,56,70,84,75,74,70,52,66,51,57,69,72,78,68,55,62,57,57,62,53,68,58,65,68,62,60,58,59,63,56,70
51,72,60,70,70,48,64,54,68,82,76,71,66,51,67,52,58,68,72,80,68,56,61,59,54,57,56,65,62,64,68,52,60,60,56,61,59
52,62,71,60,66,67,47,66,56,70,84,72,73,68,51,68,53,57,64,75,78,68,54,62,60,54,58,55,66,65,67,66,50,62,61,56,62
53,70,62,74,59,67,66,48,65,57,71,87,72,68,66,55,67,55,58,63,72,76,68,55,60,58,56,61,58,68,65,77,64,51,60,59,58
54,61,69,62,73,58,66,66,47,63,57,72,85,73,68,64,53,68,58,56,63,70,75,67,53,61,61,58,60,59,64,73,74,66,53,60,61
55,63,59,69,64,67,59,67,64,47,62,60,72,83,68,69,64,52,70,61,57,62,72,77,65,51,59,65,60,61,63,65,72,74,64,52,59
56,68,67,55,69,65,66,57,63,61,48,62,60,71,83,68,69,65,52,69,61,57,65,74,75,63,50,60,66,61,60,57,65,73,78,63,51
57,57,66,63,56,69,66,65,55,63,62,47,62,60,70,83,66,71,67,52,69,61,56,68,73,78,62,48,60,66,60,59,55,69,72,80,63
58,54,56,66,59,56,68,60,67,55,61,61,47,62,59,69,85,62,70,66,53,73,59,54,68,72,77,60,49,58,68,75,57,55,67,71,79
59,59,51,54,67,61,57,66,58,64,57,62,62,47,62,57,67,85,61,72,65,54,74,60,54,67,72,77,65,50,59,56,73,60,55,67,71
60,50,65,48,53,62,64,56,66,55,63,50,61,62,48,62,52,63,86,65,70,65,54,74,59,52,69,73,77,65,47,64,55,74,59,53,69
