ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,18,27,11,23,19,24,27,18,22,24,29,32,29,30,32,32,40,40,38,36,36,37,27,29,30,32,26,32,37,30,39,37,26,29,30,31
1,32,17,24,12,22,24,25,27,18,21,21,30,34,31,29,33,33,39,41,38,35,36,37,29,30,25,36,30,35,39,36,38,38,29,30,25
2,37,33,15,29,15,25,25,26,27,17,22,21,28,33,33,30,32,32,36,42,39,34,37,37,25,32,22,36,33,35,40,35,38,37,26,32
3,25,36,33,17,28,14,25,27,26,26,18,24,20,29,36,35,30,32,38,37,43,37,34,38,39,24,31,22,38,33,44,39,35,41,38,25
4,19,26,34,34,18,26,16,26,27,25,25,19,28,21,29,35,34,30,32,38,38,41,38,36,36,40,30,34,27,40,37,41,40,37,39,39
5,41,19,25,31,34,17,25,17,27,26,23,25,18,28,22,30,35,35,29,31,37,41,43,40,36,35,44,31,35,29,35,39,42,40,37,38
6,40,42,20,26,30,34,21,25,16,27,27,22,25,18,30,22,30,35,36,30,30,36,41,44,37,37,35,44,33,37,31,35,39,43,38,38
7,41,39,43,18,26,29,35,21,25,17,26,26,22,25,19,30,23,31,35,37,29,31,37,38,42,37,38,36,44,32,30,32,36,37,42,38
8,53,39,39,44,19,29,31,36,19,24,19,28,27,22,25,19,30,25,32,34,38,30,33,38,36,42,36,39,36,45,38,31,33,36,36,42
9,42,53,38,40,44,19,28,30,35,20,27,19,29,27,22,25,20,30,26,34,34,40,32,32,36,37,43,35,39,38,35,40,33,32,34,37
10,57,41,52,37,45,46,19,28,29,36,21,25,20,29,27,23,25,20,29,31,36,34,39,32,32,36,39,45,38,42,35,35,40,33,31,34
11,43,58,41,52,37,42,43,20,28,28,37,23,28,21,29,28,23,24,21,28,31,35,34,38,32,34,34,37,43,39,30,33,34,39,33,33
12,52,44,57,41,52,38,42,43,21,29,28,39,23,29,21,30,28,23,24,23,27,29,34,34,39,31,34,35,36,42,28,29,34,33,40,32
13,54,52,44,56,41,51,37,42,43,21,30,26,39,24,28,21,31,27,23,25,22,27,28,34,34,41,33,36,34,38,23,28,29,34,33,42
14,55,54,51,44,56,42,48,37,42,41,21,30,26,40,25,29,21,29,26,23,25,22,30,30,34,35,42,35,34,34,26,22,30,31,33,34
15,47,55,57,53,46,57,41,46,38,42,40,23,33,27,40,25,30,21,29,25,24,25,21,31,31,36,35,42,34,32,25,26,21,31,32,35
16,52,45,54,56,53,46,57,42,47,38,42,40,23,33,27,43,24,31,21,29,25,23,25,23,30,32,35,38,41,33,27,25,26,22,30,33
17,50,54,45,53,55,53,48,57,43,46,38,41,43,25,33,27,43,23,31,22,30,25,23,29,23,32,31,35,38,41,28,27,25,30,22,32
18,57,51,52,47,52,57,54,47,56,43,47,36,42,44,25,34,27,43,23,32,24,32,24,23,33,25,34,34,34,38,24,30,27,25,33,24
19,26,57,51,53,46,54,57,54,45,55,42,49,36,42,43,27,34,25,42,24,34,23,33,25,23,37,25,35,35,36,32,22,31,28,25,36
20,47,23,53,51,53,45,53,60,54,43,59,40,50,38,43,42,28,39,27,42,24,35,24,34,25,23,36,23,33,34,24,34,24,34,28,25
21,47,46,23,54,47,53,45,52,61,53,43,61,42,50,41,45,43,31,37,31,42,26,38,25,33,28,25,35,23,32,39,26,36,25,34,31
22,42,48,46,24,52,52,55,47,50,60,54,49,61,42,50,40,45,42,31,38,34,42,24,39,26,32,29,29,33,23,35,39,25,36,26,34
23,45,44,46,46,25,53,54,57,44,55,64,58,49,61,43,52,40,46,40,32,36,32,44,24,41,28,29,31,27,32,35,33,41,25,38,28
24,49,41,42,45,44,24,51,49,56,48,53,60,53,48,66,42,50,41,48,39,34,40,29,41,24,43,29,35,31,31,33,39,30,38,25,41
25,29,46,41,44,42,43,23,51,49,52,49,53,61,55,51,65,44,57,41,50,40,33,44,30,40,23,41,32,36,33,41,32,43,31,37,24
26,32,33,44,37,44,41,43,23,48,51,52,50,53,61,52,52,64,46,58,42,51,45,33,45,34,39,29,42,33,34,52,45,33,43,34,37
27,40,33,32,43,38,44,45,40,23,47,50,56,51,49,64,52,51,61,52,57,43,49,42,30,46,40,47,29,43,34,46,48,43,32,43,40
28,36,32,31,30,42,40,44,49,42,21,52,57,54,52,54,68,53,52,60,55,54,42,48,46,27,51,37,51,31,50,52,45,50,47,28,48
