ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,9,5,8,3,2,3,3,5,3,3,3,6,5,9,1,5,5,2,5,6,8,3,6,4,10,8,10,3,6,12,7,3,6,4,10,8
1,5,9,5,7,4,4,3,3,5,5,4,4,6,4,9,1,5,7,2,4,4,5,3,5,4,9,7,10,3,4,4,4,2,5,4,9
2,5,5,7,5,7,6,4,4,3,5,5,4,4,6,5,9,2,5,7,2,4,5,5,3,5,4,9,8,12,4,4,5,4,3,5,5
3,2,5,5,8,6,7,6,4,3,3,7,5,4,4,6,5,9,2,5,7,2,4,7,5,4,6,4,7,8,10,2,4,7,5,4,7
4,5,2,6,5,7,6,8,6,3,2,4,7,7,3,4,5,5,8,3,4,5,2,4,6,5,4,4,4,7,8,5,2,4,7,5,4
5,11,3,2,5,5,6,6,8,6,3,3,4,7,7,3,4,6,5,8,2,3,5,2,5,5,6,5,6,4,7,3,5,2,5,6,4
6,8,11,3,2,4,5,6,8,7,6,4,3,3,7,7,3,4,5,6,9,2,3,5,3,3,5,4,5,6,4,2,3,5,3,3,6
7,5,7,11,3,2,4,5,4,5,7,7,3,3,3,7,7,4,4,5,6,9,2,3,5,3,2,6,3,5,6,7,2,3,6,3,3
8,9,5,7,11,4,3,4,4,4,5,7,9,2,3,3,7,8,4,5,5,6,9,2,3,6,3,3,6,3,5,6,7,2,4,8,3
9,9,8,5,6,9,4,2,4,4,6,6,8,9,2,3,3,7,8,5,5,5,6,8,2,4,9,3,4,6,3,5,6,7,2,3,10
10,9,8,8,6,6,9,4,2,4,4,6,7,8,8,1,3,3,7,7,5,3,5,5,8,2,5,9,3,5,6,3,5,6,6,2,4
11,9,9,8,8,6,5,9,4,2,4,5,6,7,8,8,1,4,4,7,8,5,3,6,5,7,2,5,9,4,4,5,3,6,6,5,2
12,8,8,9,8,9,6,5,9,5,2,5,6,6,7,8,7,1,4,5,5,7,6,3,5,3,5,2,7,11,2,5,6,3,5,4,4
13,10,8,9,8,8,8,6,5,9,6,5,5,6,6,7,7,8,0,4,5,5,6,7,4,5,4,4,2,7,10,6,5,7,4,5,5
14,12,12,8,9,7,8,8,6,5,9,4,5,6,5,6,6,7,8,0,4,5,6,6,7,4,5,3,4,2,7,4,7,5,8,4,6
15,11,11,11,9,9,7,8,9,6,5,10,4,5,6,5,6,6,8,8,0,3,5,4,6,6,5,6,3,4,2,3,4,6,6,6,4
16,8,12,11,11,8,9,8,8,8,6,7,12,4,3,6,5,5,5,8,8,1,3,6,4,5,4,4,6,3,5,1,4,5,7,5,6
17,11,7,12,10,10,9,9,8,9,8,9,7,11,4,3,6,5,6,6,7,8,0,3,4,4,5,6,6,6,4,8,1,3,3,7,5
