ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,18,31,22,31,29,21,24,20,19,31,13,17,31,11,17,16,15,11,17,17,12,13,17,14,12,10,21,17,19,10,15,13,19,13,12,10
1,23,15,35,21,27,29,19,25,22,18,24,13,17,27,12,17,18,15,10,17,16,13,13,16,14,11,8,19,16,17,16,15,13,19,12,11
2,20,24,17,32,21,27,31,17,25,19,20,23,14,17,27,13,14,17,14,9,14,16,13,13,18,12,13,9,20,17,14,16,15,13,19,10
3,29,21,24,19,31,22,26,27,16,26,19,18,19,16,16,27,17,13,18,15,9,17,16,13,14,16,11,11,11,18,10,14,16,15,14,17
4,36,28,20,24,17,31,21,25,26,16,28,22,20,19,16,16,25,18,13,17,14,10,19,14,14,15,16,11,10,10,13,11,14,15,16,15
5,34,34,28,21,24,18,32,21,26,26,17,27,26,19,19,17,16,23,17,13,15,16,12,18,14,12,15,18,11,11,15,14,13,14,15,14
6,30,32,34,31,22,24,17,36,19,25,27,18,29,26,16,20,19,15,21,18,12,15,16,13,20,17,12,15,20,11,13,15,14,14,23,18
7,34,31,32,32,29,21,24,17,33,19,24,28,19,25,26,18,19,18,15,20,17,14,13,15,14,20,18,13,17,19,14,14,14,14,15,22
8,29,32,31,33,31,33,20,23,20,31,18,23,29,18,25,25,19,19,18,16,19,16,14,13,15,14,20,19,12,17,18,14,14,13,14,15
9,32,28,33,29,32,29,32,22,24,19,33,16,24,30,18,25,24,20,20,17,15,21,16,14,13,15,14,20,19,13,14,21,14,13,13,16
10,33,29,28,35,26,32,29,31,23,24,18,33,17,25,30,19,25,23,22,21,15,17,22,13,14,13,16,14,18,20,13,15,21,13,13,13
11,24,33,28,27,35,28,31,26,31,22,23,18,33,17,24,30,19,25,20,23,22,14,15,22,14,12,12,16,14,19,23,12,14,21,14,12
12,39,24,35,28,26,35,29,32,26,31,23,23,18,35,16,25,30,20,25,19,25,21,14,17,23,13,11,12,18,13,21,22,12,16,21,14
13,29,37,24,35,26,24,36,31,34,25,33,23,22,18,35,18,24,28,23,25,19,23,22,15,17,24,13,11,12,18,20,21,23,13,16,21
14,34,29,37,25,34,27,25,34,29,36,29,34,22,22,17,35,17,24,28,24,25,17,23,22,14,18,22,13,11,12,25,19,21,23,13,17
15,31,35,30,35,24,35,27,25,34,29,33,28,35,22,23,17,35,18,25,28,25,25,17,23,24,16,19,20,14,9,21,25,19,21,24,15
16,34,30,35,30,32,21,36,27,28,33,27,33,28,35,22,24,17,34,20,26,27,24,25,16,19,24,15,19,19,15,27,21,25,19,19,24
17,47,33,30,36,28,32,23,35,27,28,31,27,32,28,34,21,25,17,34,20,27,24,23,23,17,18,24,15,19,19,27,27,20,24,19,18
18,29,47,35,30,32,27,33,24,34,27,29,31,27,32,26,33,20,26,18,34,18,26,25,22,23,16,17,23,15,19,19,27,27,20,23,18
19,24,27,47,33,30,33,27,31,24,35,29,30,31,28,31,27,31,19,27,18,34,18,24,25,21,23,14,17,22,12,33,20,24,27,20,24
20,28,21,25,45,32,28,34,28,34,23,36,29,30,33,28,32,26,29,18,27,18,33,17,26,26,21,22,16,17,22,19,34,19,28,27,20
21,33,28,21,24,42,32,27,32,25,30,21,37,28,30,34,30,32,27,29,18,27,19,31,18,27,25,21,23,18,17,28,19,33,19,27,24
22,29,36,29,18,23,41,31,27,33,25,31,18,39,27,28,36,30,30,29,29,18,25,19,30,19,28,27,21,22,17,17,27,19,32,20,28
23,35,30,36,28,19,22,38,32,26,34,28,29,19,38,28,28,33,30,30,29,30,20,24,20,30,20,25,27,20,21,31,18,25,19,32,21
24,30,37,32,36,22,21,21,35,29,26,34,31,27,19,37,27,27,32,29,31,30,29,19,25,22,29,18,25,26,21,29,31,18,26,21,31
25,32,26,35,31,36,21,18,21,32,26,27,31,31,28,19,35,26,25,37,28,29,31,30,18,26,22,29,20,25,28,30,31,32,17,25,21
26,25,30,26,35,31,34,21,18,20,29,27,25,29,32,29,20,34,25,24,37,29,28,29,30,18,24,18,29,21,26,29,31,28,31,17,25
27,21,22,29,23,33,31,33,20,20,20,30,25,27,27,33,29,19,34,25,25,32,26,29,29,31,18,21,15,28,16,30,27,30,28,32,17
28,30,21,23,29,21,34,32,31,20,21,19,29,25,31,27,33,29,17,33,23,23,32,28,31,29,29,18,23,15,31,27,31,28,31,28,30
29,20,30,22,21,30,19,34,30,31,20,24,20,30,25,30,24,31,29,17,30,22,23,32,27,31,29,27,18,24,17,24,27,32,30,30,28
30,17,22,32,21,20,31,20,31,31,31,18,23,20,28,28,29,29,32,28,20,30,23,26,33,28,28,29,26,17,23,30,24,28,33,29,28
31,23,17,22,30,21,20,29,19,29,32,30,17,22,19,26,29,28,28,31,26,19,30,23,26,31,27,27,29,27,18,23,31,24,28,32,30
32,24,22,21,21,29,21,20,30,24,25,33,28,19,20,20,27,29,28,30,32,24,19,32,22,23,32,26,28,24,28,28,23,32,22,25,34
33,31,23,24,19,22,29,21,20,29,26,26,33,27,19,21,20,25,29,27,31,32,27,18,30,21,29,31,27,30,26,31,31,21,29,23,30
34,28,30,23,27,19,21,28,20,21,29,23,27,33,26,19,20,19,26,25,23,31,32,29,16,28,20,30,32,24,30,31,33,33,19,29,22
35,23,29,33,24,26,21,22,29,21,20,28,23,29,32,27,20,17,21,26,23,23,30,31,27,14,28,20,28,32,27,21,31,32,32,18,31
36,26,23,29,29,28,28,20,22,29,24,22,29,24,31,33,28,23,17,17,26,22,23,28,31,26,15,29,22,27,32,23,22,29,31,31,18
37,19,26,22,28,27,30,25,19,22,28,24,21,30,24,34,31,27,23,18,17,25,21,22,29,30,27,17,31,21,26,25,22,22,31,30,32
38,20,17,29,22,28,27,29,25,19,17,31,24,21,31,24,32,30,26,22,18,16,26,21,23,30,28,27,18,31,20,18,26,22,23,33,27
39,26,20,19,30,21,26,27,27,25,18,18,32,24,21,28,23,32,30,26,24,20,16,25,23,23,31,28,26,20,32,18,19,26,24,23,35
40,19,25,19,16,30,20,26,28,28,23,21,18,32,23,21,27,24,31,30,25,21,20,17,26,22,20,31,28,29,19,21,20,20,26,22,20
41,15,18,24,21,14,30,20,28,29,27,24,21,19,33,25,20,24,24,30,30,25,20,21,17,25,23,20,30,27,29,26,20,20,20,25,24
42,23,12,18,24,18,14,27,19,26,32,26,23,20,19,33,23,22,26,23,30,31,25,18,23,17,23,23,22,29,26,28,26,19,22,20,23
