ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,17,17,9,14,13,19,15,17,15,20,18,17,14,20,21,17,28,29,19,16,34,18,16,36,25,18,39,30,32,16,34,19,17,37,25
1,12,13,17,19,11,16,15,16,14,18,15,21,17,15,16,19,21,17,27,29,19,15,31,17,18,35,28,17,39,29,18,16,32,15,19,36
2,25,12,13,14,24,10,17,19,17,16,15,15,21,16,17,17,19,23,19,28,28,20,16,32,18,23,29,29,18,34,30,20,17,32,16,24
3,24,25,12,14,15,26,15,16,17,18,18,17,17,21,17,16,17,20,24,16,30,27,22,16,35,20,22,25,27,18,29,28,22,18,35,18
4,25,24,21,12,13,15,27,16,17,16,18,16,18,17,20,18,16,18,19,24,15,31,26,22,20,36,21,20,27,27,18,29,27,22,20,37
5,29,26,24,23,9,14,17,29,18,17,16,18,17,18,18,21,19,18,18,19,24,15,28,24,27,21,35,25,23,26,25,20,25,25,27,21
6,29,28,23,23,27,9,16,18,30,17,16,16,17,18,18,18,23,19,18,16,22,24,14,29,25,21,19,32,22,24,23,25,20,25,26,22
7,36,27,27,26,24,26,10,16,18,25,20,17,17,18,15,18,17,24,20,21,16,22,23,16,29,28,23,18,31,21,15,23,23,23,26,29
8,23,34,27,22,26,24,24,12,15,18,25,20,18,17,15,14,17,17,25,22,23,15,21,21,18,25,31,22,17,31,24,14,22,22,24,23
9,28,24,34,25,22,26,23,24,11,16,17,26,20,19,18,18,15,18,17,27,21,25,16,20,23,25,29,29,25,18,20,25,15,22,23,30
10,33,27,24,35,27,24,24,23,22,12,16,17,25,20,21,17,19,16,16,18,29,19,24,16,20,25,26,28,28,25,30,18,24,15,22,25
11,28,35,28,24,34,28,28,23,21,21,11,15,16,23,19,19,18,18,17,15,18,28,20,24,15,20,22,28,28,27,18,30,18,24,14,22
12,32,28,34,29,25,31,29,29,21,22,18,11,16,16,25,19,20,18,17,17,15,19,27,20,23,15,21,23,27,24,13,17,28,19,24,14
13,37,31,28,33,29,27,34,26,27,20,23,19,9,18,16,25,19,23,20,19,17,15,21,32,21,24,15,22,24,23,16,13,19,32,20,24
14,33,39,33,30,32,28,25,34,23,27,20,23,19,9,20,14,27,20,23,20,21,16,15,20,32,22,24,15,21,23,24,16,14,18,33,21
15,37,32,39,35,30,32,30,25,33,24,31,23,23,19,9,18,15,28,20,22,21,22,14,16,20,32,20,27,18,21,19,24,15,17,19,33
16,41,35,32,37,35,31,33,27,28,35,25,31,24,24,18,11,18,15,29,20,22,21,22,14,15,19,32,19,24,19,22,20,24,15,16,18
17,43,41,36,35,36,35,30,33,29,27,32,24,31,24,24,19,16,17,18,28,18,20,21,22,16,16,17,33,19,24,19,21,21,23,16,17
18,39,42,44,36,34,36,38,32,32,27,31,32,23,31,25,24,19,18,18,18,27,19,19,18,24,17,18,18,32,22,27,19,21,20,24,17
19,51,37,41,41,34,32,37,38,34,31,29,32,31,23,30,24,26,19,19,20,18,26,22,17,18,25,17,19,16,31,18,27,21,20,20,25
20,31,50,35,40,40,34,31,36,39,33,32,26,32,34,23,29,21,27,20,18,21,17,25,22,20,19,27,17,20,19,20,17,26,21,23,22
21,35,31,47,36,40,41,36,28,36,41,33,31,27,30,35,21,28,22,26,20,18,21,14,24,26,17,23,32,18,21,19,19,16,25,24,21
22,39,30,33,48,39,39,39,33,31,36,43,35,31,25,28,34,23,30,22,27,20,20,24,12,23,28,18,24,31,18,20,21,20,17,25,26
23,28,42,30,33,47,39,41,39,34,34,37,45,37,33,25,32,34,25,32,21,24,22,22,26,14,24,28,19,24,29,25,22,24,24,19,26
24,33,30,40,30,36,47,38,36,41,40,36,37,42,37,34,28,32,36,30,32,19,23,24,20,26,15,25,26,21,19,20,23,23,23,25,18
25,27,30,26,36,33,38,46,37,40,44,37,38,38,43,36,33,36,32,34,31,31,16,25,26,18,27,18,27,21,23,32,17,26,24,21,26
26,20,26,32,26,35,36,41,47,36,38,40,40,37,38,43,39,31,36,35,35,31,29,18,27,28,16,31,17,26,19,32,30,18,26,26,19
27,37,20,25,34,23,37,35,37,47,35,36,38,41,35,36,43,41,30,32,32,33,32,35,22,25,28,15,32,16,23,33,32,32,22,25,27
28,23,40,19,22,34,22,41,31,38,44,37,33,39,41,37,34,44,41,30,35,33,35,35,36,25,29,32,20,31,16,33,35,35,36,24,30
29,34,22,37,18,26,33,23,33,32,38,43,35,34,37,41,35,36,42,37,31,38,35,40,34,42,25,33,30,22,30,37,34,37,35,42,23
30,19,32,19,35,19,28,33,24,36,30,38,44,32,34,38,44,37,40,43,33,34,35,35,42,37,35,23,32,27,21,35,36,35,43,38,36
31,40,18,31,20,34,20,29,32,21,34,32,41,44,31,36,36,42,36,38,39,32,31,36,41,41,40,38,24,30,28,31,35,38,39,40,40
32,24,37,18,28,22,31,21,28,31,24,34,31,36,43,32,36,40,43,34,40,41,36,33,47,40,47,44,44,24,30,41,35,31,40,37,44
33,31,25,35,20,35,23,32,18,31,31,25,35,29,35,44,28,31,43,42,35,45,42,37,35,47,46,45,47,42,26,44,43,37,33,49,42
34,23,31,26,36,15,33,24,35,15,33,31,25,35,30,36,43,30,34,49,45,37,45,39,38,37,48,40,44,48,37,35,42,43,38,36,49
35,28,25,30,24,39,15,33,24,33,13,33,30,25,37,32,31,41,30,34,48,46,36,38,46,40,36,55,36,41,46,47,36,44,47,41,36
36,19,26,26,32,20,39,18,33,23,31,12,30,31,27,36,27,35,36,31,36,48,48,32,39,48,45,32,52,36,40,50,48,35,46,49,45
37,30,18,29,24,32,22,43,19,30,22,35,12,31,32,28,34,26,34,37,34,35,44,49,34,40,51,46,35,54,35,35,46,50,37,40,53
38,30,29,18,28,24,33,23,43,21,30,25,36,12,31,31,28,34,30,36,39,34,37,47,50,37,43,48,47,34,56,33,35,51,51,40,44
39,33,31,29,21,29,24,35,25,43,23,34,25,37,12,30,32,28,36,31,36,40,34,36,56,53,41,40,53,45,31,42,34,34,53,53,43
40,27,32,29,29,21,27,27,35,24,41,24,35,25,36,14,29,33,28,40,32,36,37,33,39,55,60,45,38,50,43,35,39,35,36,56,58
41,32,25,32,29,29,22,27,27,33,23,40,24,35,25,36,12,29,37,28,40,32,36,43,34,46,51,59,39,41,49,32,35,41,36,40,52
42,27,31,27,33,28,29,23,26,28,35,25,40,23,35,28,35,13,30,36,29,41,34,35,44,36,44,55,58,41,40,39,33,35,46,39,40
43,42,26,32,25,33,28,30,23,24,30,35,25,37,23,35,28,34,14,28,34,28,42,36,34,46,38,44,57,54,40,29,40,34,36,46,40
44,30,42,28,31,25,34,29,30,22,24,29,33,25,35,22,35,29,33,17,30,30,28,41,37,34,47,34,43,57,57,34,27,42,35,36,48
45,29,30,38,27,30,24,33,27,30,20,26,28,33,24,37,25,36,28,33,18,31,30,27,39,38,35,48,34,42,54,31,32,26,41,36,36
46,37,29,30,39,28,30,26,34,27,32,20,26,28,35,24,37,26,36,29,33,18,31,31,30,40,37,35,48,35,39,17,32,33,29,41,35
47,32,34,28,30,39,26,28,26,34,27,30,19,26,29,32,25,38,24,38,29,31,19,31,28,31,38,35,36,48,36,32,18,33,30,31,39
48,28,31,32,29,31,40,31,27,26,32,27,30,18,26,29,32,27,37,24,38,28,32,16,31,29,30,38,36,33,46,25,35,16,32,31,29
