ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,6,4,9,2,4,4,4,6,4,7,9,5,3,2,2,5,6,8,5,2,3,2,2,3,4,3,2,6,5,2,4,2,2,3,4
1,3,1,3,5,9,2,6,3,3,7,5,8,9,4,3,2,2,5,5,8,4,1,3,3,3,3,5,3,2,6,4,2,4,2,2,4
2,5,3,2,3,6,7,2,6,3,3,6,5,5,9,4,3,2,2,5,5,8,3,3,3,3,4,1,3,3,2,7,4,2,4,None,3
3,5,4,3,1,4,6,5,1,5,3,4,5,5,5,9,4,3,3,2,5,5,8,4,3,3,2,4,1,3,4,5,7,4,2,3,None
4,3,4,4,3,1,5,6,5,2,4,3,4,3,5,5,9,4,3,1,2,6,5,8,4,2,3,3,4,1,3,4,5,7,4,2,3
5,7,3,5,4,3,1,5,6,5,2,4,3,4,2,5,5,9,4,3,1,2,5,4,8,4,2,4,1,4,1,2,4,5,7,4,2
6,10,6,3,4,3,3,3,5,6,5,2,4,2,4,2,5,5,10,4,3,1,3,5,4,7,4,2,4,1,4,1,2,4,5,6,4
7,9,12,6,3,4,4,5,2,3,5,4,2,3,3,4,2,5,5,10,4,3,1,2,5,3,7,4,2,4,2,2,1,2,4,5,6
8,4,8,11,6,3,5,4,5,2,4,5,4,1,3,3,4,2,5,5,9,4,3,2,2,4,3,8,4,2,4,4,2,1,2,4,5
9,11,3,9,12,6,3,7,4,5,2,4,5,4,1,3,2,4,2,5,4,9,5,3,2,2,4,4,8,4,2,10,4,2,1,2,4
10,8,11,3,10,12,6,3,5,4,5,2,4,4,4,1,3,2,4,2,6,4,9,5,3,3,2,5,4,8,4,7,9,4,2,2,2
11,5,8,11,3,10,12,8,3,5,5,5,2,4,4,4,1,3,2,4,2,4,4,9,5,3,3,2,5,5,7,6,7,9,4,2,2
12,6,5,7,12,3,9,12,6,3,5,5,5,2,4,4,4,1,3,1,4,2,4,5,10,6,3,1,2,5,5,2,6,7,9,5,2
13,5,6,5,7,11,3,9,12,5,3,4,5,4,2,4,4,4,1,3,1,4,3,5,5,9,6,2,1,2,5,4,2,6,7,7,5
14,9,5,5,5,7,11,3,10,12,5,3,4,4,4,2,4,4,4,2,3,2,4,3,6,6,9,6,2,1,2,4,4,2,6,6,7
15,6,9,5,5,5,7,11,3,8,11,4,3,3,4,4,2,4,4,4,2,3,2,4,3,6,7,9,4,2,1,3,4,4,2,5,6
16,6,6,8,5,5,6,8,11,3,8,13,4,3,3,4,4,3,7,4,4,2,3,3,4,3,6,7,9,4,2,2,3,4,4,2,5
17,6,6,6,9,5,5,5,8,12,3,7,13,4,3,3,4,4,3,7,4,4,2,3,3,4,3,7,5,9,4,4,2,3,4,4,2
18,10,5,9,7,9,5,5,5,8,12,3,7,10,5,3,3,6,4,3,7,5,4,2,3,4,4,4,8,6,9,4,4,2,3,4,4
19,5,11,5,8,6,9,5,4,6,8,12,3,8,9,6,2,3,6,3,4,6,7,4,1,4,4,4,3,9,6,4,4,4,2,4,4
20,5,4,10,6,9,6,11,4,4,3,9,11,2,9,10,6,1,4,6,2,6,6,6,4,1,3,4,4,3,10,4,4,4,4,2,3
21,7,7,5,10,5,9,6,11,3,4,3,9,9,None,8,10,6,None,5,8,3,6,6,6,5,3,4,4,4,3,4,4,4,4,4,4
22,5,7,6,6,11,5,12,7,10,3,4,3,7,9,1,8,12,5,None,5,8,3,6,6,7,5,4,4,4,4,8,4,4,4,6,5
23,1,5,10,7,6,11,6,10,9,10,4,4,2,5,9,2,9,12,6,2,4,9,4,6,7,7,5,4,4,4,4,8,4,4,5,6
24,2,2,5,8,8,5,10,5,9,7,12,5,6,2,5,10,None,10,13,8,3,3,9,3,6,5,6,5,3,4,4,4,8,4,5,3
25,3,3,1,6,7,8,5,9,5,8,9,14,5,5,1,6,8,None,10,15,7,3,4,10,6,6,5,6,5,3,6,4,4,9,5,5
26,5,3,3,None,6,6,6,5,8,5,8,8,14,5,5,1,5,9,None,11,17,8,3,4,8,7,6,5,6,5,14,6,4,4,9,7
27,2,5,2,3,1,6,5,7,4,8,6,6,8,13,4,5,1,6,8,1,12,17,8,3,3,4,6,6,5,6,11,13,6,4,4,6
28,1,2,5,2,3,1,6,6,6,5,8,6,6,9,14,3,6,1,6,9,4,8,13,9,2,2,5,6,6,5,4,10,11,6,4,4
29,3,1,3,5,2,3,2,3,7,6,5,8,5,6,9,13,4,6,1,8,9,6,7,12,8,2,4,5,5,4,9,4,9,13,6,3
30,3,3,1,5,5,3,3,2,2,10,6,4,6,5,6,10,10,4,5,3,8,11,4,6,12,10,3,4,5,5,8,9,4,9,15,8
31,4,3,4,3,5,5,2,3,2,1,10,6,4,5,6,6,10,10,4,5,3,7,9,6,7,13,10,3,4,5,5,8,8,4,10,14
32,5,4,2,4,2,5,5,1,4,2,1,10,6,4,6,6,6,10,10,4,6,4,8,10,4,8,11,11,3,6,6,5,8,8,2,12
33,2,5,4,2,3,3,5,4,None,3,3,2,8,7,4,7,6,7,11,10,3,5,6,6,13,3,8,13,9,5,4,6,5,8,11,2
34,2,None,5,4,1,5,1,6,4,None,3,3,2,7,7,4,7,6,6,11,8,1,6,6,8,11,4,13,14,7,10,4,6,5,10,10
35,4,3,None,5,4,1,5,None,4,4,1,3,3,2,7,6,5,8,6,5,11,9,1,9,5,8,12,4,11,14,10,9,4,6,5,10
36,5,4,4,None,5,3,1,4,1,3,4,1,3,3,3,7,5,5,9,6,5,8,7,2,8,5,7,10,3,11,6,9,8,4,6,5
37,1,4,4,5,None,4,3,1,4,None,3,4,1,3,3,3,7,5,4,9,6,7,8,8,1,9,5,10,12,4,5,6,8,8,4,6
38,7,1,4,4,4,1,4,5,1,3,1,3,4,1,2,3,3,6,4,5,8,6,6,8,7,2,9,5,9,11,8,5,6,8,7,4
39,2,6,1,4,3,4,2,3,4,1,3,1,3,4,1,2,3,1,6,4,5,8,7,7,7,7,2,9,6,8,5,8,5,6,8,6
40,1,1,6,1,4,3,4,3,1,4,1,3,1,4,5,1,2,3,1,6,7,4,7,8,7,7,7,1,9,6,6,5,8,6,6,8
41,2,1,1,6,1,3,4,4,3,1,4,1,1,None,4,5,1,2,3,2,6,7,5,7,8,7,8,7,4,7,6,6,5,8,7,6
42,None,2,1,1,6,1,3,2,3,3,None,5,1,1,None,4,6,1,2,3,2,7,6,4,5,9,7,8,7,4,2,6,6,5,5,7
43,7,1,2,1,1,5,1,2,2,3,4,None,5,1,None,None,4,6,2,2,4,2,7,7,4,6,9,7,9,8,4,2,6,6,5,5
44,2,6,None,2,1,1,6,2,3,3,3,4,None,5,1,None,1,4,6,2,2,4,2,7,8,3,6,8,6,10,3,4,2,6,8,5
45,2,1,6,None,2,1,1,7,1,2,2,3,6,None,5,1,None,None,4,7,2,2,4,2,7,9,4,6,8,6,2,3,4,2,6,9
46,3,2,1,5,None,2,1,1,7,1,2,2,3,6,None,5,1,None,None,4,7,2,3,5,2,9,7,4,6,8,6,2,3,4,2,6
47,5,2,1,2,5,None,2,1,1,7,1,2,2,3,6,None,5,1,None,None,5,7,2,3,5,2,10,5,4,6,4,6,2,3,4,2
48,4,4,2,1,1,4,None,2,1,1,7,2,3,2,4,6,None,5,1,2,1,6,7,2,5,5,2,9,5,4,1,4,6,3,5,4
49,6,5,4,2,1,2,5,None,2,2,2,7,2,3,2,4,6,1,5,3,2,None,6,6,2,5,4,3,7,5,3,1,4,6,3,5
50,2,5,4,4,3,1,1,4,None,2,1,2,6,2,3,3,4,6,1,5,3,2,None,6,7,1,6,4,3,7,5,3,1,4,6,2
51,7,2,6,4,4,4,1,None,5,None,3,2,2,6,1,3,3,4,6,2,5,2,2,None,6,7,2,6,4,3,5,5,3,1,4,6
52,4,7,1,7,4,4,3,1,None,6,None,3,1,2,6,1,3,3,4,6,3,5,2,2,None,6,6,2,5,4,4,5,5,3,None,4
53,4,4,7,3,6,4,3,3,1,None,4,None,3,2,2,7,1,3,3,3,6,3,5,2,2,None,5,6,2,5,6,4,5,5,3,None
54,4,4,5,7,1,5,4,3,4,1,None,4,None,3,2,3,7,1,3,3,4,5,3,5,1,2,None,5,6,2,4,6,4,5,2,2
55,3,4,4,6,8,2,5,5,3,3,1,None,4,None,3,2,2,7,1,4,3,4,5,2,4,1,2,None,5,6,5,4,6,4,4,2
56,4,3,4,4,5,6,2,5,5,3,4,2,None,4,None,2,2,2,6,2,4,3,4,5,6,3,1,2,None,5,4,5,4,6,6,3
57,2,3,3,4,4,4,6,2,5,5,5,5,2,None,4,None,None,1,3,9,2,4,4,4,4,6,3,1,2,1,3,4,5,4,5,6
58,3,2,2,3,4,3,6,6,2,5,4,4,5,1,None,5,1,None,1,4,9,2,4,4,5,4,6,3,2,2,9,3,4,5,4,5
59,4,2,2,2,3,4,3,6,7,2,5,4,5,5,1,1,4,1,1,2,3,9,3,4,5,5,4,6,3,2,3,9,3,4,4,4
60,5,4,2,3,4,3,4,4,6,6,2,5,4,5,4,1,None,4,1,3,1,3,9,3,5,5,5,4,6,3,1,3,9,3,6,4
61,3,5,4,3,3,3,3,5,5,6,5,2,5,4,5,4,1,1,6,2,3,1,3,8,3,5,6,5,4,5,4,None,2,9,2,5
62,5,3,4,4,3,3,5,3,7,5,6,5,2,5,4,5,4,2,2,5,2,3,2,3,5,4,6,7,5,4,1,4,None,2,5,4
63,3,5,3,5,3,4,3,5,3,7,5,6,5,2,5,4,5,5,4,2,8,1,3,3,3,7,5,6,8,6,7,1,3,None,2,5
64,None,2,6,2,5,3,4,3,6,4,7,4,6,5,2,6,6,5,4,4,3,8,1,3,3,4,7,5,6,8,5,7,1,3,2,3
65,4,1,2,6,1,5,3,3,4,6,4,7,4,5,5,2,6,6,5,5,4,3,7,1,3,4,4,7,5,5,4,5,7,1,3,2
66,3,3,1,1,6,1,6,3,3,3,6,4,7,4,4,6,3,6,8,5,7,3,3,7,1,3,4,3,7,5,6,4,5,7,None,3
67,1,4,3,1,1,6,4,5,3,3,4,5,4,7,3,4,5,3,6,8,5,6,3,3,9,1,3,5,3,6,5,6,4,5,8,None
68,1,1,4,2,1,1,6,3,5,2,4,4,6,4,6,3,4,4,6,6,9,5,6,3,2,9,1,3,5,3,7,5,5,4,1,8
69,5,1,1,3,2,1,1,6,3,5,3,4,4,6,4,6,3,4,4,4,6,9,5,6,3,2,9,1,3,4,6,7,4,4,4,1
70,1,5,1,1,3,2,1,1,6,3,5,None,3,4,6,4,6,4,4,4,4,6,8,4,6,3,1,9,1,3,3,6,7,4,6,4
71,1,1,5,1,1,3,3,1,1,6,3,5,None,3,5,6,4,6,5,4,4,4,6,7,5,6,4,1,9,1,4,3,6,7,6,6
72,1,1,1,4,1,1,4,2,1,1,5,4,5,None,2,5,6,4,5,4,4,4,4,6,6,5,5,5,None,6,4,4,3,5,6,6
73,2,2,1,1,4,None,1,2,2,1,1,5,4,5,1,2,5,6,4,5,4,3,4,4,5,6,6,5,5,None,4,4,4,3,5,6
74,1,4,2,1,1,3,None,1,1,2,1,1,4,4,5,1,2,5,5,4,5,4,3,4,4,5,5,6,5,5,5,4,4,4,3,5
75,3,1,3,1,1,1,3,1,1,1,2,1,1,2,4,5,None,2,6,3,4,6,4,3,4,4,4,5,6,5,4,5,4,4,4,3
76,3,2,1,3,1,1,1,2,None,1,1,2,None,None,1,2,5,None,3,6,3,5,5,4,4,4,4,4,5,5,3,4,5,4,4,4
77,None,2,2,1,3,1,1,1,1,None,1,1,2,None,None,1,2,3,1,2,4,3,4,4,4,4,4,4,4,3,3,3,4,5,3,4
78,None,None,3,1,1,2,None,None,1,1,1,1,1,2,None,None,1,2,5,1,2,5,2,4,4,4,4,4,2,4,2,3,3,4,4,3
79,1,None,1,2,1,1,2,None,None,1,2,1,1,1,2,None,None,1,2,5,1,1,4,2,4,4,2,4,4,2,1,2,3,3,4,4
80,2,None,None,None,1,None,1,1,None,None,1,2,1,1,None,2,None,None,1,None,4,1,None,3,1,4,3,2,4,4,3,1,2,3,2,4
81,1,2,None,None,None,1,1,1,1,None,None,1,2,None,1,None,1,None,None,None,None,3,None,None,3,None,4,3,2,4,None,2,1,2,3,1
82,None,None,1,1,None,1,None,None,None,1,None,None,1,2,None,1,None,2,None,None,None,None,2,None,None,3,1,4,2,2,None,None,2,1,2,3
83,2,None,1,None,None,None,None,None,1,None,None,None,None,1,2,None,1,None,2,None,None,None,None,2,None,None,1,1,4,2,None,None,None,2,1,1
84,1,2,None,1,1,None,None,1,None,None,None,None,None,None,None,None,None,1,None,2,None,None,None,None,2,None,None,1,1,4,None,None,None,None,1,1
85,1,1,1,1,1,1,1,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,2,None,None,2,1,1,None,None,None,None,1
86,1,1,1,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,1,2,1,1,None,None,None,None
87,None,1,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,1,None,1,1,None,None,None
88,None,None,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,1,1,None,None
89,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None
90,1,1,1,1,1,1,1,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
