ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,7,4,6,4,2,3,2,2,3,1,3,5,4,1,4,3,2,1,4,1,3,2,5,2,2,2,1,2,None,1,3,2,5,2,2
1,None,1,7,4,6,5,2,3,2,1,2,1,3,6,4,1,5,3,2,1,5,1,3,2,5,2,2,2,1,2,5,1,3,2,5,2
2,2,None,2,7,4,6,5,2,3,2,2,2,1,2,6,2,1,5,3,2,1,6,1,3,2,5,1,2,3,1,1,5,1,3,2,5
3,3,2,None,2,6,4,6,5,2,3,2,2,3,1,2,6,1,1,5,3,2,None,6,1,3,2,5,1,2,2,2,1,5,1,3,2
4,7,2,3,None,2,6,4,6,5,2,4,2,2,2,1,2,6,1,1,5,3,3,None,6,1,3,2,5,1,2,3,3,1,6,1,3
5,None,8,2,3,None,1,6,4,6,5,2,4,2,3,3,1,2,6,1,1,5,3,3,None,5,1,3,2,6,1,5,3,3,1,5,1
6,5,None,9,2,3,None,1,6,4,6,6,2,3,2,3,2,2,2,6,2,1,5,3,3,None,4,1,3,2,5,1,4,3,3,1,4
7,2,4,None,9,2,3,None,1,6,4,6,6,2,3,2,3,2,2,2,5,1,1,5,3,3,None,4,1,3,2,1,1,5,3,3,1
8,3,2,6,None,9,2,3,None,1,6,4,7,5,2,2,2,3,1,2,2,5,1,1,5,3,3,1,3,1,3,5,1,1,5,3,3
9,1,2,3,5,1,8,2,3,None,1,6,4,7,5,2,2,2,3,1,2,2,5,1,2,5,2,3,1,3,1,2,5,1,2,5,2
10,5,1,2,3,5,1,8,2,3,None,1,6,4,5,5,2,2,2,3,1,2,2,5,1,1,5,2,3,1,3,2,2,5,1,1,5
11,3,6,1,2,2,4,1,8,2,3,None,1,6,4,5,5,2,2,2,2,1,2,2,5,1,1,4,2,3,1,1,1,2,5,1,1
12,3,3,6,None,4,2,4,1,8,2,3,None,1,6,4,5,4,2,2,2,2,1,1,2,5,1,2,4,2,3,2,1,1,2,5,1
13,4,2,3,6,None,3,2,3,1,8,3,3,None,1,6,4,5,4,2,2,2,2,1,None,2,5,1,2,4,2,2,2,1,None,2,5
14,6,4,2,4,6,1,3,2,2,1,8,3,3,None,None,6,3,5,4,2,1,2,2,1,None,2,5,1,1,4,1,2,2,1,None,2
15,6,5,3,2,4,6,1,3,2,2,2,8,3,3,None,None,5,3,5,4,2,1,2,2,1,None,2,5,1,2,2,1,2,2,1,None
16,4,5,5,3,2,2,6,1,3,3,2,2,8,3,3,None,None,5,3,5,4,2,1,2,1,1,None,2,5,1,4,2,1,2,1,1
17,4,4,5,5,3,2,4,6,1,3,2,2,2,6,3,3,None,None,5,4,5,4,2,1,2,1,1,None,2,6,5,4,2,1,2,1
18,6,5,4,5,5,3,2,4,6,1,3,3,2,2,6,3,3,None,None,5,3,5,4,2,1,2,None,1,1,2,3,5,4,2,1,2
19,5,5,5,4,5,6,3,2,2,6,1,3,3,2,1,6,3,3,None,None,5,3,5,4,2,1,2,None,2,None,5,3,5,4,2,1
20,4,5,5,5,4,6,6,3,3,2,6,1,3,3,2,1,6,3,3,None,None,5,3,5,4,2,1,2,1,1,None,5,3,5,4,2
21,3,3,5,5,5,4,5,6,3,3,3,6,1,3,3,2,1,6,3,3,None,None,5,3,5,4,2,1,2,1,None,None,5,3,5,4
22,5,4,3,4,5,5,4,5,6,4,3,3,6,1,3,3,2,1,6,3,2,None,None,6,3,5,4,2,1,2,2,None,None,5,3,5
23,4,8,4,3,4,5,6,4,3,5,3,3,3,6,1,3,3,2,1,6,2,1,None,None,6,3,5,4,2,1,3,1,None,None,5,3
24,5,3,8,4,3,4,5,6,4,4,8,3,3,4,6,1,3,3,2,1,6,2,None,None,None,6,3,4,4,2,6,3,None,None,None,5
25,4,6,3,8,4,3,5,5,5,4,5,7,3,3,2,5,1,3,3,2,1,6,2,None,None,None,6,3,4,4,1,6,3,None,None,None
26,5,4,6,3,8,4,3,5,5,5,4,5,5,3,3,2,5,1,3,3,3,1,6,2,1,None,None,6,3,4,3,1,6,3,1,None
27,6,6,4,6,3,8,4,3,4,5,5,4,5,5,3,3,2,5,1,3,3,4,1,9,4,1,None,None,5,3,3,3,1,7,4,1
28,2,5,6,4,6,3,8,4,2,4,6,5,4,5,6,3,3,2,5,1,3,3,4,1,9,3,1,None,None,5,3,3,3,1,7,3
29,3,3,5,6,4,6,3,8,4,2,5,6,6,4,5,6,3,3,3,5,1,3,3,5,1,8,4,1,None,None,1,3,3,4,1,7
30,5,3,3,5,7,3,6,3,8,4,2,5,7,7,4,5,6,3,4,3,5,1,3,3,5,1,8,4,2,None,5,1,3,3,3,1
31,4,4,3,3,5,6,3,6,3,8,5,2,5,6,7,4,5,6,3,4,3,5,1,3,3,5,2,8,2,2,3,5,1,3,3,3
32,5,5,6,3,3,5,5,3,6,4,10,4,3,5,6,7,4,5,6,3,3,3,5,1,3,3,4,1,8,2,3,3,5,1,3,3
33,9,6,5,6,3,3,5,5,3,6,4,10,4,3,5,6,6,4,5,4,3,2,3,3,1,3,3,3,1,8,3,3,3,3,1,3
34,3,9,7,5,6,3,3,5,5,3,6,4,9,4,3,6,5,6,4,5,4,4,2,5,4,2,3,3,3,1,4,4,3,3,4,2
35,3,2,9,7,5,6,3,3,5,5,4,6,4,8,4,3,5,5,6,4,5,3,4,2,5,4,2,3,3,3,5,4,4,3,3,4
36,3,4,3,9,7,5,6,3,3,5,5,4,6,4,8,4,2,5,6,7,4,5,3,4,2,5,4,2,3,3,4,5,4,4,3,3
37,3,3,3,3,7,7,5,6,3,4,5,5,4,6,4,8,4,3,5,6,8,4,5,2,4,2,4,4,3,3,7,4,5,3,4,3
38,1,3,4,3,3,7,6,5,6,3,4,5,5,4,6,4,8,4,3,5,6,8,4,7,2,4,3,3,4,3,7,7,4,6,3,4
39,2,2,3,3,3,3,7,6,5,7,3,4,5,5,2,6,4,8,4,3,5,6,8,4,6,2,3,3,3,4,5,6,8,4,5,3
40,2,2,1,5,3,2,4,7,7,5,7,3,5,5,5,2,6,4,8,5,3,4,4,8,4,6,1,3,3,3,3,4,5,8,4,5
41,7,3,2,2,4,3,2,3,6,6,5,7,3,4,6,5,2,6,4,8,5,4,4,4,8,4,6,3,3,3,5,4,4,5,8,4
