ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,8,10,5,6,5,8,8,9,9,9,7,8,14,11,3,11,12,17,25,14,27,19,29,22,20,17,13,26,28,10,27,19,30,21,19,17
1,5,8,8,6,7,6,6,8,8,9,10,7,9,14,11,4,13,11,18,24,16,25,19,26,20,19,17,13,29,28,16,25,20,30,20,18
2,9,4,9,9,5,7,5,6,8,8,8,10,7,9,16,13,4,12,12,17,25,15,24,19,26,23,16,20,12,28,25,15,24,20,29,22
3,14,9,5,9,11,5,8,6,8,8,11,10,10,8,9,16,14,6,13,13,17,22,14,26,21,26,24,18,21,12,18,23,14,27,21,28
4,13,17,8,5,9,11,6,7,7,8,7,12,11,10,8,8,17,15,10,14,14,18,25,14,28,22,27,23,18,20,14,18,26,14,29,21
5,11,13,18,11,7,9,11,6,7,7,9,7,12,12,11,9,9,17,16,11,14,17,19,27,13,29,22,27,21,19,14,16,19,27,13,28
6,17,10,12,17,11,7,9,13,7,8,8,9,8,13,11,13,10,12,18,17,12,13,17,19,29,17,28,23,26,23,12,13,16,20,28,17
7,14,18,10,10,16,11,7,11,12,6,9,10,10,8,14,14,13,10,14,19,16,13,10,17,19,28,16,28,23,28,16,13,12,17,19,27
8,8,17,19,11,10,15,12,8,11,13,6,6,10,10,8,15,15,14,7,14,20,17,13,11,16,18,27,16,27,22,18,17,14,13,16,18
9,15,9,16,17,11,9,15,11,9,11,15,8,10,10,11,10,14,15,14,7,12,20,17,14,10,17,18,27,16,28,12,18,16,15,12,17
10,12,14,7,15,19,11,9,16,10,8,12,16,11,10,10,13,11,15,14,14,8,12,20,18,14,11,17,16,29,15,8,12,18,16,15,12
11,14,12,14,7,14,17,10,10,18,10,7,11,16,8,10,13,14,14,15,14,13,9,11,20,20,14,10,17,16,29,14,9,11,18,19,15
12,11,14,13,14,6,14,18,10,10,16,11,7,12,16,8,11,13,15,15,15,14,14,8,12,20,20,14,10,17,17,14,15,8,12,18,19
13,15,10,15,14,13,6,14,21,10,11,15,11,9,12,15,8,10,13,15,15,14,14,15,5,13,20,18,15,10,17,15,14,16,6,13,18
14,13,15,11,14,13,12,6,16,21,10,11,15,12,8,12,15,10,10,13,15,15,15,14,14,6,15,19,17,15,13,15,15,14,15,7,14
15,8,14,15,10,16,13,14,6,15,23,8,11,17,12,7,13,15,11,11,13,15,16,15,14,16,7,14,20,17,15,15,16,15,14,17,7
16,12,7,14,14,10,14,14,14,6,15,24,8,11,18,13,7,15,15,11,11,13,14,16,16,14,16,7,14,18,17,13,14,16,15,14,16
17,14,11,6,14,15,9,15,14,14,7,17,25,9,11,18,14,7,13,15,11,12,13,14,16,16,14,16,8,14,18,13,13,14,16,16,15
18,10,12,11,6,14,14,10,15,15,16,8,17,27,9,14,19,14,8,14,16,12,12,13,13,16,17,14,15,9,14,14,13,13,14,17,16
19,15,9,13,11,6,16,15,9,16,15,20,7,17,27,9,13,18,16,11,15,16,12,14,13,13,17,18,14,14,9,15,14,15,13,14,18
20,11,14,10,13,12,8,15,15,9,16,20,20,9,17,27,10,13,20,16,13,15,17,12,13,14,15,17,16,13,14,15,16,14,13,13,16
21,14,13,15,8,10,14,8,15,16,10,17,19,20,10,18,31,10,16,20,18,14,16,18,14,13,15,13,16,15,14,16,15,17,15,13,14
22,14,13,12,15,9,12,14,7,16,17,8,17,20,21,12,19,32,12,16,20,19,14,15,19,14,14,14,14,17,15,19,14,14,18,15,14
23,6,13,11,11,12,10,13,15,8,18,17,10,20,19,20,14,19,32,13,17,20,21,16,15,22,14,17,14,14,16,20,21,18,14,21,15
24,10,5,14,9,14,12,11,11,15,9,21,18,15,20,19,22,19,21,32,14,19,20,20,15,16,22,14,16,14,16,18,20,20,17,15,21
25,12,13,6,10,11,14,13,10,12,17,10,20,21,13,21,18,22,18,23,31,16,18,20,19,16,16,20,18,15,14,17,19,20,21,19,16
