ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,26,29,25,31,24,26,33,19,25,26,17,30,20,40,27,34,29,27,31,35,41,49,35,37,50,53,46,49,47,49,39,50,35,34,50,51
1,24,27,30,29,27,26,28,33,24,30,25,20,28,21,41,26,34,30,29,34,33,40,51,41,38,49,53,46,57,47,34,41,53,36,36,49
2,41,28,26,30,26,31,24,29,33,24,24,24,23,31,21,41,27,37,32,30,33,32,41,49,39,38,47,53,49,57,34,34,42,50,40,38
3,33,43,27,26,26,26,31,23,27,40,23,25,25,23,31,23,38,29,38,33,31,29,34,44,51,35,34,48,52,47,31,31,36,43,50,36
4,38,32,45,28,29,26,27,33,26,31,35,24,25,26,24,33,26,41,30,38,34,30,30,33,46,53,31,37,43,54,34,33,31,34,49,51
5,30,38,34,44,28,30,27,26,33,24,28,34,22,24,26,24,33,28,41,29,38,36,30,34,35,46,48,31,36,47,36,35,33,32,36,49
6,49,30,39,38,47,26,35,28,26,31,25,30,34,25,25,24,28,34,30,41,28,37,36,32,33,36,48,49,31,37,28,37,35,36,36,38
7,46,49,31,39,33,44,26,34,29,28,33,25,31,35,27,29,25,31,36,31,41,28,37,37,34,34,34,49,49,34,43,29,37,36,38,36
8,32,47,51,31,41,33,48,25,35,30,31,34,25,29,34,29,32,27,33,39,31,41,30,37,37,35,37,36,51,48,29,44,31,38,36,39
9,36,33,46,52,37,39,32,47,25,35,30,31,36,25,28,33,31,37,30,36,38,31,42,30,39,39,35,40,39,52,38,30,46,31,39,38
10,43,40,35,47,56,35,39,32,47,26,35,31,32,35,24,28,33,33,38,32,37,40,32,41,34,38,39,39,39,40,35,40,31,44,34,38
11,27,41,41,39,50,55,35,40,31,46,26,37,30,30,36,27,29,34,33,39,33,35,42,31,45,35,36,43,38,39,32,33,43,30,46,35
12,29,29,43,41,43,49,53,37,38,32,43,27,38,31,32,36,28,32,33,36,40,33,35,44,34,45,36,42,45,39,40,32,33,45,33,47
13,40,31,27,45,43,47,49,54,37,38,28,42,27,39,34,33,36,28,32,34,35,39,32,34,43,32,45,39,43,44,34,39,32,33,43,32
14,36,41,33,32,48,43,45,53,57,37,38,28,41,28,39,33,33,37,30,31,36,34,39,34,34,44,35,48,36,41,37,33,40,35,32,44
15,43,36,39,34,31,46,43,46,52,55,36,38,28,41,27,39,32,34,37,30,31,36,33,39,34,34,45,37,45,38,30,38,32,39,36,33
16,33,46,36,41,36,31,49,43,45,49,56,36,39,28,40,28,38,33,33,37,30,31,39,34,35,36,33,51,39,44,29,30,42,33,36,39
17,31,36,46,36,41,37,34,49,48,45,50,57,38,39,28,41,27,36,34,32,34,30,29,42,37,34,37,34,49,43,36,30,30,43,36,36
18,36,33,35,47,41,43,37,37,51,45,45,49,55,41,40,28,41,29,36,35,32,35,32,33,41,34,41,39,37,50,32,37,32,31,42,35
19,37,36,34,33,52,46,44,39,37,48,49,46,52,53,39,40,30,41,31,37,35,32,37,33,38,42,36,39,41,39,35,31,39,33,35,41
20,31,37,37,37,34,55,44,44,39,37,50,49,46,55,52,34,40,31,42,31,37,34,36,39,30,39,42,38,46,45,36,34,35,40,30,37
21,43,33,34,38,36,36,60,43,45,42,37,49,48,46,59,52,37,41,33,42,31,33,40,37,34,33,38,43,41,48,29,33,36,35,36,33
22,36,48,32,35,36,42,32,61,41,46,42,37,56,47,46,60,53,41,42,37,42,35,36,40,34,38,33,41,50,43,44,30,35,38,33,39
23,32,37,47,36,37,37,37,34,63,45,47,44,38,57,47,46,60,56,42,41,39,46,34,37,45,33,43,33,44,52,40,47,34,39,48,33
24,39,35,37,45,41,46,37,37,41,64,44,50,43,33,59,48,47,59,58,45,44,45,44,33,40,46,33,41,34,43,43,44,47,36,42,50
25,48,38,36,41,45,42,51,38,44,38,64,49,50,43,37,53,53,55,66,57,43,47,46,52,34,46,46,36,46,39,45,47,47,52,34,48
26,30,53,42,38,40,43,46,53,47,49,42,68,49,56,44,43,55,59,51,64,59,44,50,50,55,37,39,50,45,45,59,45,51,52,55,36
27,50,29,52,44,49,45,44,50,53,50,51,44,70,49,58,43,44,56,59,48,62,66,52,54,59,51,39,42,56,48,62,63,48,53,60,53
28,44,48,33,56,49,54,47,44,44,59,52,53,44,70,53,62,45,44,57,64,50,66,71,59,53,60,55,46,49,59,47,66,67,51,53,62
29,46,43,53,32,54,52,55,48,47,47,59,53,59,52,71,51,66,47,46,60,64,56,74,78,61,61,61,56,45,52,63,48,75,72,59,60
30,48,52,45,54,36,63,51,57,52,52,47,59,62,62,57,73,55,65,51,48,67,63,64,77,78,56,69,58,56,47,69,64,51,77,82,55
31,43,46,53,44,55,40,63,57,57,50,53,54,65,65,56,59,79,57,62,51,50,73,67,61,76,83,62,70,63,60,49,75,65,54,76,86
32,48,43,46,58,37,56,34,65,57,60,51,56,53,68,65,63,58,79,58,71,51,56,74,77,63,85,86,58,70,71,53,53,78,76,65,86
33,53,46,47,49,62,34,59,32,63,60,59,50,61,59,70,69,65,59,81,60,75,62,61,75,77,66,88,87,57,67,76,56,57,80,76,69
34,51,51,46,53,49,66,36,60,35,68,58,56,49,68,60,70,67,73,59,80,63,79,65,60,77,84,70,86,90,70,62,76,59,59,81,82
35,42,50,53,48,55,51,64,41,60,33,62,53,52,50,66,57,69,66,81,61,76,66,86,72,61,77,82,70,81,87,75,65,81,63,61,82
36,47,42,49,64,47,57,55,62,42,60,30,65,56,51,49,64,59,69,68,83,60,81,68,83,71,70,79,83,70,81,59,79,65,82,71,70
37,38,47,44,48,62,47,50,54,58,44,62,32,67,58,51,46,69,59,69,64,79,60,86,70,88,70,67,83,91,77,79,64,84,68,88,72
38,44,40,46,45,50,61,47,49,56,59,45,65,32,68,61,53,49,70,59,69,66,83,58,81,69,89,69,70,83,91,65,82,64,82,69,89
39,36,46,40,46,49,46,66,47,48,54,58,50,61,36,69,63,51,50,68,59,66,66,88,60,78,71,89,71,67,87,64,66,88,64,78,72
40,44,38,45,42,45,50,50,66,49,48,51,59,49,63,35,71,69,52,49,69,61,71,71,92,65,78,71,95,69,72,62,67,69,91,68,79
41,44,44,39,49,42,45,49,53,66,49,49,52,59,52,67,32,71,70,63,52,64,60,75,69,93,67,80,75,96,70,66,63,70,71,90,67
42,41,40,42,39,49,44,48,51,57,68,50,50,54,58,57,68,32,77,72,63,55,68,60,77,77,90,71,81,73,93,56,68,65,75,74,88
43,52,41,46,45,39,54,43,48,51,57,66,50,51,53,59,53,66,33,79,75,63,55,70,68,75,78,85,70,78,74,60,57,74,70,72,76
44,46,51,41,45,49,38,52,43,47,51,59,68,49,52,51,54,52,66,37,79,75,62,55,74,73,74,82,83,67,78,76,64,57,77,74,73
45,45,48,52,43,48,49,38,53,44,47,51,61,66,50,53,49,57,50,67,39,80,74,59,57,81,71,72,78,80,68,78,77,63,59,82,73
46,35,46,48,53,45,47,49,38,58,42,48,51,61,65,48,56,49,58,49,66,38,82,72,59,58,81,72,76,76,78,37,80,76,63,58,81
47,39,40,47,45,58,45,45,50,39,56,41,48,53,61,65,48,58,47,59,49,65,40,85,73,59,57,85,70,76,76,64,39,82,75,60,56
48,44,39,42,50,47,56,48,46,49,43,58,42,50,52,61,65,49,58,49,59,49,67,44,87,74,60,57,86,73,70,50,70,43,84,75,60
