ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,57,72,36,51,43,60,51,56,45,46,31,48,28,50,46,42,45,43,35,30,28,39,51,43,45,36,22,41,33,38,28,37,54,43,44,37
1,64,58,72,37,51,43,57,53,54,42,41,35,47,29,49,42,39,43,42,32,32,28,41,50,46,42,40,24,45,32,32,31,38,49,42,43
2,58,61,58,69,32,53,47,59,53,51,37,42,34,48,29,51,40,39,42,43,30,33,31,42,49,49,40,42,22,45,30,32,34,39,47,41
3,52,57,61,56,68,34,53,44,57,50,48,38,42,34,46,27,50,39,38,41,41,29,32,30,43,50,48,41,42,20,39,31,32,32,39,47
4,71,56,55,60,52,68,31,52,44,57,47,50,40,46,39,46,30,48,38,36,40,43,29,34,31,41,47,51,41,42,42,41,32,37,32,37
5,73,70,54,53,58,51,67,34,55,44,50,51,50,42,46,39,45,28,50,36,38,39,43,29,35,31,42,45,51,42,39,41,42,32,38,32
6,44,75,72,54,54,59,51,66,36,57,45,52,52,48,43,43,40,45,25,47,36,39,41,43,30,36,31,39,47,53,36,39,41,42,32,38
7,75,45,72,69,53,55,59,53,65,36,55,47,51,52,51,43,43,41,46,26,50,35,39,41,42,29,37,32,38,46,52,39,39,41,40,33
8,61,75,46,70,68,56,57,56,55,66,33,55,46,51,54,51,45,44,44,47,25,51,33,41,41,44,30,37,33,37,26,53,37,43,41,42
9,68,58,73,44,70,67,59,57,58,56,64,33,55,46,53,54,52,46,42,45,46,25,51,34,42,41,43,32,37,33,42,26,51,38,43,41
10,69,68,56,71,45,70,68,57,58,59,53,66,36,59,46,55,54,53,49,44,46,46,27,54,35,46,42,42,32,37,41,42,26,53,38,46
11,88,70,69,54,73,45,71,67,58,59,58,57,66,36,59,47,55,52,55,50,44,45,42,31,52,37,48,43,43,32,45,41,39,35,51,39
12,70,86,70,68,56,73,44,71,66,59,55,59,57,68,38,60,50,56,50,55,50,44,46,44,31,50,37,49,42,43,49,45,42,42,34,49
13,80,72,85,71,68,57,72,44,70,65,60,55,58,57,70,41,58,50,54,47,57,49,45,48,42,32,50,38,48,43,58,44,47,44,40,35
14,78,81,72,85,70,69,59,74,43,70,62,59,54,57,57,71,42,59,50,56,50,56,47,48,46,44,32,50,38,49,51,56,43,50,42,41
15,76,77,81,72,82,70,67,58,75,42,73,63,59,54,57,58,72,42,59,53,59,50,55,48,48,44,44,31,50,39,60,51,57,45,49,41
16,73,78,77,80,75,82,69,68,58,74,43,74,63,59,53,58,57,73,41,60,53,59,50,55,48,48,44,42,35,51,50,59,50,58,45,49
17,65,74,78,77,81,78,80,70,68,57,76,44,73,63,59,55,59,58,71,41,59,53,59,50,55,48,47,44,41,36,58,51,61,51,56,45
18,75,63,74,79,77,79,76,79,73,68,58,71,45,72,64,58,54,60,59,70,41,55,51,64,51,55,48,50,45,38,38,55,50,66,51,57
19,51,73,59,74,80,75,78,76,76,72,71,56,71,46,72,65,57,55,61,60,72,43,57,52,62,49,55,46,47,44,75,40,56,52,61,49
20,56,52,67,56,70,83,74,76,75,69,74,67,55,68,44,69,63,56,55,62,59,69,41,58,49,62,45,53,46,48,61,68,39,58,49,61
21,53,56,51,68,53,73,76,67,74,71,68,70,64,54,65,42,72,61,55,54,63,57,71,41,54,50,58,46,57,46,65,57,71,40,54,49
22,50,52,54,50,65,51,70,68,68,75,72,63,70,68,52,61,44,65,59,54,55,61,58,75,39,53,54,62,51,55,54,62,60,75,39,54
23,47,46,50,48,51,66,43,71,62,60,71,71,61,66,66,51,57,45,67,57,50,55,61,60,71,38,55,52,62,53,50,57,63,61,71,38
24,39,46,47,51,51,55,62,38,66,58,62,65,68,57,64,62,50,59,42,61,55,47,55,63,58,67,35,53,52,64,58,53,57,63,59,69
25,36,39,44,47,43,49,48,64,40,66,55,62,62,69,54,64,60,49,60,40,63,56,47,62,64,55,64,36,52,53,66,60,51,59,62,57
