ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,55,66,59,65,56,57,47,53,51,38,43,52,45,50,40,32,41,32,31,39,34,26,32,46,43,25,37,32,25,31,34,24,30,48,43,25
1,73,58,67,58,66,55,57,44,52,48,36,42,51,44,46,37,31,40,31,32,40,32,25,31,44,43,25,43,33,24,39,35,23,30,45,46
2,63,73,59,65,61,65,54,57,43,51,42,36,43,51,43,44,40,32,37,33,32,41,31,25,32,44,44,26,41,31,32,43,33,24,31,44
3,79,66,75,59,67,60,63,54,57,43,47,42,36,44,51,43,40,41,31,37,32,32,41,34,25,30,45,44,25,39,32,33,43,35,25,30
4,56,75,65,76,59,67,59,61,54,57,43,48,44,34,44,50,45,40,43,32,38,33,33,40,33,25,29,45,46,24,36,34,34,41,35,25
5,75,55,73,63,75,61,67,57,59,54,56,44,48,43,33,44,50,45,41,44,32,39,33,34,40,33,27,29,47,44,32,37,34,34,42,35
6,90,72,58,74,64,74,59,66,57,59,53,57,44,49,42,34,45,50,45,42,43,33,40,31,33,40,34,26,30,46,44,33,40,33,34,42
7,70,90,72,58,77,63,73,62,65,57,56,53,57,47,47,42,34,45,49,45,44,45,37,40,32,34,40,34,27,31,44,45,37,40,33,35
8,75,69,89,75,57,77,61,73,63,65,54,57,53,57,45,46,42,35,47,50,47,43,46,36,40,32,36,40,35,26,46,46,45,37,41,33
9,67,76,71,90,76,57,74,62,72,64,63,56,58,53,57,45,45,42,35,50,51,48,44,46,35,39,32,41,40,38,52,48,45,42,36,40
10,59,67,74,73,88,78,58,74,61,70,64,64,57,59,53,56,47,45,41,36,50,52,50,44,47,34,39,33,41,41,49,55,48,46,43,35
11,70,58,64,74,75,89,78,56,75,62,71,63,62,58,59,50,57,47,46,40,37,51,51,51,50,48,34,41,33,40,35,51,54,49,51,44
