ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,25,14,14,15,19,19,14,18,19,18,17,17,17,20,11,5,20,17,23,22,16,19,22,25,28,27,16,36,22,35,16,18,21,24,28,26
1,25,23,15,12,16,18,17,14,16,19,15,19,17,18,21,10,5,20,17,22,21,15,18,22,24,27,23,16,38,23,21,16,19,24,23,28
2,18,25,24,13,12,16,17,18,12,17,19,15,19,17,19,20,10,5,18,19,21,22,19,20,22,27,22,23,17,35,22,22,20,20,25,26
3,29,18,24,24,13,12,17,19,16,14,15,20,15,20,18,21,20,10,5,18,19,22,27,18,20,24,27,22,22,18,18,22,26,16,21,26
4,22,26,19,27,24,14,12,16,18,16,13,19,22,15,19,18,20,19,7,5,17,20,22,26,19,22,24,25,23,19,18,19,22,25,16,22
5,17,23,26,17,27,24,13,13,19,17,14,11,19,22,18,19,17,20,18,8,6,19,24,22,25,21,20,25,25,21,7,20,23,23,24,18
6,24,17,23,26,17,24,26,13,12,18,18,17,10,19,22,17,20,16,20,18,8,6,22,26,23,21,22,20,26,29,9,7,21,24,24,22
7,31,25,17,23,25,17,24,25,13,12,18,18,16,9,16,22,21,20,14,19,18,8,6,24,28,25,21,23,21,27,21,9,7,23,26,26
8,19,31,23,18,22,26,15,25,26,14,13,19,18,14,11,16,22,20,21,14,18,19,8,7,23,28,26,19,21,21,17,22,9,8,21,27
9,28,18,31,24,18,22,26,15,24,25,14,12,17,18,13,11,16,22,20,20,14,19,20,9,7,22,29,28,19,20,15,18,22,11,8,21
10,34,29,18,30,24,17,22,27,14,24,23,16,12,18,19,13,10,16,22,21,19,15,20,19,9,7,21,31,28,21,15,16,19,22,11,8
11,27,32,29,18,31,26,18,21,26,16,24,23,16,12,18,17,15,11,17,22,21,19,16,20,19,9,7,21,32,31,21,15,17,19,22,11
12,24,25,33,29,19,29,25,20,21,25,14,23,23,15,12,18,19,15,15,16,19,22,21,17,20,21,8,6,20,31,20,22,17,18,19,23
13,23,24,25,33,29,19,29,23,19,21,27,14,23,23,14,13,18,19,15,15,16,19,23,22,17,20,22,8,8,21,17,20,22,18,18,19
14,32,23,24,28,31,29,19,30,24,20,20,27,14,21,22,14,14,18,19,15,15,16,21,23,24,18,20,22,11,9,14,17,21,23,21,19
15,28,33,23,23,27,31,28,20,30,25,21,20,27,14,21,23,15,14,17,18,17,15,15,21,23,23,18,20,23,12,17,14,16,21,23,21
16,35,27,34,23,24,27,31,30,22,29,22,21,20,26,15,19,23,15,14,16,18,17,15,19,21,23,23,19,21,24,18,17,14,19,21,23
17,29,36,28,32,22,23,26,32,31,20,31,22,21,20,26,15,19,24,15,16,17,18,15,15,19,21,22,22,19,20,18,17,15,14,19,21
18,29,28,37,28,31,23,23,25,33,30,19,31,21,21,23,27,16,19,26,15,16,18,18,13,15,19,21,21,20,20,16,18,17,14,15,19
19,24,30,29,35,28,31,23,27,24,32,35,20,30,20,20,23,27,17,19,26,15,16,19,16,14,14,19,22,24,18,17,16,19,17,15,15
20,23,23,30,30,36,29,32,23,27,25,33,35,20,28,21,20,22,26,18,19,26,17,17,19,16,15,16,18,21,26,26,19,16,19,17,17
21,30,25,23,30,30,36,27,32,23,26,28,33,34,20,27,20,21,22,28,19,21,27,20,17,18,17,16,19,17,20,22,27,21,18,18,18
22,19,28,26,26,29,29,36,28,34,21,25,32,33,34,23,27,23,23,22,28,18,21,28,20,16,17,18,15,15,19,17,20,29,20,16,16
23,31,22,29,28,25,27,29,38,27,35,23,27,29,33,33,23,26,23,23,22,27,20,22,32,18,17,21,19,17,15,26,19,21,31,17,17
24,19,34,23,30,27,27,32,29,38,30,35,24,25,27,34,34,24,26,24,23,22,27,19,20,33,17,19,22,18,15,23,27,18,20,31,16
25,30,18,40,26,29,25,27,32,27,39,30,33,28,26,27,30,36,22,26,23,25,23,28,23,20,34,20,19,23,17,23,24,30,21,20,34
26,19,31,19,42,28,27,21,29,34,28,46,33,34,30,24,29,30,38,24,29,26,28,30,34,24,22,35,19,21,19,25,26,26,33,22,22
27,27,18,33,12,41,27,28,23,30,32,31,46,35,35,32,25,25,34,36,20,29,25,25,29,37,21,27,36,18,17,30,25,25,29,37,21
28,26,25,17,34,13,40,27,31,23,29,36,30,46,36,34,31,25,25,33,37,20,30,27,31,32,34,22,25,36,15,21,32,28,26,34,36
29,27,28,25,12,35,15,40,26,31,25,30,37,33,51,36,34,30,23,25,30,40,19,35,33,34,37,37,22,21,33,37,21,35,33,33,37
30,32,25,27,27,15,32,16,43,27,29,28,30,38,34,47,39,37,33,25,30,35,39,23,42,36,34,35,38,21,20,34,38,25,38,34,33
31,23,32,24,26,28,15,31,16,42,27,29,27,27,38,33,42,38,37,30,26,30,34,38,22,43,37,33,34,39,23,29,33,40,24,45,36
32,25,22,30,26,27,29,14,29,15,45,27,30,31,28,38,35,43,37,36,29,27,32,41,42,22,44,37,29,33,39,25,32,36,43,23,46
33,22,24,21,31,25,25,28,15,29,18,48,27,24,34,28,39,35,41,37,39,29,27,32,49,46,25,41,37,26,36,29,28,33,39,45,25
34,26,21,25,21,30,23,28,27,14,30,18,46,24,22,33,27,39,34,43,41,38,29,25,35,48,46,25,42,38,26,38,31,29,36,48,45
35,21,25,19,27,17,30,24,29,28,15,32,20,43,26,21,34,23,42,33,41,40,36,34,24,35,45,44,26,42,37,39,36,33,28,35,47
36,22,22,26,19,24,21,27,24,28,26,14,31,20,41,22,23,33,22,41,30,41,37,38,28,28,30,45,43,26,41,42,36,38,33,31,31
37,22,23,21,25,19,22,19,28,23,27,27,18,33,19,37,22,22,30,22,41,31,41,38,35,28,30,27,44,46,28,32,41,38,36,32,33
38,24,24,24,21,25,19,22,20,28,22,25,27,17,32,19,37,21,22,28,23,41,28,46,39,33,27,35,26,44,46,38,29,44,39,36,32
39,22,24,25,23,20,25,18,25,19,30,22,26,27,22,35,16,35,19,22,28,22,41,32,48,40,35,33,34,25,45,22,37,32,46,39,37
40,16,24,24,24,22,20,26,15,24,18,31,24,27,27,21,33,16,34,19,21,27,24,43,33,49,39,34,33,34,27,26,23,43,36,52,37
41,21,12,24,23,25,23,20,24,15,23,18,32,26,26,29,20,32,18,34,18,21,28,26,43,36,56,38,34,36,38,21,29,25,43,37,55
42,23,20,11,24,20,23,23,21,24,16,23,19,32,26,27,29,19,30,20,32,20,24,32,28,42,37,60,36,32,34,21,24,34,27,41,38
43,28,25,20,11,24,19,22,22,21,24,16,23,19,31,26,28,29,20,29,19,32,22,24,33,26,42,40,59,35,33,31,22,24,35,26,41
44,18,28,23,23,12,26,18,21,20,20,25,17,23,19,31,26,28,29,19,29,18,33,21,26,35,27,39,38,58,34,19,32,21,28,36,27
45,16,19,28,22,23,10,25,18,19,19,21,25,17,23,19,29,26,27,30,18,29,19,34,21,27,37,26,40,36,56,28,20,35,21,28,37
46,25,16,19,28,22,20,12,27,19,18,20,21,25,17,23,20,32,28,29,31,16,30,20,35,24,28,39,27,38,35,18,30,20,37,24,29
47,10,26,16,17,29,22,20,11,28,20,21,19,21,25,18,24,21,31,29,28,31,20,30,18,34,25,26,38,27,38,30,21,31,18,35,24
48,20,11,26,16,17,29,23,20,11,26,19,22,18,22,25,18,24,21,31,27,27,31,19,29,18,33,28,28,37,24,26,31,20,30,17,34
49,13,20,11,26,16,17,28,23,20,13,27,19,22,18,22,25,17,27,20,31,28,28,30,21,29,18,34,29,28,34,26,27,31,22,29,17
50,14,11,20,11,27,16,15,29,24,20,12,27,19,20,18,23,27,18,25,20,30,28,28,31,21,31,19,35,27,28,29,27,28,32,21,31
51,19,13,11,20,11,26,16,15,29,24,18,12,27,19,20,18,23,27,18,24,20,29,28,27,32,21,31,19,33,24,20,29,28,27,32,21
52,16,17,14,11,20,11,24,17,14,28,25,17,12,28,19,18,18,22,27,17,24,20,30,30,26,30,21,31,17,33,24,20,30,29,27,30
53,10,15,16,13,11,19,11,24,17,14,30,26,18,12,28,19,19,18,21,30,20,23,22,32,29,25,30,22,29,15,20,24,22,32,28,26
54,13,8,14,16,13,11,20,12,24,17,18,31,27,18,13,28,20,22,18,21,30,18,22,22,30,26,26,30,22,29,29,18,23,22,30,25
55,10,12,8,15,16,13,11,20,11,24,18,17,31,27,19,13,27,20,22,18,22,30,18,22,22,30,26,25,28,22,22,30,18,23,22,30
56,9,11,13,9,13,15,12,11,19,12,25,18,17,31,28,18,15,24,19,22,18,22,29,18,23,22,30,25,26,28,18,21,30,18,23,22
57,11,9,10,12,9,13,15,12,11,20,13,27,18,16,31,28,20,15,24,19,22,18,22,28,18,22,23,30,24,24,22,19,21,29,18,22
58,12,12,8,9,13,8,13,15,12,10,21,13,26,18,14,32,28,20,15,23,19,21,18,21,28,18,21,23,30,24,20,21,19,20,28,18
59,7,13,11,8,9,15,7,13,16,11,10,21,13,24,17,14,32,27,20,15,22,19,20,18,21,28,17,22,23,31,22,20,20,19,19,28
60,10,6,14,11,8,10,14,7,13,14,12,11,21,13,25,16,14,32,27,20,14,22,20,20,18,21,28,17,22,22,12,22,20,20,19,19
61,6,10,7,14,10,7,9,13,7,12,13,12,11,18,13,24,15,14,30,27,20,14,24,21,19,17,21,28,17,23,23,12,24,21,19,18
62,6,5,10,8,13,10,8,11,14,8,12,13,12,10,19,12,23,14,14,30,27,20,14,24,22,19,17,21,28,18,26,22,12,22,21,19
63,2,5,7,9,5,11,11,8,8,15,9,13,13,13,10,18,11,22,15,15,25,26,20,12,24,22,18,16,20,27,25,26,22,11,23,21
64,5,1,6,5,10,4,12,10,7,10,15,9,11,13,13,10,19,11,21,15,15,26,25,19,12,25,22,18,17,18,15,26,25,21,11,24
65,8,5,2,5,5,10,4,14,9,8,10,15,9,11,12,13,10,18,11,20,14,13,27,23,19,12,25,21,18,17,15,12,28,23,21,11
66,8,8,6,2,5,5,9,4,13,8,9,7,14,9,12,13,13,10,17,11,19,13,13,28,24,19,12,25,19,17,18,14,12,29,24,21
67,7,7,9,5,2,5,4,8,3,13,8,9,6,13,8,15,13,13,10,17,10,19,15,13,27,23,21,12,22,18,10,18,15,12,27,23
68,6,6,6,7,5,1,6,5,8,4,11,8,8,6,13,8,13,12,12,10,17,10,19,15,12,25,23,19,11,21,17,10,18,15,11,25
69,12,6,5,7,6,4,2,6,4,8,5,10,7,8,6,12,8,13,11,13,10,16,10,18,15,13,25,23,19,11,10,16,10,17,15,12
70,5,13,4,5,6,5,3,1,4,3,6,5,10,7,8,4,13,8,13,10,13,8,16,10,17,15,13,25,23,17,13,8,15,10,16,15
71,4,3,13,5,5,5,5,3,None,4,4,5,4,9,7,7,4,11,8,12,10,12,8,17,9,18,16,13,25,24,11,11,8,16,10,17
72,None,5,2,12,6,5,5,5,3,None,3,4,5,4,8,8,7,4,10,7,12,10,13,8,17,8,17,16,11,24,12,10,12,8,16,9
73,1,2,3,2,10,5,4,5,5,3,None,3,4,5,3,8,8,7,4,10,7,11,10,13,7,16,8,17,15,11,7,11,10,12,7,16
74,1,1,1,2,2,9,3,4,5,4,2,None,2,3,4,3,8,8,7,4,9,7,11,9,10,7,16,8,15,13,9,7,11,9,10,7
75,4,1,1,None,1,2,7,3,6,4,5,2,None,2,2,4,2,7,8,7,4,9,7,10,8,10,7,16,9,14,4,9,7,10,8,10
76,2,4,1,1,None,1,4,7,4,5,5,5,2,None,2,2,4,2,7,5,7,4,10,6,10,7,11,6,15,8,7,4,9,6,10,7
77,3,1,4,None,1,1,1,2,5,3,3,3,4,1,None,2,2,3,2,5,5,6,4,8,6,10,7,11,6,12,5,6,4,7,6,10
78,2,4,1,2,None,1,None,1,2,5,4,3,3,4,1,None,2,1,2,3,4,5,6,4,7,6,10,6,11,6,5,5,6,4,6,6
79,None,1,3,2,3,None,1,1,1,1,5,3,2,3,4,None,None,1,1,2,3,4,4,4,4,7,6,10,6,11,3,5,4,4,4,6
80,None,None,None,2,1,2,None,2,None,1,3,4,3,2,3,4,None,None,1,1,1,3,5,3,4,3,6,6,10,4,2,3,5,4,4,3
81,None,None,None,1,1,None,2,None,1,1,1,3,3,2,2,3,4,None,None,1,1,1,3,4,1,3,3,5,6,8,1,2,3,5,2,3
82,1,1,None,None,None,2,None,2,1,1,None,1,2,3,1,2,3,4,None,None,None,None,None,3,3,2,1,3,4,4,None,1,1,3,4,2
83,None,1,None,1,None,None,None,None,1,None,2,None,None,2,2,1,1,3,3,None,None,None,None,None,3,2,1,1,1,2,None,None,1,1,3,3
84,None,None,1,None,None,None,None,None,1,2,None,None,1,None,3,2,1,1,2,1,None,None,None,None,None,3,2,1,1,2,None,None,None,1,None,3
85,None,None,2,2,1,None,None,None,None,None,2,None,None,1,None,3,2,None,1,2,2,None,None,None,None,None,3,2,2,1,2,None,None,None,1,None
86,None,None,None,None,None,None,None,None,None,None,None,2,None,None,1,None,3,1,None,1,2,2,None,None,None,None,None,3,1,1,3,2,None,None,None,1
87,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,2,1,None,1,1,2,None,None,None,None,None,1,2,1,2,2,None,None,None
88,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,2,1,None,1,1,1,None,None,None,None,None,1,None,1,2,1,None,None
89,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,2,1,None,1,1,None,None,None,None,None,None,1,None,1,2,None,None
90,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,1,2,None
91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
