ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,28,25,28,30,38,27,38,33,27,36,25,31,36,21,30,29,23,19,20,23,15,12,11,18,15,20,19,16,13,11,14,12,10,19,14,19
1,35,26,25,27,29,38,30,42,31,27,37,26,32,37,19,28,25,17,21,18,21,16,12,9,20,15,16,19,17,15,22,15,13,9,20,15
2,30,38,29,21,28,31,39,34,38,30,26,37,26,33,33,19,25,22,16,20,18,21,14,13,9,21,16,16,16,15,18,22,13,13,8,21
3,33,30,32,29,21,29,31,39,30,38,28,26,36,28,30,31,18,26,20,14,19,18,21,14,15,9,22,17,15,17,20,18,22,13,16,8
4,18,33,29,31,27,18,24,31,38,29,39,28,27,36,26,31,31,18,27,15,15,22,19,19,14,14,9,21,13,15,16,22,19,20,13,14
5,30,18,30,32,32,28,18,26,30,38,25,37,28,26,34,26,29,30,17,26,15,15,22,21,20,14,14,8,20,13,15,16,22,20,21,13
6,46,28,16,32,33,28,26,18,24,30,35,26,36,28,26,33,25,29,28,16,26,15,15,22,21,19,13,17,10,19,25,15,16,22,20,19
7,48,44,27,17,31,30,27,32,16,27,29,35,25,31,27,27,32,25,26,26,16,24,15,15,23,22,18,14,15,9,15,24,15,16,22,21
8,54,45,47,29,20,32,30,29,30,17,26,27,34,24,29,28,25,32,25,26,26,16,24,15,15,23,22,18,15,16,23,15,24,15,15,22
9,48,55,47,47,26,21,32,28,25,29,21,25,26,33,24,28,27,24,32,21,26,26,16,24,15,16,20,19,18,13,24,25,15,23,15,16
10,45,47,58,46,47,26,20,30,28,28,29,21,24,25,31,26,26,26,25,32,22,26,25,15,25,17,13,20,19,19,21,25,24,15,23,16
11,48,46,47,57,46,44,25,19,29,29,28,30,21,19,26,33,28,26,25,25,33,21,26,25,15,26,17,15,19,21,31,21,24,24,15,24
12,38,50,43,46,54,45,48,25,22,31,27,28,30,21,17,26,32,25,25,19,25,33,21,27,25,15,26,16,14,20,25,32,21,24,24,15
13,52,41,50,43,48,52,45,50,24,20,29,27,28,30,21,18,26,29,25,23,20,24,34,22,26,25,14,27,16,14,20,24,33,22,22,24
14,45,51,39,51,43,45,48,42,43,24,18,28,27,28,30,21,18,26,29,25,22,20,24,32,22,25,24,12,26,16,22,21,24,32,23,22
15,52,45,50,46,50,43,43,47,39,42,25,17,28,27,26,31,21,17,26,30,25,23,22,24,32,22,24,24,12,25,24,23,22,24,32,23
16,55,48,46,49,39,52,42,43,46,38,43,25,17,28,28,25,31,21,18,28,30,24,23,21,23,34,22,22,25,13,29,25,23,21,24,33
17,55,54,50,47,46,41,53,42,43,47,36,43,24,16,28,29,24,30,21,18,28,30,24,21,21,24,33,23,20,22,26,30,25,22,21,25
18,47,57,55,50,52,48,40,54,42,43,49,38,42,26,16,29,29,23,30,19,17,27,30,25,22,22,25,31,24,21,17,25,30,25,23,21
19,42,52,63,57,52,56,49,41,63,41,44,52,38,45,24,18,29,30,24,30,20,17,28,27,24,21,24,26,31,24,20,17,26,28,24,23
20,53,46,54,77,62,57,68,52,52,62,48,53,57,39,48,24,18,31,32,25,28,19,17,27,28,23,20,21,25,30,26,20,17,26,28,23
21,62,60,61,65,86,72,64,81,58,55,70,58,60,58,40,49,25,20,33,35,25,28,19,19,25,29,22,20,20,25,24,26,20,17,25,30
22,93,65,68,67,68,92,80,81,90,61,69,78,58,65,55,43,49,29,24,35,35,25,30,21,18,23,29,23,20,19,35,26,28,21,17,24
23,91,92,69,65,68,79,92,97,80,82,73,74,85,61,61,60,41,49,27,29,34,36,26,33,23,21,23,31,24,20,35,36,27,31,23,20
24,76,88,85,70,57,68,72,93,100,78,73,73,76,95,60,61,63,39,42,28,27,37,37,26,33,23,20,24,30,23,28,38,37,29,31,23
25,69,68,93,78,77,59,62,75,87,93,78,75,76,72,82,56,67,59,35,42,34,23,40,35,27,33,20,20,23,27,34,29,40,35,29,31
26,62,67,67,90,76,76,63,66,75,86,85,70,74,78,69,80,53,60,56,37,44,36,20,40,36,28,33,17,19,25,42,35,29,41,35,30
27,56,59,68,64,87,75,79,73,64,73,79,83,62,76,76,66,72,49,56,56,36,43,36,21,38,35,31,32,19,18,36,43,35,29,37,35
28,53,54,61,65,63,81,69,83,70,64,68,79,73,63,75,73,58,63,44,54,57,35,43,35,19,37,35,32,29,21,58,36,43,33,28,35
29,42,61,52,58,63,61,82,72,79,68,64,72,77,72,55,76,73,54,57,42,58,61,30,41,32,19,37,36,30,26,52,61,33,40,29,29
30,60,38,56,54,56,66,62,85,65,76,61,64,67,74,63,49,75,68,52,53,43,56,58,29,40,29,21,38,32,25,44,51,59,32,41,25
31,48,59,36,58,51,49,60,67,79,64,74,57,61,71,68,60,46,66,64,47,51,45,55,55,29,40,27,20,35,25,52,45,50,54,32,40
32,45,46,60,29,58,54,51,63,63,81,73,73,56,56,61,65,57,42,63,58,44,48,46,55,52,29,37,26,21,27,44,50,46,51,53,32
33,56,45,44,61,29,51,53,54,62,65,77,69,71,53,53,59,63,51,34,57,58,44,47,41,51,49,27,37,24,23,58,45,49,42,47,54
34,46,55,45,44,58,33,51,57,54,62,63,73,67,65,48,51,55,60,52,41,54,57,43,50,35,47,46,25,35,25,54,58,44,50,37,45
35,71,45,53,44,45,59,28,54,55,56,66,60,79,67,59,47,52,55,55,47,40,50,56,40,51,37,48,42,20,32,42,51,55,42,55,38
36,39,69,46,49,42,43,57,30,50,54,56,66,62,79,59,57,47,47,53,47,47,40,52,55,40,51,37,48,44,22,49,40,53,56,42,54
37,54,36,66,47,47,46,42,56,32,51,51,55,66,61,74,58,56,49,42,51,46,46,37,54,56,40,51,38,46,44,46,47,37,58,56,42
38,48,57,38,66,46,47,42,42,57,33,47,53,54,67,60,70,58,56,48,40,51,46,47,35,52,56,40,48,38,41,52,45,48,36,55,57
39,52,48,51,38,63,43,44,43,42,56,32,45,53,51,65,60,67,55,54,47,42,52,44,48,36,54,54,41,44,36,42,54,44,49,37,56
40,48,51,46,52,39,61,44,47,41,37,56,34,47,52,49,66,58,62,55,54,46,44,55,46,48,37,52,53,40,42,49,45,55,45,49,38
41,49,52,51,45,51,41,59,42,40,40,39,59,32,46,52,47,66,57,61,53,53,49,43,54,42,47,37,52,50,40,52,49,44,55,43,48
42,38,48,46,52,44,48,40,61,43,41,40,39,60,30,41,55,46,66,57,60,53,52,47,40,54,43,47,35,53,50,52,54,49,42,55,44
43,45,36,52,49,49,45,49,40,61,43,42,40,38,57,28,40,52,45,66,53,59,52,51,47,41,53,42,46,33,51,59,54,52,48,44,54
44,25,45,38,51,50,49,41,49,40,59,44,41,38,38,56,28,38,52,44,66,52,60,52,53,46,41,53,42,47,34,53,61,52,56,47,43
45,27,25,45,37,52,46,51,43,48,43,55,44,41,38,36,56,28,40,50,43,66,52,61,52,52,44,41,53,41,45,66,52,60,53,54,46
46,41,28,25,46,34,49,47,44,43,51,43,57,44,40,37,39,57,29,38,50,43,65,53,59,54,53,42,40,51,40,43,68,55,60,53,54
47,33,40,31,27,44,31,52,44,46,44,48,43,56,42,38,35,37,55,29,34,49,46,67,59,60,55,52,42,39,49,48,46,67,60,61,53
48,34,31,41,29,25,43,30,50,42,48,44,48,41,53,41,40,33,36,53,25,36,48,43,68,58,60,53,51,43,38,38,48,44,69,59,61
49,37,33,34,37,31,24,42,31,49,42,44,46,48,40,51,42,39,32,36,53,26,33,51,48,67,59,60,52,52,40,26,36,50,44,67,60
50,32,36,33,30,37,30,23,41,29,50,39,45,45,46,39,51,42,37,31,36,53,26,34,52,47,68,60,56,50,51,53,26,37,53,49,68
51,26,30,35,35,31,35,29,21,41,27,49,40,45,45,46,39,51,41,35,31,34,55,28,33,51,47,65,60,56,50,35,55,28,36,51,47
52,28,26,30,31,34,31,37,27,23,40,28,49,36,45,41,46,38,47,41,36,31,33,55,29,33,50,45,66,58,54,32,34,55,30,36,50
53,31,28,24,33,32,32,28,34,29,22,40,27,49,36,46,39,45,38,44,40,35,34,33,55,30,32,48,46,63,56,35,35,34,56,30,34
54,42,29,25,27,34,30,32,26,36,26,18,39,26,49,34,46,38,43,36,42,40,38,34,31,55,29,34,48,44,64,40,35,35,33,54,29
55,32,43,29,26,25,31,30,32,27,34,28,17,39,23,48,33,46,38,44,33,42,40,37,36,30,56,28,35,45,41,42,40,35,36,32,57
56,34,30,41,30,24,19,32,28,31,30,35,28,15,41,22,45,32,45,38,37,33,43,40,37,35,31,55,29,33,43,34,43,40,35,34,32
57,29,34,29,41,29,23,19,34,27,32,28,33,27,15,40,22,45,31,46,37,36,36,44,38,38,35,31,53,29,34,37,35,43,37,35,34
58,34,29,33,26,38,29,22,20,32,29,30,26,33,27,14,38,20,43,31,45,37,37,34,40,37,37,34,28,52,26,38,38,33,41,36,35
