ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,9,13,13,8,9,19,9,16,11,10,11,7,14,8,10,6,19,9,11,10,8,8,13,15,14,11,9,15,3,10,8,8,13,15,14
1,11,11,9,12,14,8,9,17,9,16,13,9,10,8,15,9,11,8,18,8,12,10,8,8,11,17,14,11,9,16,13,10,8,8,11,17
2,11,11,11,10,13,14,9,9,16,9,16,13,8,10,8,15,10,11,9,18,8,12,11,8,10,12,16,14,11,9,8,11,11,8,10,12
3,14,11,12,12,10,13,14,10,9,16,10,15,13,8,10,7,14,10,12,9,19,8,10,10,8,10,11,16,13,11,20,8,10,10,8,10
4,11,16,11,11,13,11,14,15,10,8,17,10,15,13,8,10,7,13,10,12,9,20,9,9,10,8,9,11,16,13,9,21,9,9,10,8
5,15,12,16,11,11,12,11,14,14,10,9,17,10,15,13,7,10,7,13,11,14,9,20,10,9,10,8,9,11,16,14,9,21,10,9,10
6,17,15,11,17,11,11,11,10,15,14,10,9,17,10,15,13,7,10,6,13,11,13,9,21,10,10,10,8,9,11,12,13,9,22,10,10
7,15,17,15,11,17,11,11,11,12,12,13,11,9,17,10,15,14,6,10,6,13,11,13,9,21,10,9,11,8,8,13,12,13,9,21,10
8,6,15,17,15,11,17,10,11,11,12,13,13,11,8,17,10,14,14,6,10,6,14,12,12,9,20,10,9,11,9,6,14,12,12,9,21
9,17,4,15,17,15,11,18,12,11,11,12,13,13,11,9,17,10,14,14,6,10,6,14,13,12,9,20,10,9,12,10,6,14,13,12,9
10,14,16,4,16,17,15,11,17,11,11,11,12,13,13,11,9,17,10,14,14,6,10,7,13,13,13,8,20,10,10,6,10,7,14,13,12
11,19,14,16,4,16,17,15,11,17,10,12,11,12,13,13,11,9,16,10,14,14,6,9,7,13,12,13,9,21,10,14,6,9,7,14,12
12,17,18,15,16,5,16,17,15,11,17,10,12,11,12,13,13,11,9,16,10,14,14,6,9,7,14,12,14,9,21,14,14,6,9,7,14
13,12,17,17,14,17,4,17,17,15,11,18,10,12,11,12,14,13,12,9,16,10,15,13,6,9,7,14,12,14,10,10,15,13,6,9,7
14,12,11,18,17,14,16,4,16,17,15,11,18,10,12,14,12,14,13,12,9,16,10,15,13,6,9,7,13,12,14,16,10,15,13,6,9
15,12,12,11,16,18,14,16,4,16,17,15,11,18,10,12,14,12,16,13,12,9,16,10,14,13,6,9,7,13,12,10,16,10,14,13,6
16,18,12,12,11,17,18,14,16,4,16,17,15,11,18,10,12,14,12,16,12,12,8,16,10,14,13,6,9,6,13,11,9,16,10,14,13
17,15,17,12,12,11,17,18,14,16,5,16,17,15,11,17,10,12,14,12,15,12,12,9,17,10,14,12,6,9,6,12,11,10,16,10,14
18,24,15,17,12,12,10,18,18,14,16,4,16,17,15,11,17,10,12,14,12,15,13,12,10,17,10,14,12,7,9,14,13,11,10,16,10
19,18,22,15,17,12,12,10,17,18,15,16,4,16,16,15,11,17,10,12,14,12,15,13,12,10,17,10,14,12,7,12,14,13,11,10,16
20,13,18,22,15,17,12,12,10,17,19,15,16,4,15,16,15,11,17,10,12,13,12,15,11,12,10,17,10,14,12,13,12,14,12,11,10
21,14,13,18,21,15,17,12,13,10,16,21,15,16,4,15,16,16,11,17,9,11,13,12,15,11,12,9,17,10,14,11,13,12,14,12,11
22,16,14,12,21,22,14,17,12,13,10,17,21,15,16,4,15,16,16,11,17,9,11,13,13,15,12,11,9,17,10,9,11,13,12,14,13
23,10,17,13,12,18,21,14,17,12,13,10,17,21,15,17,4,15,16,16,11,17,9,10,13,13,14,12,10,9,16,16,9,10,13,12,14
24,8,12,17,12,12,18,21,14,17,12,13,10,16,22,16,17,5,15,16,15,11,18,9,10,14,12,14,11,10,9,11,18,9,10,13,12
25,11,9,12,16,11,12,18,21,13,16,13,13,10,16,23,15,17,5,15,16,15,11,17,11,11,15,12,14,11,10,15,11,17,11,11,14
26,11,13,10,11,16,10,11,18,22,12,18,13,15,10,16,23,14,18,5,15,16,14,10,17,11,12,16,12,14,11,17,14,10,17,11,12
27,14,11,10,10,11,16,10,10,19,23,14,18,12,14,10,16,22,14,19,5,15,18,15,10,17,9,12,15,13,15,15,19,15,10,17,9
28,11,15,10,10,11,11,15,10,11,19,24,13,18,12,14,11,15,21,14,20,6,15,18,16,11,18,9,12,15,13,6,14,17,16,11,18
29,10,10,15,11,10,11,11,14,10,11,21,25,14,19,13,14,12,13,22,14,19,6,14,16,16,10,18,9,11,14,18,6,14,16,16,10
30,7,12,9,14,11,9,10,11,14,10,12,21,25,15,18,13,14,10,15,22,14,18,8,16,16,17,10,17,9,11,14,18,8,16,16,17
31,9,8,11,9,14,12,9,11,12,12,10,12,22,25,17,17,13,15,10,16,22,14,19,9,16,16,17,11,16,9,23,14,18,9,16,15
32,7,10,7,11,7,14,11,9,13,11,13,10,11,22,26,16,17,14,14,10,16,22,16,20,9,17,15,16,11,18,15,22,15,19,9,16
33,9,8,10,7,11,7,15,11,9,12,12,13,10,11,21,25,15,16,14,14,10,16,21,16,20,10,17,15,16,12,11,15,22,15,20,10
34,8,9,8,10,7,11,7,16,12,10,12,12,14,10,11,21,26,15,15,13,14,11,17,21,15,20,8,16,15,15,14,12,16,22,15,20
35,7,9,9,8,10,6,11,7,15,12,10,12,12,14,10,11,21,25,14,16,13,15,11,17,19,16,19,7,16,15,13,15,12,16,20,15
36,6,7,9,11,8,11,5,9,7,16,12,11,12,12,14,10,11,20,25,14,16,13,16,11,17,19,15,18,7,16,15,13,16,12,17,20
37,3,6,7,8,10,8,11,5,9,7,16,12,11,12,12,14,10,11,20,25,14,16,13,16,11,17,20,15,17,7,14,15,13,16,12,17
38,7,2,7,7,8,10,8,11,5,9,7,16,12,11,12,12,15,11,11,20,25,16,19,13,16,11,17,21,16,18,27,16,18,13,16,12
39,7,6,2,6,8,8,10,8,11,5,8,8,16,12,11,12,12,15,11,11,20,25,17,18,12,16,11,17,20,16,21,26,17,17,12,16
40,8,5,6,2,6,7,9,11,8,11,5,8,8,16,13,11,12,12,15,11,10,22,24,16,18,11,17,13,17,20,10,23,25,16,17,11
41,7,8,6,7,2,8,7,8,10,8,10,4,7,8,16,13,11,12,12,15,12,10,22,23,16,17,11,17,15,17,12,10,23,25,16,17
42,3,7,9,5,6,2,6,7,8,10,8,10,5,7,9,16,12,11,12,11,15,12,10,21,23,16,17,12,17,15,15,12,10,22,25,16
43,7,2,7,9,5,6,2,6,7,8,11,8,10,5,7,9,16,12,11,12,12,15,12,10,20,24,17,18,12,17,12,15,12,10,20,25
44,6,6,2,8,8,5,6,2,6,7,7,11,8,10,5,7,9,16,12,11,12,12,15,12,10,20,24,17,16,14,12,12,15,12,10,20
45,5,5,6,3,7,8,5,6,2,7,7,7,11,8,10,5,7,9,16,12,11,12,12,15,12,10,19,24,17,16,11,12,12,15,12,10
46,8,6,6,6,2,7,10,5,6,2,7,7,7,11,8,10,5,7,9,16,12,11,12,12,14,12,10,19,24,17,12,11,12,12,14,12
47,1,8,6,6,6,2,7,8,4,6,3,8,7,7,11,8,10,5,7,9,16,12,10,12,12,13,12,10,20,24,16,12,10,12,12,14
48,7,None,8,6,6,6,2,7,8,4,6,4,8,7,7,11,8,10,5,6,9,15,12,10,13,13,13,12,10,20,9,15,12,10,13,13
49,4,7,2,8,6,7,7,2,7,8,4,7,4,8,7,7,11,9,10,5,6,9,15,12,10,12,13,15,12,10,6,9,15,12,10,12
50,7,4,8,None,8,7,6,6,2,7,8,4,7,4,8,7,7,11,9,10,5,6,9,16,12,9,11,13,15,12,5,6,9,16,12,9
51,5,7,4,7,2,8,6,6,7,2,7,8,4,7,4,8,7,7,11,9,9,5,6,9,16,12,9,11,13,15,9,5,6,9,16,12
52,7,5,7,4,7,None,8,6,6,7,2,7,7,4,7,4,8,6,7,10,9,9,5,6,9,16,12,9,11,13,9,9,5,6,9,16
53,11,6,5,7,4,7,None,8,5,7,6,2,7,7,4,7,4,8,6,7,10,9,9,5,6,9,15,12,9,11,10,9,9,5,6,9
54,3,12,6,6,7,5,7,None,8,4,6,6,2,7,7,4,7,4,8,7,7,10,9,8,5,7,9,15,12,9,7,10,9,8,5,7
55,4,4,10,6,5,7,4,7,1,8,5,6,6,2,7,7,4,7,4,7,8,7,10,9,8,5,7,9,15,12,8,7,10,9,8,5
56,8,5,4,10,6,5,7,4,7,1,9,5,7,6,2,8,7,5,7,4,6,8,6,10,9,8,5,7,9,14,6,8,7,10,9,8
57,2,8,6,3,11,6,7,8,4,6,1,9,5,7,6,2,8,7,5,7,3,6,8,6,10,9,7,5,7,9,3,6,8,7,10,9
58,6,2,8,5,3,9,6,5,8,4,6,1,9,5,7,6,2,8,6,5,8,3,6,8,6,10,8,7,8,7,8,3,6,8,7,10
59,7,5,1,8,6,3,9,6,5,7,4,6,1,8,5,7,6,2,8,6,5,8,3,6,8,7,10,8,9,8,5,8,3,6,8,7
60,4,6,5,1,9,5,3,8,6,5,7,4,6,1,8,5,7,6,2,8,6,5,8,3,6,8,7,10,8,9,6,5,8,3,6,8
61,9,4,6,5,1,8,5,3,8,6,6,7,4,6,1,7,5,7,6,3,8,6,5,8,3,6,8,7,9,8,7,6,5,8,3,6
62,4,8,4,6,5,1,8,5,3,8,6,6,7,4,6,1,7,4,7,6,2,8,6,5,8,3,6,8,7,9,2,7,6,5,8,3
63,2,4,8,4,5,5,1,8,5,3,8,6,6,7,4,6,2,7,4,7,6,2,9,6,5,8,3,6,8,7,6,2,8,6,5,8
64,4,3,3,8,5,5,5,1,8,5,4,8,6,6,7,4,6,2,7,4,7,6,2,9,6,5,8,3,6,9,7,6,2,8,6,5
65,4,4,3,3,7,4,5,5,1,7,5,4,7,6,6,7,4,6,2,7,4,7,4,2,9,6,5,8,3,6,4,7,4,2,8,6
66,2,5,5,3,3,7,5,5,5,1,8,5,4,7,6,6,7,4,6,2,7,4,6,4,2,8,6,5,8,3,7,4,6,4,2,8
67,3,3,3,3,4,3,7,4,5,5,1,8,4,4,7,5,6,6,4,5,2,7,4,6,4,2,8,5,5,8,2,7,4,6,4,2
68,5,3,2,3,3,3,3,7,4,5,6,1,7,4,3,7,5,5,6,4,5,2,7,4,6,4,2,8,5,5,5,2,7,4,6,4
69,None,3,3,1,3,3,3,2,7,4,6,4,1,7,4,3,8,5,5,6,4,5,2,7,5,6,4,2,8,5,4,5,2,7,5,6
70,3,None,3,3,1,1,3,3,1,7,5,6,4,1,7,3,3,8,5,5,6,4,5,2,7,4,6,4,2,8,6,4,5,2,7,4
71,3,3,None,3,2,1,1,4,3,1,7,5,6,4,1,6,3,2,8,5,5,6,4,5,1,7,4,6,5,2,5,6,4,5,1,7
72,3,2,3,None,2,2,1,1,4,3,1,7,5,6,4,1,6,3,2,8,5,5,6,4,5,2,7,4,6,5,5,5,6,4,5,1
73,4,3,2,3,None,2,3,2,1,4,4,1,4,4,5,3,1,6,3,2,7,5,5,6,4,5,1,6,4,6,7,5,5,6,4,5
74,1,4,3,1,4,1,2,2,1,3,3,4,1,4,3,4,3,1,6,3,2,6,5,5,6,4,5,1,6,3,2,6,5,5,6,4
75,3,1,3,3,1,3,1,2,2,1,2,1,3,1,4,2,4,3,1,6,3,2,6,5,5,6,4,5,1,5,3,2,6,5,5,6
76,2,3,2,3,3,1,2,1,2,2,2,2,1,3,1,4,2,4,3,1,6,3,2,5,4,5,5,4,5,1,6,3,2,5,4,5
77,2,1,3,2,3,2,1,2,None,2,3,2,2,1,2,1,3,1,4,3,1,6,3,2,5,4,4,4,4,5,1,6,3,2,5,4
78,None,2,1,2,None,3,2,1,2,None,3,3,2,1,1,1,1,4,None,3,4,1,6,3,2,5,4,4,4,3,4,1,6,3,2,5
79,None,None,1,1,2,1,3,2,1,1,None,3,3,1,1,1,1,1,4,None,3,4,1,6,3,2,5,4,4,4,3,4,1,6,3,2
80,1,None,None,2,1,2,None,3,3,None,1,None,2,3,1,3,1,1,1,4,None,3,4,1,6,3,2,4,4,4,None,3,4,1,6,3
81,2,None,None,None,1,1,1,None,2,1,1,1,None,1,3,1,3,1,1,1,4,None,3,4,1,6,3,1,4,4,4,None,3,4,1,6
82,1,3,1,None,1,1,1,1,None,2,1,1,1,None,1,3,None,3,1,1,1,4,None,3,4,1,6,3,1,4,1,4,None,3,4,1
83,1,1,2,None,None,None,1,1,1,None,2,None,1,1,None,1,3,None,3,1,None,1,4,None,2,4,1,5,3,1,None,1,4,None,2,4
84,2,1,None,2,1,None,None,1,1,1,None,1,None,1,1,None,1,2,None,1,1,None,1,4,None,1,4,1,4,3,1,None,1,4,None,1
