ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,7,7,6,14,11,12,10,10,7,7,15,13,8,16,11,16,10,5,7,9,12,11,12,12,8,11,12,14,11,9,12,11,13,12,8
1,9,12,7,8,6,13,12,13,12,9,8,7,15,12,8,16,9,17,10,5,7,11,12,11,13,12,8,13,11,14,8,10,12,12,14,12
2,17,11,10,8,8,6,11,11,12,12,9,8,8,14,13,9,13,9,17,9,7,7,11,13,12,14,11,9,13,11,7,8,10,13,13,14
3,8,16,10,9,9,9,7,10,11,13,12,9,6,8,13,14,10,11,9,17,10,7,7,10,15,15,14,11,9,14,10,7,8,9,14,15
4,17,8,17,10,10,10,9,7,10,10,13,12,11,4,9,13,13,10,10,10,18,10,7,7,10,16,14,15,12,9,18,10,7,8,9,15
5,11,18,9,17,10,10,9,9,7,10,11,13,12,11,4,10,13,13,11,8,10,18,10,7,7,11,16,15,16,12,10,19,10,7,8,10
6,16,11,19,8,17,11,10,9,11,7,11,11,13,12,11,6,10,12,13,12,7,11,17,10,8,9,10,16,15,16,6,11,18,10,8,9
7,9,13,11,18,7,19,11,10,8,10,7,11,13,13,12,10,6,9,11,15,13,4,11,17,9,7,9,9,16,16,13,5,11,18,9,8
8,17,8,13,12,18,7,17,10,10,8,11,7,11,12,12,12,10,9,8,11,15,13,4,12,17,9,7,9,10,17,15,14,5,12,17,9
9,18,17,8,14,13,18,7,17,9,11,5,11,8,11,12,12,12,10,7,8,11,16,13,6,12,17,9,8,9,9,10,16,14,5,12,17
10,15,17,18,8,14,15,18,7,18,9,11,5,11,8,10,12,12,12,10,7,8,12,16,15,7,12,17,9,8,9,8,11,16,15,6,12
