ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,1,2,1,None,None,1,None,None,None,2,1,None,None,None,1,3,3,1,2,None,3,3,1,2,3,1,None,4,2,None,2,2,1,2,3
1,None,None,1,1,1,None,None,1,None,None,1,3,1,None,None,None,1,2,2,1,2,1,2,2,1,2,3,1,None,4,2,1,3,2,1,2
2,None,None,None,1,1,1,None,None,1,1,1,None,3,1,None,None,None,1,2,2,1,2,2,1,2,1,2,2,1,None,1,2,1,2,2,1
3,5,None,None,None,1,1,1,None,None,2,1,1,None,2,1,None,None,None,1,2,1,1,1,1,2,4,1,2,1,1,1,1,1,1,3,4
4,2,4,None,None,1,1,1,1,None,None,3,None,1,None,2,1,None,1,None,1,2,2,None,1,1,2,4,1,2,2,2,2,None,1,1,3
5,1,2,4,None,None,1,1,1,1,None,None,3,None,1,None,2,1,None,1,None,1,2,1,None,1,1,2,4,1,3,1,2,1,None,1,1
6,4,1,2,4,None,None,2,1,1,1,None,None,2,None,1,None,2,1,None,1,None,1,2,1,None,1,1,4,3,1,None,1,2,1,None,1
7,3,4,2,2,4,None,None,1,1,1,1,None,None,2,None,1,None,2,1,None,1,None,1,3,1,1,1,1,4,3,1,None,1,3,1,1
8,1,2,4,2,2,5,None,None,1,1,1,1,None,None,2,None,1,None,2,None,None,None,None,1,4,1,1,2,1,4,None,None,None,1,4,1
9,4,None,2,4,2,2,4,None,None,1,2,1,1,None,None,None,None,1,None,2,None,None,None,None,1,4,1,1,2,1,1,None,None,None,1,4
10,9,3,None,2,4,2,3,2,None,None,3,2,1,1,None,None,None,None,1,None,2,None,None,None,None,1,4,1,1,2,2,None,None,None,None,1
11,1,8,3,None,2,5,2,3,3,None,None,2,2,1,1,None,None,None,None,2,None,None,None,1,None,None,2,4,1,1,None,1,None,None,None,None
12,2,1,8,4,None,2,5,2,2,4,None,None,2,1,2,1,None,None,None,None,2,None,2,None,1,None,None,2,3,1,2,None,1,None,None,None
13,5,1,1,8,4,None,2,5,2,2,3,None,None,2,1,2,1,None,None,None,None,2,None,1,1,1,None,None,2,3,None,2,None,1,1,None
14,4,4,1,1,7,3,None,2,5,2,3,3,None,None,2,1,2,1,None,None,1,None,2,None,1,1,1,None,None,2,1,None,2,None,1,1
15,2,2,5,1,1,7,3,None,2,5,2,3,3,None,None,2,1,2,1,None,None,1,None,2,None,1,1,1,None,None,None,1,None,2,None,1
16,None,2,3,4,1,1,7,3,None,2,4,2,3,3,None,None,2,2,1,None,None,None,1,None,2,None,1,1,1,None,None,None,1,None,2,None
17,1,1,2,3,4,1,1,6,3,None,3,4,2,3,3,None,None,2,2,1,None,None,None,1,None,2,None,1,1,1,None,None,None,1,None,2
18,3,2,1,2,3,4,1,1,7,4,1,3,4,3,3,3,None,None,2,2,1,None,None,None,1,None,2,None,1,1,1,None,None,None,1,None
19,2,2,1,None,2,2,4,2,1,6,3,None,3,4,3,3,2,None,None,2,3,1,None,None,None,1,None,2,None,1,2,1,None,None,None,1
20,1,4,2,1,None,2,2,4,1,1,7,3,None,3,4,3,3,2,None,None,1,3,1,None,None,None,1,None,2,None,1,2,1,None,None,None
21,8,2,3,2,1,None,2,2,3,1,2,7,3,None,3,4,3,3,2,None,None,1,3,1,None,None,None,1,None,2,None,1,2,1,None,None
22,2,7,2,3,2,1,None,2,3,4,2,2,7,3,None,3,5,4,3,3,None,None,1,3,2,None,None,1,1,None,None,None,1,2,2,None
23,None,1,7,2,3,2,1,None,3,2,4,2,2,7,3,None,3,5,4,3,3,None,None,1,3,1,None,1,1,1,3,None,None,1,2,1
24,2,None,1,5,2,3,2,1,1,2,3,3,2,2,7,3,None,3,5,4,3,3,None,None,1,3,1,None,1,2,3,3,None,None,1,2
25,4,2,None,1,4,2,3,2,1,1,2,3,3,2,2,7,3,3,3,5,4,3,4,None,None,1,3,1,None,1,4,3,4,None,None,1
26,4,3,3,1,2,3,2,3,2,1,1,1,3,3,2,3,7,3,3,3,5,5,3,3,None,None,1,3,1,None,4,5,3,3,None,None
27,4,3,3,3,1,2,4,2,2,2,1,1,1,4,3,3,3,7,3,3,3,5,4,3,3,None,None,1,2,1,3,5,4,3,3,None
28,1,3,3,3,3,None,2,4,2,2,4,4,1,1,4,3,3,3,7,2,3,3,5,3,3,4,None,None,1,2,3,2,4,3,3,4
29,None,None,3,2,2,4,None,2,4,2,3,4,1,1,2,4,3,2,3,6,2,3,5,5,3,3,4,1,None,1,2,3,4,4,3,3
30,4,None,None,3,2,3,3,1,2,4,2,3,5,1,1,2,5,4,1,3,7,2,4,4,5,3,3,4,1,None,6,2,4,4,4,3
31,5,3,1,None,3,2,3,3,1,3,5,None,4,5,1,1,3,4,4,1,3,7,3,4,4,4,3,3,4,1,3,6,3,3,4,3
32,2,4,3,1,2,3,2,2,3,1,3,5,None,4,6,1,1,3,4,5,1,3,7,2,4,4,4,4,3,5,1,3,9,2,3,4
33,6,2,4,3,1,None,3,2,2,3,1,1,5,None,4,6,2,1,4,4,6,2,1,8,3,2,5,4,3,4,5,2,3,9,2,1
34,None,7,2,4,3,1,None,3,2,2,4,1,1,5,None,4,6,3,1,4,2,5,1,2,8,4,2,5,2,2,4,5,2,3,10,3
35,2,None,6,2,4,4,1,None,3,2,3,5,1,1,5,None,4,5,3,1,2,2,4,None,2,10,4,2,3,2,3,4,5,1,2,11
36,4,2,None,6,2,4,4,None,1,3,3,4,2,1,1,4,None,4,3,3,1,3,4,4,None,3,9,4,2,3,1,4,5,5,1,3
37,4,3,2,None,6,2,4,3,None,1,3,4,4,3,1,1,4,None,5,3,2,2,3,3,4,None,3,9,3,2,2,2,3,4,5,1
38,3,3,3,2,None,5,1,4,4,None,2,3,3,4,3,1,1,4,None,2,3,2,3,3,2,3,None,3,8,3,3,2,3,3,3,4
39,7,3,3,4,2,None,5,1,5,3,None,2,3,3,3,3,1,2,4,None,2,3,2,3,3,2,3,2,3,9,2,3,2,3,3,3
40,3,7,4,3,3,1,None,5,1,6,4,None,1,3,3,5,3,1,3,5,None,2,1,2,3,3,4,3,2,4,1,2,2,2,3,3
41,4,3,7,4,4,2,1,None,7,1,7,4,None,1,3,3,4,3,1,2,5,None,2,1,2,3,3,4,4,2,4,1,2,2,2,3
42,7,3,3,7,4,4,2,2,None,8,2,7,4,None,1,3,1,3,3,1,2,6,None,2,1,2,3,4,4,4,2,6,1,2,2,2
43,3,7,3,3,6,5,4,2,2,None,8,2,7,4,None,1,3,2,3,3,1,2,6,None,2,1,2,3,2,4,2,2,5,1,2,2
44,3,3,7,3,3,6,4,4,2,1,None,8,2,5,4,None,1,3,2,2,3,None,2,6,None,2,1,2,3,2,3,1,2,5,1,2
45,4,2,3,6,4,3,6,4,5,2,1,None,8,2,5,5,None,1,3,2,1,3,None,2,6,1,3,1,2,3,1,3,1,2,5,2
46,2,4,2,3,5,4,3,6,4,5,2,1,1,8,2,5,5,None,1,3,2,1,3,None,2,6,3,3,2,2,2,1,3,1,2,5
47,5,2,4,2,3,5,4,3,6,4,5,2,1,1,8,2,5,5,1,1,3,1,1,3,None,3,6,3,3,2,3,1,1,3,1,3
48,None,5,2,4,2,3,6,4,3,6,4,5,2,1,1,8,3,5,4,1,1,3,1,2,3,None,3,6,3,3,1,3,1,2,3,1
49,3,None,5,2,5,2,4,4,4,3,7,4,5,2,1,1,8,3,5,4,1,1,3,1,2,3,None,3,4,3,1,1,3,1,2,3
50,5,3,None,5,2,4,2,3,4,4,3,7,4,5,2,1,1,8,3,5,4,1,1,3,1,3,3,None,3,4,4,1,1,3,1,3
51,2,4,3,None,5,2,5,3,4,4,4,3,7,4,5,2,1,1,8,3,5,3,1,1,3,None,3,3,1,3,5,4,1,1,3,1
52,1,3,5,3,None,4,3,4,2,4,4,4,3,7,4,5,2,1,1,8,3,4,2,1,2,3,None,4,3,1,3,4,3,1,2,3
53,4,1,3,5,4,None,4,3,4,2,5,4,4,3,7,4,5,2,1,1,6,3,4,2,1,3,3,None,4,3,5,3,4,3,1,3
54,1,4,1,3,5,4,None,4,3,4,3,5,5,5,3,7,4,4,2,2,1,6,3,4,2,1,3,3,1,4,1,6,3,4,3,1
55,6,1,3,1,3,5,4,None,3,3,4,3,5,5,5,3,7,4,4,2,2,1,5,3,4,3,1,3,3,1,2,1,5,3,4,4
56,1,6,1,3,1,3,5,4,None,3,3,4,3,5,4,4,3,7,4,1,2,2,1,5,3,4,3,1,2,3,2,2,1,5,3,4
57,2,1,6,2,2,1,3,5,5,None,3,3,4,3,5,3,4,3,7,4,1,3,2,1,5,3,4,3,1,2,2,2,2,1,5,3
58,4,3,1,6,2,2,1,4,3,4,None,3,3,4,3,5,3,4,3,7,4,None,3,2,2,5,3,4,3,1,4,1,3,2,2,5
59,5,4,3,1,5,2,2,1,3,3,4,None,3,3,3,3,6,2,3,3,7,4,None,3,2,2,5,3,4,3,6,4,1,3,2,2
60,7,4,4,3,1,4,2,2,1,2,4,4,None,3,3,3,3,6,2,3,2,7,4,None,2,2,2,5,3,4,2,6,4,1,2,2
61,1,7,3,4,3,1,6,1,2,1,3,4,3,None,3,3,3,3,5,2,3,2,7,4,None,3,2,2,4,3,3,3,7,4,1,3
62,2,1,6,4,4,3,1,7,1,2,2,3,4,2,None,3,3,3,3,5,2,3,3,7,4,None,3,2,2,3,2,3,3,7,4,1
63,1,3,1,6,3,4,3,1,7,1,3,2,3,4,3,None,3,3,3,3,5,2,3,3,6,4,1,3,2,2,5,2,3,3,6,4
64,3,1,3,1,6,4,5,3,1,6,2,3,2,3,4,3,None,3,3,3,3,5,2,3,3,6,4,1,4,2,3,5,2,3,3,6
65,3,3,1,3,2,6,4,5,3,1,8,2,3,2,2,4,3,None,3,3,3,3,5,2,3,3,7,4,2,5,3,3,5,2,3,3
66,2,2,3,1,3,2,6,4,5,4,1,8,2,3,2,2,4,3,None,3,3,3,3,5,2,2,3,7,4,2,3,3,3,5,2,2
67,2,2,2,4,1,2,1,6,5,4,4,1,8,2,3,None,2,5,3,None,3,3,3,2,5,2,2,3,7,4,3,3,3,2,5,2
68,5,2,2,3,3,1,2,2,6,4,5,4,1,8,2,3,None,2,5,2,None,2,3,3,2,5,2,2,3,7,None,2,3,3,2,5
