ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,13,20,14,11,12,21,18,20,20,14,11,19,19,18,13,16,12,17,18,10,13,18,18,12,17,19,12,18,10,16,11,17,19,12,16,18
1,13,14,20,12,11,11,18,20,18,22,13,12,18,16,17,13,17,10,16,20,11,14,19,18,10,17,19,12,17,11,13,12,18,18,11,16
2,14,15,12,18,13,11,12,17,20,17,21,13,13,18,15,17,13,20,10,17,20,10,15,21,17,9,17,17,11,17,20,12,13,19,17,10
3,25,13,15,12,19,13,12,11,18,20,19,22,13,13,20,17,16,12,21,9,16,20,9,17,19,20,9,15,17,13,16,19,11,15,17,20
4,12,26,13,16,11,18,13,11,12,18,18,18,22,13,11,20,17,14,12,21,9,16,20,10,15,18,20,9,14,18,9,16,20,11,15,14
5,14,9,26,13,18,14,19,17,10,12,16,18,20,22,12,15,20,17,14,12,22,7,16,19,10,17,17,19,10,12,21,8,16,20,11,15
6,15,17,8,25,13,20,11,19,18,10,9,16,16,21,21,13,17,20,19,14,12,22,7,18,17,11,15,17,19,10,12,20,8,17,19,10
7,11,15,15,9,25,14,22,14,19,17,11,9,15,17,19,22,13,15,21,19,13,12,22,7,18,16,11,14,17,19,14,13,20,8,17,19
8,21,13,15,14,9,25,13,20,13,19,19,12,9,17,18,17,21,11,15,22,19,13,12,21,7,17,19,10,12,13,20,14,13,20,8,17
9,19,22,12,14,15,9,26,15,20,12,19,19,11,8,17,19,16,23,12,16,22,18,13,12,20,8,17,21,10,14,19,20,14,13,18,8
10,24,20,22,12,14,14,8,24,14,20,11,19,18,11,9,17,20,16,24,11,16,18,19,14,11,19,8,15,20,9,16,18,20,15,13,21
11,13,25,21,22,12,18,14,11,27,14,19,11,20,18,10,9,16,22,17,25,10,16,18,20,13,11,19,7,17,23,11,17,18,22,14,12
12,20,14,24,21,23,13,17,14,12,25,15,19,11,20,18,10,9,16,23,17,26,10,16,19,19,14,10,19,6,18,26,11,17,18,21,14
13,14,21,14,24,24,23,14,18,13,12,26,15,19,14,20,18,11,10,16,23,17,26,12,16,19,19,14,11,19,6,16,25,12,17,18,21
14,23,14,20,13,29,23,23,15,18,12,11,26,14,19,12,20,18,11,11,19,23,16,27,13,16,19,19,15,11,20,23,15,27,13,16,18
15,15,23,13,21,13,31,22,22,14,17,14,12,26,14,19,13,19,19,12,11,19,24,17,27,14,17,20,17,15,10,18,23,15,28,13,16
16,19,16,25,12,18,12,32,24,20,12,19,14,14,26,14,19,14,19,19,13,9,19,26,16,25,14,17,21,17,16,10,18,26,15,27,13
17,21,20,16,22,13,18,12,31,21,20,14,19,14,14,26,14,21,15,19,19,13,9,19,26,16,27,13,15,22,17,13,10,18,26,15,28
18,15,21,20,18,22,12,19,14,31,21,20,14,19,14,14,25,13,21,15,20,18,13,9,18,23,16,27,13,15,20,19,13,10,18,25,16
19,18,14,22,20,16,25,12,19,15,31,22,20,14,19,14,15,24,13,21,16,21,18,12,9,17,21,18,29,12,14,23,19,12,10,18,21
20,20,17,13,20,21,15,24,12,19,14,32,22,21,16,20,13,14,23,13,22,16,20,19,15,10,17,20,18,29,10,14,22,19,14,10,18
