ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,46,54,36,55,47,37,39,38,33,32,33,42,46,36,49,43,50,45,54,50,51,63,48,62,50,66,46,57,61,62,50,62,47,61,50,67
1,47,47,51,37,55,43,40,38,37,31,31,34,42,47,38,48,43,45,47,55,49,50,65,48,60,49,72,44,60,62,51,50,66,46,59,48
2,49,47,47,51,35,57,42,37,38,40,28,29,34,43,48,40,50,41,45,46,57,49,49,66,46,60,49,69,44,64,55,50,49,64,46,58
3,58,51,45,49,50,37,55,43,38,38,34,28,28,34,42,51,41,48,43,45,47,57,50,49,70,46,60,52,67,45,47,55,50,48,69,46
4,62,59,50,42,50,48,37,56,45,38,38,33,28,28,35,44,53,38,52,44,43,46,58,46,47,74,46,61,52,72,44,46,56,48,46,72
5,67,62,59,51,43,48,49,35,55,41,39,38,35,27,28,37,44,49,38,52,43,46,45,57,45,47,78,43,61,51,44,47,45,56,48,46
6,60,68,63,56,54,45,46,47,37,55,44,40,38,36,28,28,37,41,50,39,52,41,49,44,57,46,45,76,44,62,52,42,49,47,55,49
7,68,61,65,58,59,54,44,47,48,35,57,43,41,39,35,34,34,34,44,50,40,54,41,48,46,56,49,45,74,44,41,53,41,50,47,55
8,62,70,62,64,58,58,52,44,46,47,34,57,44,39,39,36,36,33,36,44,49,40,53,40,49,48,55,50,46,75,48,41,53,41,50,48
9,59,61,67,61,61,57,58,51,43,50,43,33,57,45,38,39,36,35,33,36,43,50,40,51,41,50,50,57,54,48,45,49,41,51,42,51
10,61,58,61,66,62,62,56,58,50,42,49,46,33,57,46,40,39,38,35,32,38,45,48,38,51,42,49,55,57,56,39,46,47,40,50,43
11,70,62,57,58,69,61,64,56,58,51,43,49,47,33,57,47,40,39,41,36,32,41,47,48,39,52,44,52,52,58,32,41,47,47,42,51
12,51,67,59,57,61,70,59,62,56,56,53,45,49,46,35,57,50,40,39,43,35,34,41,47,47,39,53,45,49,55,35,34,42,48,47,41
13,64,53,67,57,57,59,69,59,61,58,59,55,45,49,46,35,57,50,40,40,45,37,36,42,46,47,39,53,46,49,48,36,36,43,47,47
14,60,66,48,67,58,56,59,65,60,62,61,57,54,43,49,46,35,57,54,40,40,47,37,35,45,49,47,38,52,47,41,49,36,36,46,49
15,75,60,64,49,70,60,54,58,65,63,61,59,56,55,43,49,47,37,58,53,40,40,45,37,36,42,50,48,39,56,39,41,46,36,37,44
16,64,75,59,63,49,69,59,58,55,65,62,61,61,56,55,43,49,47,37,59,54,40,41,45,39,36,45,53,49,42,52,39,42,46,38,38
17,78,63,74,57,65,49,68,61,54,56,65,61,61,61,55,55,42,49,51,39,59,56,39,40,44,38,37,45,55,50,59,54,38,41,45,39
