ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,17,21,21,10,14,18,17,21,18,18,22,22,25,13,27,17,11,17,22,23,17,32,22,27,27,23,15,15,14,27,18,30,22,26,23,23
1,22,17,23,19,11,18,19,17,22,18,18,21,24,23,12,28,19,12,19,23,26,18,34,22,27,29,23,17,23,18,24,21,32,22,28,24
2,16,22,19,25,21,11,18,19,19,21,18,17,21,26,22,12,28,20,13,21,23,26,18,35,25,27,30,24,15,21,22,24,20,31,24,27
3,17,18,23,18,27,21,12,18,17,18,21,18,16,21,28,21,15,27,20,13,21,22,24,19,37,22,27,27,25,14,20,22,22,24,33,22
4,11,19,20,21,17,27,24,13,18,17,16,19,18,16,20,28,23,16,22,21,14,21,21,23,19,36,21,24,31,24,14,20,21,20,24,32
5,23,12,21,23,22,16,29,25,14,20,19,17,19,17,17,21,29,23,16,20,20,16,22,22,20,20,35,23,25,30,21,15,20,23,18,24
6,12,22,12,21,26,22,16,28,24,16,21,20,16,18,17,17,22,29,21,19,20,21,15,21,20,21,23,31,23,24,21,22,14,21,21,19
7,25,9,23,12,20,27,20,16,32,25,15,21,19,17,19,17,18,25,28,21,16,20,21,14,21,20,20,23,29,21,15,21,21,14,21,21
8,21,25,9,24,14,20,25,22,15,34,28,15,21,16,15,19,18,18,24,28,21,19,20,22,15,24,21,19,24,29,22,18,22,22,14,23
9,28,24,27,10,24,14,20,25,23,13,34,27,15,21,16,17,18,16,20,25,28,20,20,21,21,14,28,23,20,27,28,21,17,22,21,13
10,26,28,24,29,12,23,16,21,26,22,14,32,28,17,21,18,17,19,17,17,25,29,20,20,20,21,13,27,23,19,23,29,22,17,21,21
