ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,18,17,14,8,8,23,15,12,12,13,7,18,10,13,4,11,9,11,12,8,10,13,17,9,8,5,7,6,11,8,10,13,17,9,8,5
1,10,16,16,14,10,9,23,17,13,12,13,8,18,9,15,4,10,10,13,13,9,11,13,15,9,9,4,8,6,10,9,11,14,16,9,9
2,18,10,16,18,16,9,9,24,17,16,12,13,8,18,9,15,5,10,10,12,15,9,12,13,16,10,8,4,9,6,15,8,12,13,16,10
3,17,19,10,17,19,17,10,10,25,15,14,12,12,8,18,9,16,6,10,10,13,14,10,12,14,16,9,9,4,9,13,14,10,10,14,16
4,13,19,18,10,16,17,17,10,9,24,14,16,12,14,9,17,9,15,7,10,10,14,13,10,10,13,16,9,9,5,10,14,14,10,10,13
5,12,13,18,18,12,15,16,18,11,10,24,16,15,13,14,9,17,9,15,7,11,10,14,13,7,9,13,14,10,9,11,10,14,13,8,10
6,12,12,13,19,18,11,15,16,18,10,10,24,14,15,12,13,9,17,9,15,8,11,10,14,12,9,9,13,15,8,8,11,10,14,13,9
7,18,11,10,15,18,17,12,17,16,17,12,10,23,17,15,12,13,10,16,8,15,8,11,10,13,11,9,9,12,15,15,8,11,10,14,12
8,20,18,10,10,14,18,18,11,17,18,16,11,10,24,18,15,12,12,9,16,9,14,8,10,10,13,11,9,9,12,9,14,8,11,10,14
9,17,22,18,10,13,14,17,19,11,16,15,16,10,10,24,18,15,12,12,9,17,9,14,9,10,9,13,11,8,10,18,9,14,9,11,10
10,13,19,22,21,14,10,15,17,18,11,16,14,16,10,9,24,18,15,12,12,9,17,9,14,9,10,9,15,11,8,9,18,9,14,9,11
11,10,13,17,22,21,11,10,15,17,18,11,16,14,16,10,10,25,18,15,15,13,9,16,9,14,9,10,10,14,12,13,9,18,9,14,9
12,15,10,15,17,24,22,10,10,16,19,18,10,17,14,16,10,11,24,18,16,15,13,8,16,9,14,9,9,10,14,13,13,9,18,9,13
