ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,4,1,1,2,3,None,None,1,2,2,3,2,1,6,1,2,1,1,3,1,2,1,2,None,1,2,4,3,1,1,2,1,2,None,1
1,2,6,4,1,1,2,3,None,None,1,2,2,3,2,1,6,1,2,2,1,3,1,2,1,2,None,3,2,3,3,3,1,2,1,2,None
2,1,1,3,4,1,1,2,3,None,1,2,2,2,3,2,1,5,1,2,3,1,3,1,2,1,2,None,3,2,4,1,3,1,2,1,2
3,4,1,1,3,4,1,1,2,4,None,1,2,2,3,3,2,1,5,1,2,3,1,3,1,2,1,2,1,3,2,3,1,3,1,2,1
4,3,5,1,1,3,4,1,1,2,3,1,2,2,2,3,3,1,1,4,1,2,3,1,3,1,2,1,2,1,1,2,3,1,3,1,2
5,7,3,4,1,1,3,4,1,1,3,3,1,2,2,2,3,3,1,1,4,1,2,3,1,3,1,2,1,2,1,1,2,3,1,3,1
6,1,7,3,4,1,1,3,4,1,1,3,3,2,2,2,2,2,3,1,1,4,2,2,3,1,2,1,2,1,2,5,2,2,3,1,3
7,6,1,7,3,4,1,1,3,4,1,2,3,3,2,2,2,2,2,3,1,1,4,2,2,3,1,3,1,2,1,1,5,2,2,3,1
8,3,5,2,7,3,4,1,None,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,3,None,3,1,2,1,1,5,2,2,3
9,4,2,5,1,7,3,4,1,None,2,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,3,None,3,1,3,1,1,5,2,2
10,1,5,2,5,1,7,2,4,1,None,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,3,None,3,2,3,1,1,5,2
11,3,None,5,2,5,2,7,2,4,1,3,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,3,None,2,2,3,1,1,4
12,5,2,None,5,2,5,1,8,3,4,2,2,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,3,1,2,2,3,1,1
13,3,4,2,None,5,2,5,1,7,2,4,2,2,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,1,1,2,2,3,1
14,6,3,4,2,None,6,2,5,1,7,2,4,2,2,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,2,2,1,1,2,2,3
15,2,5,3,5,2,None,5,3,5,1,9,2,4,2,2,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,3,2,1,1,2,2
16,1,3,5,3,4,2,None,5,2,5,2,8,2,4,2,2,3,4,1,2,4,3,2,2,2,2,2,3,1,1,4,3,2,1,1,2
17,3,None,3,5,3,4,2,None,5,2,6,2,8,2,4,2,2,3,4,1,2,4,4,2,2,2,2,2,3,1,2,4,4,2,1,1
18,4,4,None,3,5,3,4,2,None,5,3,6,2,8,2,4,2,2,3,4,1,2,4,4,2,2,2,2,2,3,1,2,4,4,2,1
19,4,3,4,None,3,5,3,4,2,None,6,3,6,2,8,2,4,2,2,3,4,1,2,4,4,2,2,2,2,2,4,1,2,4,4,2
20,6,4,4,4,1,3,5,3,4,2,None,6,3,6,2,8,2,4,2,2,3,5,1,2,4,4,2,2,1,3,3,5,1,2,4,4
21,2,6,4,4,3,None,4,5,4,4,3,None,6,4,6,2,8,2,5,2,2,3,5,1,2,4,4,2,2,1,2,3,5,1,2,4
22,5,2,6,3,4,3,None,3,5,4,5,3,None,6,4,6,2,8,3,5,2,2,3,4,1,2,4,4,2,2,2,2,3,4,1,2
23,5,5,2,5,3,4,3,None,3,5,4,4,3,None,6,4,6,2,8,3,5,2,2,3,4,1,2,4,4,2,5,2,2,3,4,1
24,2,4,3,2,6,3,4,2,None,3,6,1,4,2,None,6,4,6,2,8,3,5,2,2,3,4,1,2,4,4,3,5,2,2,3,4
25,2,2,4,1,2,6,1,4,2,1,4,5,2,4,2,None,6,4,6,2,8,3,6,2,2,3,4,None,2,4,7,3,5,2,2,3
26,5,1,2,4,1,2,6,1,4,2,2,4,4,2,3,2,None,5,5,6,1,8,2,6,2,2,3,4,1,2,1,9,2,5,2,2
27,5,4,1,1,4,1,2,6,1,4,3,2,4,4,4,3,3,None,5,4,7,1,7,1,7,2,2,4,4,1,6,1,8,2,6,2
28,None,5,4,1,1,4,2,2,5,2,5,2,2,4,4,4,3,3,None,5,4,7,1,7,1,5,2,2,3,4,4,7,1,7,2,5
29,3,None,6,4,1,1,4,2,2,5,2,5,2,2,4,6,4,3,3,None,5,5,7,1,9,1,5,2,2,3,5,4,7,1,8,2
30,7,3,None,5,4,1,1,4,2,3,6,2,5,2,2,4,6,4,4,3,1,5,3,7,1,11,1,5,1,2,1,5,3,7,1,10
31,3,7,2,None,5,4,1,1,4,2,4,6,3,4,2,2,4,6,3,4,3,1,5,4,7,1,9,1,3,1,3,1,5,4,7,1
32,1,4,7,2,None,5,4,1,1,4,4,5,6,3,5,2,2,4,5,3,4,3,1,5,4,7,1,10,None,3,4,3,1,5,4,7
33,3,1,3,7,2,None,5,4,None,1,2,3,5,6,2,4,2,2,2,5,3,4,3,1,5,5,7,1,10,None,3,4,3,1,5,5
34,4,3,1,3,6,2,None,5,4,None,1,2,3,5,6,2,4,2,2,2,5,2,4,2,1,4,4,6,None,8,5,3,4,3,1,4
35,3,5,3,1,3,6,2,None,5,4,1,1,2,3,5,5,1,5,2,2,2,5,2,4,2,1,5,4,6,None,3,5,3,4,3,1
36,4,3,5,3,1,3,6,1,None,5,5,1,1,2,2,5,5,1,4,2,2,3,5,2,4,2,None,5,4,7,2,3,5,3,4,3
37,2,5,3,4,4,1,3,6,1,None,5,5,1,1,2,1,4,4,1,3,2,2,3,5,2,5,1,None,5,4,2,2,3,5,3,5
38,4,3,5,3,4,3,1,3,8,1,1,5,4,1,1,3,1,3,4,3,3,2,2,2,5,1,5,1,1,5,3,2,2,2,5,2
39,1,4,3,5,3,5,3,1,3,7,2,1,5,4,1,1,3,1,3,3,3,3,2,2,2,5,1,5,3,1,3,3,2,2,2,5
40,2,2,4,3,5,3,4,3,None,3,9,2,1,5,4,1,1,3,1,3,3,3,3,2,2,2,5,1,7,4,3,3,3,2,2,2
41,2,1,1,4,4,5,3,4,4,None,3,9,2,1,5,4,1,1,3,1,3,3,3,2,2,2,2,5,2,7,3,3,3,2,2,2
42,4,3,1,1,4,3,6,4,4,3,1,3,9,2,1,5,4,1,1,3,2,3,3,4,2,2,2,2,5,2,2,3,3,4,2,2
43,4,4,3,1,1,4,3,5,2,3,3,1,3,9,2,1,6,4,1,1,3,2,3,3,4,2,2,2,3,5,3,2,3,3,4,2
44,2,4,4,3,1,1,5,3,5,2,4,4,1,3,9,2,1,5,4,1,1,3,2,3,3,4,2,2,3,2,1,3,2,3,3,4
45,2,2,4,4,3,1,1,4,3,5,2,4,4,1,4,9,2,1,5,4,1,1,3,3,3,4,4,2,2,1,1,1,3,3,3,4
46,4,2,2,4,4,3,2,2,4,3,4,2,4,4,1,3,9,2,1,5,4,1,1,3,3,3,4,4,2,2,4,1,1,3,3,3
47,2,4,2,2,4,4,3,1,1,3,3,4,2,4,4,1,3,9,2,1,5,4,1,1,3,3,3,4,3,2,5,4,1,1,3,3
