ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,0,1,4,2,2,1,0,0,1,2,4,2,4,6,2,2,1,1,5,4,1,3,3,2,2,2,2,5,1,4,2,3,3,2,2,2
1,7,0,1,5,2,1,1,0,0,0,3,4,1,4,4,2,2,1,1,6,4,1,3,3,2,3,2,2,4,0,4,2,2,3,2,2
2,2,6,1,1,5,2,2,1,0,1,0,3,4,1,2,4,2,2,1,1,6,5,1,2,3,3,4,2,2,4,6,4,2,2,3,2
3,1,3,5,0,2,6,3,2,1,0,1,0,3,4,1,2,4,2,2,2,1,6,6,1,2,4,2,4,2,2,1,6,5,2,2,4
4,4,1,2,5,0,1,5,2,2,1,0,1,0,2,4,1,1,4,2,2,2,4,5,6,1,2,4,2,4,2,2,2,6,5,2,2
5,4,2,1,2,5,0,1,5,2,1,1,0,1,0,2,4,1,1,5,2,2,2,3,6,6,3,2,6,2,4,2,2,2,6,5,3
6,2,3,3,1,2,6,0,1,5,2,3,3,0,1,0,2,4,2,1,5,2,2,2,2,6,5,3,2,5,1,2,2,2,1,6,5
7,5,2,4,3,1,2,6,1,1,5,2,3,2,0,1,0,1,3,1,1,5,2,2,2,2,6,6,4,3,4,5,2,2,2,1,6
8,4,7,2,4,3,1,1,6,1,1,5,2,3,2,0,1,0,1,3,1,1,5,1,2,2,2,6,6,3,3,2,6,2,2,2,1
9,4,4,7,2,3,3,2,1,6,1,2,5,2,3,2,0,1,0,1,3,0,1,6,1,2,2,2,6,7,3,0,2,7,2,2,2
10,3,4,4,6,2,3,3,1,2,6,0,2,5,2,3,2,0,1,0,1,3,0,1,6,1,2,2,4,6,7,3,0,1,7,2,2
11,4,3,4,4,7,2,3,2,2,3,7,0,2,5,2,3,2,0,1,0,1,3,0,1,6,1,2,2,2,6,2,3,0,1,7,2
12,3,5,4,4,4,6,2,3,2,2,4,6,0,2,5,3,3,2,0,1,0,2,3,1,1,7,1,2,2,2,0,2,3,1,2,7
13,12,4,4,4,5,5,6,2,3,2,1,3,5,0,3,5,3,3,1,0,1,0,2,3,1,1,7,2,2,2,1,0,2,3,1,1
14,0,10,3,4,4,4,5,6,3,3,4,1,2,5,0,3,5,3,3,1,0,1,1,2,3,1,1,8,2,2,0,1,0,2,3,1
15,8,0,11,3,4,4,2,5,6,3,3,4,1,2,5,1,2,6,3,3,1,0,1,1,2,3,1,2,8,2,1,0,1,0,2,3
16,6,7,0,10,3,4,5,2,5,6,3,3,4,1,2,5,1,2,6,3,3,2,0,1,1,2,3,0,3,8,3,1,0,1,0,2
17,4,6,7,0,10,3,5,6,3,5,6,3,3,4,1,2,5,1,2,6,3,3,1,1,2,1,2,4,0,3,3,3,1,1,2,0
18,5,5,7,7,0,10,3,4,6,3,5,6,3,3,4,1,2,7,1,2,6,4,3,1,1,1,1,3,4,0,7,3,3,1,1,1
19,4,5,5,7,7,0,8,3,4,6,2,5,6,3,3,4,1,2,7,1,2,6,3,3,1,1,1,1,3,4,2,7,3,3,1,1
20,4,4,5,5,6,7,1,9,4,3,5,2,5,6,3,3,4,1,2,7,1,2,6,3,3,1,1,1,1,3,0,2,7,3,3,1
21,3,4,4,5,4,7,7,0,8,4,4,4,3,5,6,3,3,4,1,2,7,0,1,6,3,3,1,0,0,2,7,0,3,7,3,3
22,2,3,4,4,5,4,7,7,0,10,5,4,4,3,6,6,3,3,4,1,2,7,0,1,6,3,3,1,0,0,1,7,0,2,6,3
23,2,3,4,4,4,6,4,7,7,0,8,5,4,4,4,4,6,3,2,4,1,2,7,1,1,6,4,3,1,0,1,1,7,1,2,6
24,2,2,2,4,4,4,5,4,7,7,1,10,5,4,4,3,4,6,3,2,4,1,2,9,0,1,6,4,3,1,3,1,2,8,0,2
25,5,1,2,2,4,4,4,5,3,7,6,0,10,5,4,4,2,4,5,3,2,3,1,2,10,0,1,7,4,2,3,3,1,2,9,0
26,4,4,1,2,2,4,3,4,5,2,12,4,0,10,5,4,3,2,4,5,3,3,2,1,2,10,0,1,8,4,3,3,2,1,1,9
27,5,3,4,1,2,2,3,3,4,6,4,12,5,0,10,5,4,4,2,4,5,3,3,1,1,1,10,0,1,8,4,3,3,2,1,1
28,6,4,1,5,1,3,2,3,3,4,6,4,11,5,0,10,5,5,3,2,4,5,2,3,1,1,1,10,0,1,4,4,3,3,2,2
29,5,6,5,3,5,1,2,2,3,4,5,4,4,11,5,0,11,5,5,5,2,5,6,3,3,1,1,1,9,0,2,3,6,3,3,2
30,1,6,6,5,3,5,2,3,3,3,4,5,4,3,11,4,0,11,5,5,6,2,4,7,3,3,2,1,1,9,6,2,3,6,3,3
31,7,2,6,6,4,3,5,1,1,2,3,4,5,5,4,9,5,0,11,5,5,5,4,4,7,4,3,3,1,2,5,6,2,3,6,3
32,0,8,2,6,7,4,3,4,1,1,3,3,4,5,4,4,9,6,0,11,4,6,4,4,4,6,4,4,3,1,6,6,4,2,3,6
33,6,0,7,2,6,6,4,3,4,2,2,3,3,4,4,5,4,9,7,0,10,4,6,5,4,6,6,3,4,3,10,6,5,5,2,5
34,3,7,0,7,2,5,6,3,3,4,2,2,2,3,4,4,6,4,9,8,0,11,3,6,5,3,6,6,4,4,0,12,5,5,5,2
35,4,4,7,0,7,2,5,6,3,3,4,2,2,2,3,4,5,6,4,9,7,1,11,4,6,4,3,5,6,4,8,0,12,5,5,4
36,1,3,5,7,0,10,2,5,7,4,3,4,3,2,2,3,5,5,7,4,9,6,1,10,5,6,5,2,5,5,8,7,0,12,5,5
37,8,0,0,5,6,0,10,2,5,7,4,3,4,3,2,2,3,3,5,7,5,10,9,0,10,5,6,5,2,5,4,7,9,0,11,5
38,3,7,1,0,5,7,1,10,2,5,7,4,3,4,2,2,2,2,3,5,7,5,10,9,0,10,4,6,5,2,7,4,7,8,0,12
39,6,3,7,1,0,6,6,0,9,2,5,7,4,3,4,2,2,2,2,3,5,7,5,10,9,0,10,4,6,4,5,7,5,7,8,0
40,4,6,2,8,1,0,6,7,0,9,3,5,7,4,3,4,2,2,2,1,4,5,6,4,10,9,0,10,4,6,5,5,7,4,7,8
41,5,4,5,2,7,0,1,5,6,0,10,4,5,7,4,2,4,2,2,2,1,4,4,7,4,11,9,1,10,4,1,5,5,7,4,8
42,4,5,4,5,3,7,0,1,5,6,0,10,4,5,7,3,2,4,2,2,3,1,5,4,7,4,11,9,1,10,3,1,6,5,7,4
43,8,5,5,4,6,3,6,0,1,5,7,0,10,4,4,8,3,3,5,2,2,4,1,5,4,7,3,12,9,0,2,4,1,5,4,6
44,7,8,4,5,5,5,3,6,1,1,6,7,0,10,4,4,7,3,3,5,2,2,2,1,5,3,7,3,10,9,1,2,3,1,5,3
45,9,6,8,4,5,6,5,3,7,0,1,5,7,0,10,3,4,7,3,3,5,2,3,3,1,6,3,6,3,10,5,1,2,4,1,5
46,4,9,7,8,4,5,6,5,3,7,0,1,5,9,0,10,3,4,7,3,3,5,2,3,3,1,5,5,4,3,3,5,1,2,4,1
47,8,4,9,7,8,4,6,6,4,3,9,0,1,5,9,0,10,3,5,8,3,4,6,2,3,4,1,5,4,4,3,3,6,1,2,4
48,2,7,5,10,7,7,4,6,6,4,4,9,0,1,6,9,0,7,3,6,8,3,4,6,2,3,4,1,6,4,8,3,4,6,1,2
49,4,3,9,4,9,7,7,5,5,7,5,4,9,0,2,6,9,0,7,3,5,9,3,4,6,3,3,4,1,6,6,8,3,4,6,2
50,5,5,2,7,5,9,7,8,5,5,6,5,4,9,0,2,6,8,0,7,3,5,9,3,4,7,3,3,4,1,3,6,8,3,4,7
51,8,5,6,3,7,4,10,8,7,6,6,6,5,4,8,0,2,6,8,0,7,3,6,9,3,4,7,3,3,5,7,3,6,8,3,4
52,7,7,5,4,2,8,4,10,8,7,6,5,5,5,4,8,0,2,6,8,1,7,3,6,9,3,4,7,3,3,1,7,3,6,8,3
53,8,7,8,5,5,3,8,3,9,8,11,7,5,5,5,4,8,0,3,6,8,1,7,3,8,9,3,4,6,1,8,1,7,3,8,8
54,5,8,8,9,5,4,2,8,5,9,8,11,7,4,5,6,4,7,0,3,7,8,1,7,3,8,9,4,4,6,7,8,1,7,3,7
55,8,6,8,6,8,5,4,3,7,5,9,8,11,7,4,5,6,3,7,0,3,7,8,2,7,4,8,9,4,4,2,7,9,2,7,4
56,10,7,6,8,7,8,5,4,2,7,5,9,8,11,7,5,5,7,3,7,0,4,6,8,2,7,4,8,9,4,0,3,6,9,2,7
57,9,11,7,6,8,6,8,6,5,2,7,5,9,9,10,7,5,5,7,3,7,0,4,6,7,2,5,4,8,9,6,0,3,6,8,2
58,9,10,9,8,5,7,6,7,5,5,3,7,5,9,9,10,7,5,5,8,4,7,0,4,6,7,2,5,4,7,5,6,0,4,6,8
59,0,10,10,9,9,6,8,6,7,7,4,3,6,5,8,9,10,7,6,5,8,4,6,0,4,6,7,2,5,4,7,5,6,0,4,6
60,8,0,9,10,9,8,5,7,6,8,8,4,3,6,4,8,9,10,7,6,5,8,5,6,0,4,6,6,2,5,5,7,5,6,0,4
