ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,46,57,41,50,48,48,42,36,35,52,38,36,31,27,37,30,34,24,22,23,30,30,20,27,16,32,30,19,25,22,30,29,20,26,17,32
1,57,46,55,39,54,47,50,40,40,39,41,36,34,32,25,38,32,32,23,23,22,31,29,20,29,17,34,28,16,26,21,30,30,19,28,18
2,49,56,45,58,39,52,49,54,40,37,42,39,36,35,34,20,37,32,31,23,22,22,30,30,20,28,21,36,29,17,21,21,33,31,19,27
3,67,48,55,47,56,40,53,52,56,40,37,41,41,35,33,33,17,38,32,30,23,19,23,30,29,21,31,21,34,32,24,20,20,33,30,20
4,72,68,49,56,48,56,41,52,50,54,39,38,40,41,36,31,32,18,38,32,28,23,20,21,33,30,23,32,21,35,27,24,20,19,35,31
5,64,73,69,48,53,52,57,41,52,48,56,38,39,41,42,35,31,33,18,37,32,27,25,18,23,33,32,21,30,19,30,27,25,19,21,34
6,67,64,75,68,48,54,53,60,42,49,49,56,36,40,42,43,37,29,34,17,36,33,27,24,18,23,33,32,23,30,37,31,27,25,19,21
7,71,65,65,77,68,48,56,55,61,40,49,47,57,37,41,46,43,38,27,34,16,36,32,27,24,18,25,33,31,23,17,37,31,26,25,19
8,70,69,66,69,78,70,48,57,58,61,43,49,47,54,38,40,47,43,36,28,35,17,35,32,26,24,20,24,33,30,36,17,37,30,26,25
9,52,71,69,67,68,79,70,47,56,60,61,41,49,48,54,37,41,47,43,36,28,36,18,35,32,26,23,19,23,35,27,35,18,37,30,26
10,59,50,71,69,69,70,81,72,47,56,59,61,42,50,49,55,38,41,47,43,37,29,37,19,35,34,25,23,20,24,38,28,36,18,37,32
11,68,60,50,72,68,65,70,80,72,48,55,60,60,43,50,50,55,37,41,48,41,37,29,38,22,34,34,25,23,20,41,38,28,36,21,36
12,61,67,58,51,71,68,64,71,81,72,47,55,59,59,42,49,50,53,36,39,48,43,35,27,38,22,37,34,24,25,47,43,36,28,36,21
13,59,62,69,60,52,72,71,65,71,82,73,47,54,60,60,43,48,52,54,35,40,46,41,35,27,38,20,38,33,26,40,46,42,36,28,36
14,63,59,66,72,60,53,70,71,64,75,81,71,49,54,59,61,43,48,53,54,34,40,47,41,36,27,39,23,38,32,37,39,47,42,37,28
15,58,64,60,67,74,60,56,71,70,66,73,83,71,50,54,58,61,41,45,54,54,34,40,47,43,34,29,38,22,38,55,39,40,47,43,35
16,65,58,66,61,69,77,62,58,73,67,62,72,85,71,50,55,58,60,40,45,54,53,35,41,47,43,35,29,38,22,51,54,38,41,47,43
17,65,66,57,66,59,69,77,63,57,71,68,62,73,86,72,51,55,57,60,40,44,54,53,35,40,47,44,36,29,37,44,51,53,39,40,47
18,78,67,64,57,66,58,72,84,65,60,69,67,61,71,84,70,52,58,53,58,40,44,54,53,35,39,47,46,37,30,39,44,51,54,39,39
19,68,80,64,65,61,67,60,74,89,63,59,68,67,61,71,86,70,53,56,52,58,41,42,50,52,36,38,46,44,37,57,40,42,47,53,39
20,60,74,81,70,69,61,70,61,80,90,63,60,68,69,62,68,86,70,55,56,51,57,43,42,49,50,39,39,46,43,51,55,42,42,46,52
21,69,69,75,82,72,70,61,73,64,85,91,67,59,68,68,61,69,85,68,58,54,54,56,42,42,48,51,39,39,47,50,54,55,43,42,46
22,70,72,72,73,81,67,71,66,79,63,85,89,65,60,68,63,61,66,84,70,59,56,54,53,42,46,50,51,40,40,57,51,54,53,43,45
23,64,73,68,66,73,86,68,75,62,83,69,82,87,66,55,65,63,60,61,84,70,56,55,54,52,44,49,49,51,42,69,59,53,52,51,45
24,51,61,78,68,67,71,84,66,78,61,81,65,82,85,64,57,64,63,63,61,83,73,55,51,57,56,46,53,50,48,81,72,58,50,55,55
25,64,55,62,75,71,66,75,86,64,79,63,78,64,77,84,59,53,65,65,60,60,85,76,55,52,55,57,46,51,49,63,84,75,57,51,54
26,45,60,56,59,74,68,65,70,84,61,74,61,77,62,75,80,61,52,65,60,56,66,87,77,57,51,51,53,46,50,57,66,87,76,53,52
27,52,44,60,54,60,64,63,62,71,84,58,71,55,76,61,72,78,56,49,64,58,54,65,93,79,57,51,54,49,46,61,55,67,91,80,54
28,47,50,45,61,53,57,56,63,59,69,81,57,66,55,72,58,68,77,53,47,57,61,54,61,88,77,55,48,51,47,56,66,57,64,87,78
29,60,45,48,43,56,49,54,62,58,57,68,78,58,66,57,72,56,63,72,55,46,63,60,50,61,89,73,55,48,53,47,59,62,55,64,88
30,55,58,48,48,47,57,52,53,61,61,55,69,81,61,68,55,72,54,65,68,56,48,64,56,47,60,92,72,53,44,54,48,62,60,53,61
31,49,56,52,48,47,46,57,52,53,59,63,57,69,80,61,67,54,70,51,61,70,56,44,60,53,43,63,90,71,53,68,53,45,59,57,50
32,51,47,53,51,49,44,44,57,54,53,57,60,56,68,75,58,65,51,69,52,56,67,58,46,57,53,42,62,89,73,57,65,55,47,60,58
33,50,46,46,55,47,48,44,44,55,53,52,59,61,61,67,76,59,64,55,66,49,54,67,56,43,58,54,42,61,85,50,56,63,55,46,62
34,41,45,46,44,54,46,50,45,49,57,55,52,55,59,60,66,74,56,66,55,64,47,53,61,56,41,55,53,43,56,64,48,54,59,57,44
35,53,41,49,45,42,53,45,49,46,48,58,55,52,53,57,60,65,73,53,64,56,61,47,52,58,59,40,49,55,45,60,63,48,54,59,59
36,37,51,41,47,47,44,52,44,49,45,48,57,56,52,55,56,58,64,70,54,62,55,62,48,54,56,58,42,57,60,61,63,61,49,55,57
37,46,39,51,41,48,46,45,54,44,47,48,48,53,54,52,56,57,56,61,69,53,64,53,59,47,53,54,60,46,59,54,65,61,60,49,54
38,60,44,39,53,39,50,44,45,54,45,45,47,50,53,53,51,56,57,54,58,67,53,65,50,60,50,52,55,61,47,68,53,64,59,60,51
39,42,60,43,38,52,39,48,44,41,54,44,44,48,51,53,53,52,57,53,52,61,69,56,64,52,58,51,51,56,60,60,70,55,66,55,58
