ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,21,17,10,19,16,10,14,10,12,12,8,12,12,10,13,10,18,13,11,9,10,22,11,12,18,12,16,10,12,13,10,23,11,12,18,12
1,13,23,18,8,18,15,10,14,12,14,13,7,11,12,10,17,9,17,12,14,10,10,22,12,13,19,13,15,10,13,11,10,21,13,14,19
2,12,15,24,18,10,17,14,10,11,9,17,14,7,10,12,11,17,9,17,11,15,11,10,22,15,13,19,12,17,10,15,12,10,22,15,14
3,18,15,18,24,17,10,16,13,11,10,8,18,15,8,12,11,11,19,9,17,11,15,12,9,23,15,10,20,12,17,12,15,13,8,23,15
4,18,17,14,19,23,17,9,18,12,11,10,10,19,15,9,14,12,11,18,9,16,13,14,12,12,24,14,9,21,12,16,13,14,13,10,24
5,25,18,20,12,19,21,17,11,18,12,9,9,9,19,15,9,14,12,10,19,9,14,12,13,13,12,25,14,9,21,9,16,12,12,14,11
6,22,26,18,21,12,19,22,18,9,18,12,9,9,9,19,16,9,15,13,9,19,9,14,10,11,13,12,25,15,11,19,9,16,10,10,14
7,13,21,30,21,21,12,17,21,19,8,19,12,9,8,9,18,15,12,16,14,9,19,9,14,10,12,11,13,26,14,9,19,9,16,10,12
8,18,13,21,30,21,22,12,16,19,20,11,19,12,9,8,9,17,14,11,15,14,9,18,8,14,10,15,10,13,26,14,9,18,9,15,10
9,26,17,14,20,31,19,20,13,18,19,20,12,20,12,9,9,9,16,14,11,15,14,8,18,7,15,10,15,10,13,15,14,8,18,8,16
10,28,27,17,16,20,31,19,20,15,17,20,21,12,20,12,10,8,9,18,14,12,14,16,8,18,8,15,10,15,10,12,14,15,8,18,9
11,28,28,27,18,19,20,31,20,19,16,18,21,21,12,20,13,10,9,9,17,14,12,14,16,7,18,7,14,10,16,14,12,14,15,7,18
12,29,29,24,27,18,17,20,31,21,21,16,17,21,21,12,20,12,10,8,9,17,14,14,14,16,8,18,7,14,10,17,14,13,13,15,8
13,26,31,31,24,26,17,17,19,33,21,20,17,18,21,21,12,19,12,10,6,9,16,16,13,12,15,8,19,7,12,9,16,17,12,12,14
14,35,25,32,30,24,27,16,17,19,32,21,19,17,18,21,21,12,19,12,10,7,10,17,15,13,11,14,8,18,8,7,10,17,16,12,11
15,22,36,26,34,31,25,27,16,17,21,34,22,20,17,18,21,21,12,18,12,10,9,10,17,16,13,11,14,8,16,10,9,10,17,16,13
16,29,23,37,26,32,29,24,27,17,17,20,35,22,19,17,18,21,21,12,18,12,10,10,10,18,16,13,11,14,8,11,10,10,10,18,16
17,38,29,25,36,26,32,29,23,29,18,17,20,34,22,20,17,20,21,21,12,18,12,10,8,11,18,16,13,11,15,19,11,10,8,11,18
18,25,38,29,26,39,24,32,29,24,27,19,18,20,34,22,20,17,21,21,21,14,18,12,9,8,10,19,16,12,11,14,19,11,9,8,10
19,31,24,39,32,25,37,25,32,29,24,29,19,19,21,34,22,20,18,21,20,20,12,19,12,9,9,9,20,15,11,20,13,20,11,8,9
20,37,34,25,38,29,23,40,26,34,28,26,31,18,20,21,32,21,19,19,21,20,18,13,17,11,12,9,9,20,14,19,18,14,19,11,12
21,23,38,30,24,36,29,23,39,25,35,27,26,31,17,20,20,33,21,20,18,22,21,18,13,15,11,12,9,9,18,21,20,18,14,16,10
22,30,23,37,30,22,33,30,25,38,24,35,25,27,30,17,21,20,33,21,20,16,23,21,19,14,16,12,12,9,9,15,22,20,19,14,17
23,23,29,24,36,29,22,31,33,27,39,23,35,26,30,29,19,19,19,33,20,19,16,20,21,20,15,16,12,11,9,19,15,20,20,19,15
24,36,22,31,24,37,27,21,28,31,27,42,25,36,26,31,30,21,19,20,34,21,18,16,20,19,19,15,17,13,10,21,18,15,20,20,18
25,33,35,22,34,27,41,26,22,30,30,29,43,25,35,28,29,29,21,20,22,32,22,19,14,18,18,18,14,16,11,33,21,18,14,18,19
26,16,30,30,23,28,28,39,27,21,31,30,28,44,26,33,29,29,29,20,18,23,29,23,20,16,17,22,17,14,18,23,30,22,18,16,17
27,25,17,31,30,24,27,28,38,25,20,28,29,29,40,28,35,27,30,28,22,19,24,27,23,19,15,16,23,16,15,21,22,29,22,18,14
28,26,28,16,29,31,25,27,27,36,26,23,31,28,26,37,30,34,29,29,28,23,21,23,26,24,18,17,19,24,20,23,22,22,27,23,17
29,19,26,30,16,29,33,24,26,27,34,27,23,33,29,24,39,31,31,28,33,27,26,19,22,27,25,20,14,18,27,25,26,20,21,29,25
30,23,19,26,31,17,30,33,24,29,27,35,28,22,32,28,22,36,31,32,32,32,27,23,20,27,28,23,17,17,15,30,26,24,21,25,29
31,34,22,22,25,30,16,31,33,23,30,29,35,27,22,34,30,22,35,29,31,32,28,29,26,22,28,28,25,20,16,32,28,28,25,23,26
32,21,33,21,24,25,31,17,31,30,23,30,29,34,26,23,35,29,25,37,27,35,31,28,27,26,23,28,25,25,22,33,32,29,28,24,24
33,19,21,33,22,24,26,30,19,31,32,24,31,30,36,27,23,33,28,23,37,27,34,31,29,29,24,27,29,29,28,28,33,32,31,31,23
34,19,19,21,32,23,26,25,30,19,31,32,22,32,28,36,30,23,32,28,32,37,28,32,30,32,32,25,26,31,29,37,29,31,31,34,32
35,33,19,20,22,32,22,25,27,29,19,31,34,23,33,27,36,30,23,34,24,33,37,27,34,29,34,32,25,22,28,33,37,28,34,28,33
36,17,32,18,21,22,33,20,28,24,26,20,30,34,24,33,29,35,31,22,37,24,31,39,30,32,33,31,30,23,22,26,31,38,30,33,33
37,24,17,35,18,22,21,31,20,30,24,25,20,31,33,26,34,29,35,31,22,36,24,30,39,34,33,35,33,26,20,37,26,30,40,33,33
38,27,26,17,34,20,23,21,32,19,30,26,25,18,31,34,27,34,29,32,32,23,38,27,29,38,36,31,35,32,28,25,38,29,29,39,36
39,29,26,25,18,33,20,23,21,35,20,30,26,26,18,32,32,27,35,28,34,32,21,38,30,29,38,36,33,37,32,31,24,38,32,29,39
40,18,30,27,23,18,35,21,23,23,36,18,30,25,25,19,33,32,26,34,29,33,32,22,37,32,30,40,35,33,37,33,31,24,38,33,30
41,26,18,32,25,24,18,33,21,23,23,39,19,28,22,25,20,34,31,27,33,30,32,34,25,37,34,33,41,33,34,29,33,33,26,37,34
42,25,26,18,32,25,24,17,33,21,23,26,39,20,30,22,25,21,35,30,26,34,30,33,36,25,37,32,30,40,33,34,30,34,36,27,37
43,35,25,26,17,33,23,25,15,33,22,21,23,38,21,30,22,28,20,35,31,26,35,28,33,37,24,38,33,30,40,26,34,28,34,37,26
44,27,35,26,27,18,34,24,25,14,31,22,21,22,36,22,31,22,27,19,36,32,25,36,26,36,37,28,37,37,32,32,25,35,26,36,37
45,31,27,36,26,30,16,35,24,26,15,33,22,22,23,35,24,30,23,26,19,37,33,25,35,27,38,42,27,35,38,36,33,25,34,28,38
46,27,31,27,36,25,31,16,37,24,25,16,32,22,22,23,35,24,30,23,26,19,36,32,25,39,26,38,42,28,32,22,35,33,25,38,27
47,36,28,31,28,36,25,30,18,37,24,27,17,32,23,20,23,35,24,29,24,26,19,36,31,23,41,29,36,38,27,28,21,35,32,23,42
48,36,36,27,31,29,37,26,30,19,37,23,26,18,32,24,20,22,36,23,29,24,25,18,36,32,23,41,28,36,36,24,28,20,35,33,23
49,27,36,38,26,31,30,39,25,29,18,35,24,26,18,32,24,22,21,38,24,29,23,23,16,36,29,21,41,30,37,28,23,26,18,35,31
50,35,27,37,38,26,32,31,39,26,29,19,35,26,26,17,33,23,21,21,39,23,30,24,20,15,36,29,21,42,28,23,29,24,23,17,35
51,30,34,29,37,39,24,31,28,39,25,29,19,35,26,25,19,33,22,22,21,39,23,30,24,22,15,37,28,21,42,38,23,29,24,24,17
52,25,30,35,28,37,40,23,31,29,38,26,30,19,38,27,25,19,35,23,22,21,39,24,30,24,21,15,38,28,22,22,38,24,29,24,23
53,25,25,30,35,26,37,39,23,31,28,40,26,30,20,37,27,25,18,35,21,22,22,39,22,30,25,23,15,39,31,21,23,37,22,29,25
54,29,25,22,29,32,26,37,38,24,33,28,40,26,32,19,36,27,25,19,34,19,22,22,37,21,30,25,22,17,37,20,22,23,38,21,29
55,27,29,25,22,29,33,25,37,38,25,33,27,40,23,31,19,34,28,24,19,36,19,22,21,36,21,30,27,22,18,37,20,22,22,36,21
56,42,27,32,25,24,28,31,25,38,38,26,33,28,39,22,31,19,35,27,24,18,36,19,23,20,39,20,30,26,24,17,37,20,23,21,39
57,28,39,26,29,26,23,28,30,27,37,38,27,34,28,38,21,31,20,35,26,25,18,36,19,25,20,37,19,30,26,25,17,37,20,25,21
58,29,28,40,25,28,25,22,28,30,27,36,38,28,34,28,38,21,32,20,34,27,26,17,36,19,25,22,34,18,29,25,26,16,37,20,25
59,24,29,29,39,26,28,25,22,27,30,26,34,38,28,34,28,38,21,31,21,34,27,25,17,37,20,28,20,34,21,35,25,25,16,37,21
60,28,24,29,28,39,25,28,25,21,28,31,26,31,38,27,35,26,38,20,31,20,34,27,24,17,37,24,28,20,35,20,35,25,24,16,37
61,32,28,24,31,27,40,24,27,24,21,29,31,27,31,39,27,34,27,36,20,31,20,34,27,24,14,37,23,30,22,32,20,35,25,24,14
62,22,33,26,24,29,28,38,23,27,24,17,27,31,27,32,39,28,32,27,36,20,32,19,32,28,24,14,36,23,32,21,33,19,33,26,24
63,17,21,35,26,23,29,27,37,22,26,24,18,28,31,28,32,38,28,32,27,35,20,32,21,32,26,23,14,36,23,34,21,33,20,33,24
