ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,23,22,25,29,25,29,22,21,22,22,22,23,15,15,32,25,34,23,25,26,17,27,19,26,35,41,26,25,38,26,17,29,20,26,35
1,20,16,23,24,23,27,26,28,22,22,20,24,22,23,15,16,31,26,37,23,26,23,19,25,19,26,30,38,24,26,24,25,19,26,20,26
2,28,22,16,23,23,24,26,25,26,24,24,20,25,24,22,15,19,30,28,35,23,24,25,18,28,21,27,34,35,23,22,22,25,19,29,21
3,16,26,23,15,25,23,24,26,25,28,22,26,20,24,25,22,15,19,31,28,36,22,24,27,19,28,21,24,38,37,38,21,23,28,20,30
4,16,17,28,23,14,24,24,25,27,24,25,22,27,20,27,26,22,16,17,28,27,35,22,22,30,22,28,24,21,38,25,36,22,23,30,23
5,19,15,17,28,22,16,26,24,23,27,23,24,21,27,20,27,26,24,15,16,26,25,36,20,24,29,25,26,22,22,27,22,38,20,25,29
6,20,20,18,18,30,23,16,27,22,23,28,24,26,21,27,20,27,26,25,16,16,26,27,36,21,26,30,26,25,23,16,27,26,38,21,26
7,30,22,20,18,17,31,25,17,26,21,23,28,25,27,22,25,19,29,26,26,17,15,26,27,34,22,29,33,25,25,17,15,28,28,37,23
8,36,30,23,20,18,17,30,25,18,28,20,21,28,25,28,24,25,21,29,27,26,17,16,25,25,33,22,27,31,26,28,17,16,28,26,35
9,34,36,32,23,19,18,17,33,26,19,26,21,21,28,25,27,28,22,21,29,27,25,19,19,28,24,35,22,29,31,27,27,18,16,31,26
10,32,34,35,34,27,22,17,17,32,26,19,28,21,21,32,25,28,28,22,23,29,27,25,20,19,27,25,35,23,31,29,27,27,19,17,30
11,25,33,35,36,31,26,23,19,17,31,23,19,29,22,20,32,24,31,29,23,23,29,27,26,19,17,28,23,38,23,23,29,27,27,19,16
12,23,24,35,36,38,29,26,22,17,16,32,23,20,29,22,19,31,26,31,29,23,23,28,26,28,17,19,30,23,37,26,23,28,27,29,18
13,26,22,24,34,38,36,29,28,22,18,16,31,23,20,29,21,19,30,26,32,29,24,25,27,25,30,19,19,27,25,28,26,24,27,27,30
14,37,25,22,25,33,38,37,29,29,21,18,16,30,23,20,29,21,19,30,26,33,30,24,27,26,22,31,18,18,26,33,29,25,26,26,25
15,26,37,25,23,25,35,38,36,31,28,19,18,18,30,23,19,28,21,21,30,29,32,30,23,27,24,24,30,16,18,26,32,30,24,26,24
16,31,27,36,26,22,25,36,37,36,30,28,19,18,18,31,22,19,29,20,20,30,30,32,33,23,27,25,25,32,16,28,28,33,32,24,26
17,39,30,29,36,26,23,27,37,36,37,31,28,19,18,18,32,22,20,29,20,20,29,31,32,35,25,27,25,26,32,24,27,28,34,33,25
18,35,39,31,29,36,24,25,25,38,37,40,31,26,19,18,16,32,21,21,29,22,21,30,30,31,36,23,27,24,23,22,25,28,28,33,33
19,29,32,39,32,28,37,23,24,26,39,40,41,30,29,19,18,16,32,23,20,28,21,20,30,29,36,35,23,27,23,30,22,25,29,28,37
20,39,28,34,40,31,29,38,23,25,26,42,45,39,30,29,20,18,17,32,24,20,28,23,20,31,34,37,38,23,28,18,30,23,24,30,32
21,40,39,27,33,39,33,27,36,22,25,26,42,46,39,31,28,23,16,15,32,27,20,30,23,19,31,37,38,35,25,29,19,33,24,23,30
22,38,40,39,29,33,39,32,25,35,24,26,26,42,46,40,30,28,24,17,16,33,28,21,35,23,18,31,34,36,33,34,31,20,34,24,24
23,29,36,44,40,31,35,39,29,27,34,22,25,23,43,45,39,29,32,25,14,17,33,27,25,35,24,19,31,37,32,18,33,31,24,33,27
24,30,30,35,42,38,33,34,43,29,27,37,22,24,23,44,48,38,29,36,24,14,16,37,26,27,36,29,18,31,38,14,19,37,30,26,35
25,31,31,30,34,41,39,33,35,41,32,29,38,24,24,24,44,48,38,29,39,28,15,22,35,28,22,34,29,21,32,26,15,23,34,35,23
26,25,33,30,32,31,38,39,33,34,39,36,37,39,28,24,23,47,49,39,28,42,29,18,27,39,35,23,31,30,20,41,27,17,26,40,40
27,30,23,33,30,32,31,38,38,31,34,42,36,37,40,29,25,22,47,51,40,28,42,33,20,26,40,39,21,37,33,31,41,30,18,25,41
28,27,28,27,35,30,31,30,39,38,29,38,43,37,39,40,31,25,21,46,45,41,33,44,38,26,29,41,37,21,35,37,34,38,34,23,27
29,30,26,29,30,32,32,31,33,39,39,31,41,40,36,40,41,36,27,21,46,45,42,40,42,42,29,33,38,32,20,46,38,35,38,36,26
30,19,30,24,29,27,30,34,33,33,38,40,31,40,39,36,43,42,35,27,22,44,45,44,46,45,41,29,29,37,35,47,46,40,46,41,36
31,29,20,32,25,27,27,29,32,36,33,44,42,28,39,39,38,43,42,36,31,23,39,48,49,50,47,44,28,29,40,25,47,50,43,47,45
32,19,28,22,31,26,24,28,29,33,34,35,46,45,30,38,38,41,43,43,37,31,24,46,48,48,49,45,44,27,25,34,27,51,48,44,48
33,19,18,28,24,33,29,24,27,27,35,38,38,45,45,32,40,39,40,43,44,37,32,28,52,51,44,49,43,45,25,36,36,30,52,49,40
34,20,20,18,28,29,32,29,23,25,28,34,38,39,47,46,32,40,37,41,43,45,34,36,28,49,50,40,46,42,45,43,37,40,31,51,50
35,27,21,20,18,28,27,31,30,23,29,29,35,37,38,47,46,32,42,38,40,43,45,39,33,33,52,50,36,52,42,41,40,40,36,36,54
36,19,27,22,20,19,31,26,32,33,24,32,30,35,39,38,46,46,33,43,38,41,44,47,41,34,37,56,45,34,52,42,41,43,41,37,41
37,24,19,27,22,21,17,31,26,32,33,25,33,30,34,38,38,46,45,31,44,37,42,41,47,39,33,33,55,45,31,39,40,40,43,38,36
38,19,23,19,26,23,20,18,31,27,32,34,24,32,28,35,37,36,48,44,34,44,35,45,43,47,39,34,37,54,47,41,37,45,41,43,40
39,28,18,23,19,31,24,20,18,32,28,32,38,25,32,29,35,37,31,47,43,33,40,35,47,42,44,39,34,39,53,32,38,40,47,41,42
40,22,30,19,24,19,29,24,22,19,32,27,32,38,24,32,29,35,35,31,47,43,34,40,35,49,41,45,40,35,39,44,34,42,39,49,42
41,22,23,30,20,24,18,29,24,20,20,31,27,30,38,25,33,31,38,36,31,46,42,33,41,38,49,41,48,42,34,43,43,34,43,40,50
42,24,22,23,30,19,25,19,29,23,20,19,30,27,30,38,26,33,31,38,36,30,44,42,32,42,40,51,42,47,41,32,42,45,35,43,42
43,30,25,24,23,29,22,25,19,30,23,21,21,31,28,30,38,26,33,32,38,36,30,44,40,33,43,44,53,40,46,34,32,44,43,35,44
44,18,31,25,24,22,29,23,26,18,31,24,21,23,31,28,29,38,27,32,34,39,38,35,47,39,34,42,44,54,39,38,35,32,47,40,36
45,24,18,32,25,24,23,29,23,24,19,32,24,23,24,31,28,29,35,26,33,34,37,38,39,45,38,33,40,45,52,32,40,35,38,49,40
46,20,23,18,31,26,22,23,28,22,24,19,32,25,23,24,30,28,29,35,26,32,34,39,39,36,43,38,35,41,44,33,32,41,37,36,45
47,22,19,23,18,33,24,23,23,29,22,24,19,31,25,22,25,30,27,30,35,28,31,37,40,39,35,44,39,34,41,25,33,36,44,38,34
48,19,22,19,23,19,32,25,23,22,29,22,22,19,30,25,20,25,30,27,28,35,27,31,38,36,33,35,44,39,32,32,25,32,36,40,33
49,18,17,23,21,25,18,32,25,23,22,28,21,23,19,31,25,21,25,29,29,28,34,28,32,38,36,33,36,43,37,30,32,26,33,37,39
50,25,18,18,24,21,23,19,32,25,23,20,28,21,23,19,30,27,22,26,30,30,28,33,27,32,37,39,32,35,44,30,29,32,27,33,37
51,21,26,18,18,24,20,23,18,33,25,24,20,28,21,23,20,30,26,22,26,29,27,30,36,27,33,37,39,32,35,29,28,30,36,27,33
52,23,24,24,18,18,23,21,22,18,30,23,24,19,29,20,23,19,31,26,22,26,29,27,28,37,25,33,37,40,32,24,29,28,28,36,26
53,27,21,25,23,19,18,24,19,22,18,29,23,24,18,29,22,22,19,30,26,22,25,28,29,29,37,23,33,38,40,25,23,29,30,30,36
54,18,28,20,24,23,18,18,23,19,23,19,29,22,22,17,31,20,20,19,29,27,22,25,27,29,29,35,20,32,34,26,24,23,28,30,29
55,32,20,27,20,23,22,18,19,23,19,22,19,28,22,23,18,31,20,20,20,30,28,23,24,28,27,28,32,20,32,33,27,24,23,29,29
56,19,29,20,27,20,24,22,19,18,23,19,23,19,29,21,23,18,32,20,22,20,30,28,23,24,28,26,29,34,20,19,32,27,24,23,29
57,27,18,28,19,27,21,24,22,18,18,24,16,23,18,29,21,22,18,30,20,22,18,31,27,22,23,29,27,29,34,24,18,32,27,23,23
58,22,26,16,27,19,27,20,24,21,18,19,23,16,23,17,26,25,21,18,31,21,22,16,31,27,23,21,30,27,29,19,24,16,32,27,23
59,19,22,25,16,27,18,27,19,22,22,17,20,23,17,23,18,24,24,21,18,31,20,22,16,30,26,22,22,31,26,30,19,24,16,31,27
60,17,18,24,25,15,26,19,27,18,21,22,17,20,22,17,23,18,25,24,21,17,31,19,22,16,31,26,22,22,30,18,30,19,24,16,31
61,14,14,18,24,23,17,24,18,25,19,21,20,17,20,22,17,23,20,24,24,21,17,31,20,21,16,30,25,22,23,21,18,30,20,23,16
62,9,12,14,16,20,21,15,23,17,26,15,20,20,17,19,23,17,22,20,25,24,22,17,30,20,22,16,30,26,24,21,21,18,29,20,23
63,9,10,11,14,15,19,21,14,23,16,27,15,20,19,16,19,23,17,21,20,25,24,20,18,30,18,22,16,29,26,28,22,20,18,29,19
64,9,10,8,10,14,16,19,20,14,24,16,27,15,19,18,15,18,22,17,21,20,24,21,21,17,28,18,23,17,29,19,27,19,21,17,28
65,10,9,9,8,10,15,14,16,18,14,23,14,26,14,18,18,15,18,22,17,21,19,24,21,21,16,28,18,23,17,21,18,27,19,21,16
66,17,10,9,10,8,9,14,12,15,19,14,23,14,26,14,19,18,15,18,22,17,21,19,24,21,21,15,28,18,22,17,21,18,27,19,21
67,20,17,10,8,9,7,11,13,12,15,16,17,23,12,24,14,18,18,17,18,21,17,20,19,24,20,21,14,28,18,20,16,20,18,25,19
68,9,18,16,10,9,7,6,10,14,12,14,16,16,22,11,24,13,18,18,16,19,20,16,19,19,25,18,19,13,28,19,20,16,19,18,26
69,19,9,18,15,10,8,7,6,9,15,11,14,16,16,20,11,23,12,18,17,16,19,20,17,19,19,25,18,18,12,16,19,20,16,19,18
70,10,17,10,18,13,12,7,6,6,9,12,11,14,16,14,20,11,22,12,18,17,14,20,20,17,19,19,25,18,19,18,15,20,20,16,19
71,15,9,16,8,17,13,10,6,6,6,8,10,11,13,15,13,19,15,20,12,18,18,15,20,20,17,19,19,25,17,17,20,16,20,20,15
72,5,15,10,14,9,16,13,10,7,7,7,8,10,11,13,15,13,19,15,21,12,18,18,15,19,20,17,19,19,24,11,17,19,16,18,20
73,19,4,14,8,11,8,14,13,10,6,6,6,8,10,10,14,13,12,18,14,20,13,17,19,14,17,19,17,17,19,19,12,16,19,15,16
74,12,18,2,13,7,11,9,14,12,10,5,6,6,7,8,9,14,13,11,18,13,17,13,17,18,11,17,17,13,17,11,16,12,16,18,13
75,10,10,18,3,13,7,11,9,14,10,8,5,5,6,5,8,9,12,12,11,16,12,16,13,16,17,11,16,16,13,18,10,16,12,15,17
76,None,8,9,18,2,13,6,11,8,14,10,8,5,4,6,4,7,9,10,11,10,16,11,16,13,16,15,9,15,16,11,17,9,15,12,15
77,8,None,8,9,16,2,12,6,11,7,14,10,9,7,4,5,4,7,9,11,10,11,13,11,16,12,16,16,9,15,11,11,14,9,15,12
78,8,7,None,6,8,15,3,13,5,11,8,13,10,9,4,4,5,4,6,9,11,8,12,14,11,16,12,15,16,8,13,10,11,14,8,15
79,3,9,7,None,4,7,12,2,11,4,10,8,12,9,8,4,3,5,4,5,8,8,7,10,12,11,14,12,12,16,8,11,9,9,12,8
80,3,1,8,6,None,4,8,10,3,11,5,10,6,11,7,8,4,3,5,4,5,9,9,8,8,11,11,14,11,11,5,9,11,9,8,11
81,4,2,1,6,6,None,3,6,10,2,10,5,13,5,9,7,7,4,3,4,4,5,8,6,6,8,12,10,14,11,4,6,8,9,8,8
82,1,3,1,1,7,5,None,3,5,9,1,8,5,13,4,10,7,4,4,3,3,1,5,9,6,6,9,12,7,9,4,3,5,9,8,8
83,3,None,4,None,None,5,5,None,3,4,8,1,7,5,11,4,10,4,4,4,3,3,1,5,8,2,6,8,10,6,3,4,3,6,9,5
84,1,2,None,3,None,None,4,4,1,1,3,10,None,6,5,11,4,10,5,3,4,2,3,None,5,7,2,5,8,9,6,3,4,2,5,8
85,1,1,2,1,1,1,2,2,3,3,3,3,8,None,2,2,10,4,8,5,2,3,2,3,None,5,6,2,6,6,2,5,2,4,2,5
86,2,2,1,2,1,2,1,2,2,2,None,3,2,8,None,2,2,10,4,8,5,2,2,2,2,None,5,5,3,7,5,2,4,2,3,1
87,1,1,1,1,1,1,1,2,2,2,4,None,3,1,7,None,2,1,8,4,4,5,None,2,2,2,None,5,4,4,3,5,None,4,2,3
88,1,1,1,1,1,1,1,1,1,1,1,3,None,3,1,6,None,1,2,8,4,3,3,None,3,2,3,1,4,3,4,2,3,None,4,2
89,1,1,1,1,1,1,1,1,1,1,1,1,3,None,2,None,6,None,1,1,4,4,2,3,None,3,2,2,None,3,3,3,1,3,None,4
90,2,2,1,2,2,2,1,2,2,2,1,None,1,3,None,2,None,4,None,1,1,3,4,2,3,None,2,2,1,None,1,2,3,1,3,None
91,None,None,None,None,None,None,None,None,None,None,1,1,None,1,1,None,2,None,4,None,1,1,3,4,2,3,None,1,2,None,1,1,2,3,1,2
92,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,1,None,2,None,2,None,1,None,3,4,1,2,None,2,1,None,1,None,2,3,None
93,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,2,None,None,None,3,4,None,1,None,2,2,None,None,None,2,3
94,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,2,None,None,None,2,2,None,None,None,None,2,None,None,None,1
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,1,None,None,None,None,None,None,1,None,None,None,2,2,None,None,1,None,1,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,2,None,None,None,None,None,None,1,None,None,None,None,2,None,None,1,None,1,None,None
